"GR";"Prime Minister Alexios TSIPRAS (since 21 September 2015); note - Vassiliki THANOU-CHRISTOFILOU served as interim prime minister beginning on 27 August 2015 after the resignation of Alexios TSIPRAS on 20 August 2015; she was Greece's first female prime minister"
"GL";"Premier Kim KIELSEN (since 30 September 2014)"
"GD";"Prime Minister Keith MITCHELL (since 20 February 2013)"
"GP";"99999999999998"
"GU";"Governor Eddie CALVO (since 3 January 2011); Lieutenant Governor Ray TENORIO (since 3 January 2011)"
"GT";"President Jimmy Ernesto MORALES Cabrera (since 14 January 2016); Vice President Jafeth CABRERA Franco (since 14 January 2016)"
"GG";"Chief Minister Gavin ST PIER (since 6 May 2016); Bailiff Sir Richard COLLAS (since 23 March 2012); note - the chief minister is the president of the Policy and Resources Committee and is the de facto head of government; the Policy and Resources Committee, elected by the States of Deliberation, functions as the executive; the 5 members all have equal voting rights"
"GN";"Prime Minister Mamady YOULA (since 26 December 2015)"
"GW";"Prime Minister Artur SILVA (since 31 January 2018); note - President Umaro SISSOCO Embalo (since 18 November 2016) resigned on 13 January 2018"
"GY";"President David GRANGER (since 16 May 2015)"
"HT";"Prime Minister Dr. Jack Guy LAFONTANT (since 21 March 2017)"
"HM";"99999999999998"
"VA";"Secretary of State Cardinal Pietro PAROLIN (since 15 October 2013); note - Head of Government of Vatican City is President Cardinal Giuseppe BERTELLO (since 1 October 2011)"
"HN";"President Juan Orlando HERNANDEZ Alvarado (since 27 January 2014); Vice Presidents Ricardo ALVAREZ, Rossana GUEVARA, and Lorena HERRERA (since 27 January 2014)"
"HK";"99999999999998"
"HU";"Prime Minister Viktor ORBAN (since 29 May 2010)"
"IS";"Prime Minister Katrin JAKOBSDOTTIR (since 30 November 2017)"
"IN";"Prime Minister Narendra MODI (since 26 May 2014)"
"ID";"President Joko WIDODO (since 20 October 2014); Vice President Jusuf KALLA (since 20 October 2014)"
"IR";"99999999999998"
"IQ";"Prime Minister Haydar al-ABADI (since 8 September 2014)"
"IE";"Taoiseach (Prime Minister) Leo VARADKAR (since 14 June 2017)"
"IM";"Chief Minister Howard QUAYLE (since 4 October 2016)"
"IL";"Prime Minister Binyamin NETANYAHU (since 31 March 2009)"
"IT";"Prime Minister Paolo GENTILONI (since 12 December 2016); the prime minister's official title is President of the Council of Ministers"
"JM";"Prime Minister Andrew HOLNESS (since 3 March 2016)"
"JP";"Prime Minister Shinzo ABE (since 26 December 2012); Deputy Prime Minister Taro ASO (since 26 December 2012)"
"JE";"Chief Minister Ian GORST (since 18 November 2011); Bailiff William BAILHACHE (since 29 January 2015)"
"JO";"Prime Minister Hani MULKI (since 1 June 2016)"
"KZ";"Prime Minister Bakytzhan SAGINTAYEV (since 9 September 2016); First Deputy Prime Minister Askar MAMIN (since 13 September 2016)"
"KE";"President Uhuru KENYATTA (since 9 April 2013); Deputy President William RUTO (since 9 April 2013); note - position of the prime minister abolished after the March 2013 elections"
"KI";"President Taneti MAAMAU (since 11 March 2016); Vice President Kourabi NENEM (since 17 March 2016)"
"KP";"State Affairs Commission Chairman KIM Jong Un (since 17 December 2011); note - functions as the commander-in-chief and chief executive"
"KR";"Prime Minister LEE Nak-yon (since 1 June 2017); Deputy Prime Ministers KIM Dong-yeon (since 9 June 2017), KIM Sang-kon (since 4 July 2017)"
"KW";"Prime Minister JABIR AL-MUBARAK al-Hamad al-Sabah (since 30 November 2011); First Deputy Prime Minister NASIR al-Sabah al-Ahmad al-Sabah (since 12 December 2017); Deputy Prime Ministers SABAH al-KHALD al-Sabah (since 4 August 2013), KHALD al-Jarrah al-Sabah (since December 2016), Anas al-SALEH (since 2015)"
"KG";"Prime Minister Sapar ISAKOV (since 26 August 2017)"
"LA";"Prime Minister THONGLOUN Sisoulit (since 20 April 2016); Deputy Prime Ministers BOUNTHONG Chitmani, SONXAI Siphandon, SOMDI Douangdi (since 20 April 2016)"
"LV";"Prime Minister Maris KUCINSKIS (since 11 February 2016); Deputy Prime Minister Arvils ASERADENS (since 11 February 2016)"
"LB";"Prime Minister Saad al-HARIRI (since 18 December 2016); Deputy Prime Minister Ghassan HASBANI (since 18 December 2016)"
"LS";"Prime Minister Thomas Motsoahae THABANE (since 16 June 2017)"
"LR";"President George WEAH (since 22 January 2018); Vice President Jewel Taylor (since 22 January 2018)"
"LY";"Prime Minister Fayiz al-SARAJ (since December 2015)"
"LI";"Prime Minister Adrian HASLER (since 27 March 2013)"
"LT";"Prime Minister Saulius SKVERNELIS (since 13 December 2016)"
"LU";"Prime Minister Xavier BETTEL (since 4 December 2013); Deputy Prime Minister Etienne SCHNEIDER (since 4 December 2013)"
"MO";"99999999999998"
"MK";"Prime Minister Zoran ZAEV (since 31 May 2017)"
"MG";"Prime Minister Olivier Mahafaly SOLONANDRASANA (since 13 April 2016); Prime Minister Jean RAVELONARIVO (since 17 January 2015) resigned 8 April 2016"
"MW";"President Arthur Peter MUTHARIKA (since 31 May 2014); Vice President Saulos CHILIMA (since 31 May 2014)"
"MY";"Prime Minister Mohamed NAJIB bin Abdul Najib Razak (since 3 April 2009); Deputy Prime Minister Ahmad ZAHID Hamidi (since 29 July 2015)"
"MV";"President Abdulla YAMEEN Abdul Gayoom (since 17 November 2013); Vice President Abdulla JIHAD (since 21 June 2016); note - Vice President Mohamed JAMEEL was removed from office 22 July 2015 and Vice President Ahmed ADHEEB Abdul Ghafoor was removed from office 5 November 2015"
"ML";"Prime Minister Soumeylou Boubeye MAIGA (since 31 December 2017)"
"MT";"Prime Minister Joseph MUSCAT (since 11 March 2013)"
"MH";"President Hilda C. HEINE (since 28 January 2016)"
"MQ";"99999999999998"
"MR";"Prime Minister Yahya Ould HADEMINE (since 21 August 2014)"
"MU";"Prime Minister Pravind JUGNAUTH (since 23 January 2017); note - Prime Minister Sir Anerood JUGNAUTH (since 17 December 2014) stepped down on 23 January 2017 in favor of his son, Pravind Kumar JUGNAUTH who was then appointed prime minister; Anerood JUGNAUTH now holds the position of Mentor Minister, a position created when he stepped down"
"YT";"99999999999998"
"MX";"President Enrique PENA NIETO (since 1 December 2012)"
"FM";"President Peter M. CHRISTIAN (since 11 May 2015); Vice President Yosiwo P. GEORGE (since 11 May 2015)"
"MD";"Prime Minister Pavel FILIP (since 20 January 2016)"
"MC";"Minister of State Serge TELLE (since 1 February 2016)"
"MN";"Prime Minister Ukhnaa KHURELSUKH (since 4 October 2017); Deputy Prime Minister Ulziisaikhan ENKHTUVSHUN (since 18 October 2017); note - Prime Minister Jargaltulga ERDENEBAT (since 8 July 2016) was voted out of office by the Parliament on 7 September 2017"
"ME";"Prime Minister Dusko MARKOVIC (since 28 November 2016); note - Prime Minister Milo DJUKANOVIC resigned 26 October 2016"
"MS";"Premier Donaldson ROMERO (since 12 September 2014); note - effective with the new Constitution Order of October 2010, the office of premier replaced the office of chief minister"
"MA";"Prime Minister Saad-Eddine al-OTHMANI (since 17 March 2017)"
"MZ";"President Filipe Jacinto NYUSI (since 15 January 2015); Prime Minister Carlos Agostinho DO ROSARIO (since 17 January 2015)"
"MM";"President HTIN KYAW (since 30 March 2016); Vice Presidents MYINT SWE (since 30 March 2016) and HENRY VAN THIO (since 30 March 2016)"
"NA";"President Hage GEINGOB (since 21 March 2015); Vice President Nangola MBUMBA (since 8 February 2018); Prime Minister Saara KUUGONGELWA-AMADHILA (since 21 March 2015)"
"NR";"President Baron WAQA (since 11 June 2013)"
"NP";"Prime Minister Khadga Prasad OLI (since 15 February 2018); deputy prime ministers (vacant); note - Prime Minister Sher Bahadur DEUBA resigned on 15 February 2018"
"NL";"Prime Minister Mark RUTTE (since 14 October 2010; Deputy Prime Ministers (since 26 October 2017) Hugo DE JONGE, Karin Kajsa OLLONGREN, and Carola SCHOUTEN (since 26 October 2017); note - Mark RUTTE heads his third cabinet since 26 October 2017"
"NC";"President of the Government Philippe GERMAINE (since 1 April 2015); Vice President Jean-Louis D'ANGLEBERME (since 1 April 2015)"
"NZ";"Prime Minister Jacinda ARDERN (since 26 October 2017); Deputy Prime Minister Winston PETERS (since 26 October 2017)"
"NI";"President Jose Daniel ORTEGA Saavedra (since 10 January 2007); Vice President Rosario MURILLO Zambrana (since 10 January 2017)"
"NE";"Prime Minister Brigi RAFINI (since 7 April 2011)"
"NG";"President Maj.Gen. (ret.) Muhammadu BUHARI (since 29 May 2015); Vice President Oluyemi "Yemi" OSINBAJO (since 29 May 2015)"
"NU";"Premier Toke TALAGI (since 18 June 2008)"
"NF";"Administrator Eric HUTCHINSON (since 1 April 2017)"
"MP";"Governor Eloy S. INOS (since 20 February 2013); Lieutenant Governor Ralph TORRES (since 20 February 2013)"
"NO";"Prime Minister Erna SOLBERG (since 16 October 2013)"
"OM";"Sultan and Prime Minister QABOOS bin Said Al-Said (sultan since 23 July 1970 and prime minister since 23 July 1972)"
"PK";"Prime Minister Shahid Khaqan ABBASI (since 1 August 2017); Prime Minister Mohammad Nawaz SHARIF resigned 7/28/17"
"PW";"President Tommy REMENGESAU (since 17 January 2013); Vice President Antonio BELLS (since 17 January 2013)"
"PS";"99999999999998"
"PA";"President Juan Carlos VARELA (since 1 July 2014); Vice President Isabel de SAINT MALO de Alvarado (since 1 July 2014)"
"PG";"Prime Minister Peter Paire O'NEILL (since 2 August 2011); Deputy Prime Minister Charles ABEL (since 4 August 2017)"
"PY";"President Horacio CARTES Jara (since 15 August 2013); Vice President Juan AFARA Maciel (since 15 August 2013)"
"PE";"President Pedro Pablo KUCZYNSKI Godard (since 28 July 2016); First Vice President Martin Alberto VIZCARRA Cornejo (since 28 July 2016); Second Vice President Mercedes Rosalba ARAOZ Fernandez (since 28 July 2016)"
"PH";"President Rodrigo DUTERTE (since 30 June 2016); Vice President Leni ROBREDO (since 30 June 2016)"
"PN";"Mayor and Chairman of the Island Council Shawn CHRISTIAN (since 9 November 2016)"
"PL";"Prime Minister Mateusz MORAWIECKI (since 11 December 2017); Deputy Prime Minister and Minister of Culture and National Heritage Piotr GLINSKI (since 16 November 2015), Deputy Prime Minister and Minister of Science and Higher Education Jaroslaw GOWIN (since 16 November 2015), Beata SZYDLO, Deputy Prime Minister and Minister of Social Policy (since 11 December 2017)"
"PT";"Prime Minister Antonio Luis Santos da COSTA (since 24 November 2015)"
"PR";"Governor Ricardo ROSSELLO (since 2 January 2017)"
"QA";"Prime Minister ABDALLAH bin Nasir bin Khalifa Al Thani (since 26 June 2013); Deputy Prime Minister Ahmad bin Abdallah al-MAHMUD (since 20 September 2011)"
"RE";"99999999999998"
"RO";"Prime Minister Viorica DANCILA (since 29 January 2018); Deputy Prime Ministers Gratiela GAVRILESCU (since 29 June 2017), Paul STANESCU (17 October 2017), Viorel STEFAN (since 29 January 2018), Ana BIRCHALL (since 29 January 2018); note - Mihai TUDOSE resigned on 15 January 2018; DANCILA is Romania's first woman prime minister"
"RU";"Premier Dmitriy Anatolyevich MEDVEDEV (since 8 May 2012); First Deputy Premier Igor Ivanovich SHUVALOV (since 12 May 2008); Deputy Premiers Arkadiy Vladimirovich DVORKOVICH (since 21 May 2012), Olga Yuryevna GOLODETS (since 21 May 2012), Aleksandr Gennadiyevich KHLOPONIN (since 19 January 2010), Dmitriy Nikolayevich KOZAK (since 14 October 2008), Vitaliy Leontyevich MUTKO (since 19 October 2016), Dmitriy Olegovich ROGOZIN (since 23 December 2011), Sergey Eduardovich PRIKHODKO (since 22 May 2013); Yuriy Petrovich TRUTNEV (since 31 August 2013)"
"RW";"Prime Minister Edouard NGIRENTE (since 30 August 2017)"
"BL";"President of Territorial Council Bruno MAGRAS (since 16 July 2007)"
"SH";"Governor Lisa PHILLIPS (since 25 April 2016)"
"KN";"Prime Minister Timothy HARRIS (since 18 February 2015); Deputy Prime Minister Shawn RICHARDS (since 22 February 2015)"
"LC";"Prime Minister Allen CHASTANET (since 7 June 2016)"
"MF";"President of Territorial Council Daniel GIBBS (since 2 April 2017)"
"PM";"President of Territorial Council Stephane LENORMANDI (since 2017)"
"VC";"Prime Minister Ralph E. GONSALVES (since 29 March 2001)"
"WS";"Prime Minister TUILA'EPA Lupesoliai Sailele Malielegaoi (since 23 November 1998); Deputy Prime Minister FONOTOE Pierre Lauofo (since 2011)"
"SM";"Secretary of State for Foreign and Political Affairs Nicola RENZI (since 27 December 2016)"
"ST";"Prime Minister Patrice Emery TROVOADA (since 29 November 2014)"
"SA";"King and Prime Minister SALMAN bin Abd al-Aziz Al Saud (since 23 January 2015); Crown Prince MUHAMMAD BIN SALMAN bin Abd al-Aziz Al Saud (born 31 August 1985)"
"SN";"Prime Minister Mohammed Abdallah Boun DIONNE (since 4 July 2014)"
"RS";"Prime Minister Ana BRNABIC (since 29 June 2017)"
"SC";"President Danny FAURE (since 16 October 2016); Vice President Vincent MERITON (since 28 October 2016); note - James Alix MICHEL resigned the presidency effective 16 October 2016"
"SL";"President Ernest Bai KOROMA (since 17 September 2007)"
"SG";"Prime Minister LEE Hsien Loong (since 12 August 2004); Deputy Prime Ministers TEO Chee Hean (since 1 April 2009) and Tharman SHANMUGARATNAM (since 21 May 2011)"
"SX";"Prime Minister Leona MARLIN-ROMEO (since 15 January 2018)"
"SK";"Prime Minister Robert FICO (since 4 April 2012); Deputy Prime Ministers Robert KALINAK (since 4 April 2012), Lucia ZITNANSKA (since 23 March 2016), Gabriela MATECNA (since 29 November 2017)"
"SI";"Prime Minister Miro CERAR (since 18 September 2014)"
"SB";"Prime Minister Rick HOU (since 16 November 2017)"
"SO";"Prime Minister Hassan Ali KHAYRE (since 1 March 2017)"
"ZA";"President Matamela Cyril RAMAPHOSA (since 15 February 2018); deputy president David MABUZA (26 February 2018); note - Jacob ZUMA resigned the presidency on 14 February 2018"
"GS";"99999999999998"
"SS";"President Salva KIIR Mayardit (since 9 July 2011); First Vice President Taban Deng GAI (since 26 July 2016); Second Vice President James Wani IGGA (since 26 April 2016)"
"ES";"President of the Government or Prime Minister Mariano RAJOY (since 20 December 2011); Vice President (and Minister of the President's Office) Soraya SAENZ DE SANTAMARIA (since 22 December 2011)"
"LK";"President Maithripala SIRISENA (since 9 January 2015)"
"SD";"President Umar Hassan Ahmad al-BASHIR (since 16 October 1993); First Vice President BAKRI Hassan Salih (since 3 December 2013) and prime minister (since 2 March 2017); Second Vice President Hasabu Mohamed ABDEL RAHMIN (since 3 December 2013)"
"SR";"President Desire Delano BOUTERSE (since 12 August 2010); Vice President Ashwin ADHIN (since 12 August 2015)"
"SJ";"Governor Kjerstin ASKHOLT (since 1 October 2015); Assistant Governor Berit SAGFOSSEN (since 1 April 2016)"
"SZ";"Prime Minister Barnabas Sibusiso DLAMINI (since 23 October 2008); Deputy Prime Minister Paul DLAMINI (since 2013)"
"SE";"Prime Minister Stefan LOFVEN (since 3 October 2014); Deputy Prime Minister Isabella LOVIN (since 25 May 2016)"
"CH";"President of the Swiss Confederation Alain BERSET (since 1 January 2018); Vice President Ueli MAURER (since 1 January 2018)"
"SY";"Prime Minister Imad Muhammad Dib KHAMIS (since 22 June 2016); Deputy Prime Ministers Fahd Jasim al-FURAYJ, Lt. Gen.(since 23 June 2012) and Walid al-MUALEM (since 23 June 2012)"
"TW";"Premier LAI Ching-te (President of the Executive Yuan) (since 8 September 2017); Vice Premier LIN Hsi-yao, Vice President of the Executive Yuan (since 20 May 2016)"
"TJ";"Prime Minister Qohir RASULZODA (since 23 November 2013)"
"TZ";"President John MAGUFULI, Dr. (since 5 November 2015); Vice President Samia SULUHU (since 5 November 2015); note - Prime Minister Kassim Majaliwa MAJALIWA (since 20 November 2015) has authority over the day-to-day functions of the government, is the leader of government business in the National Assembly, and is head of the Cabinet"
"TH";"Interim Prime Minister Gen. PRAYUT Chan-ocha (since 25 August 2014); Deputy Prime Ministers PRAWIT Wongsuwan, Gen. (since 31 August 2014), WISSANU Kruea-ngam (since 31 August 2014), SOMKHIT Chatusiphithak (since 20 August 2015), PRACHIN Chantong, Air Chief Mar. (since 20 August 2015), CHATCHAI Sarikan, Gen. (since 23 November 2017)"
"TL";"Prime Minister Mari ALKATIRI (since 15 September 2017)"
"TG";"Prime Minister Komi KLASSOU (since 5 June 2015)"
"TK";"Afega GAULOFA (since 10 March 2016); note - position rotates annually among the 3 Faipule (village leaders)"
"TO";"Interim Prime Minister 'Akilisi POHIVA (since 30 December 2014); note - King TUPOU VI dissolved the parliament on 26 August 2017"
"TT";"Prime Minister Keith ROWLEY (since 9 September 2015)"
"TN";"Prime Minister Youssef CHAHED (since 27 August 2016)"
"TR";"Prime Minister Binali YILDIRIM (since 22 May 2016); Deputy Prime Ministers Recep AKDAG (since 20 July 2017), Bekir BOZDAG (since 20 July 2017), Hakan CAVUSOGLU (since 20 July 2017), Fikri ISIK (since 20 July 2017), Mehmet SIMSEK (since 24 November 2015)"
"TM";"President Gurbanguly BERDIMUHAMEDOW (since 14 February 2007)"
"TC";"Premier Sharlene CARTWRIGHT-ROBINSON (since 20 December 2016); first female Premier of Turks and Caicos"
"TV";"Prime Minister Enele SOPOAGA (since 5 August 2013)"
"UG";"President Yoweri Kaguta MUSEVENI (since seizing power on 26 January 1986); Vice President Edward SSEKANDI (since 24 May 2011); Prime Minister Ruhakana RUGUNDA (since 19 September 2014); First Deputy Prime Minister Moses ALI (since 6 June 2016); Second Deputy Prime Minister Kirunda KIVEJINJA (since 6 June 2016)"
"UA";"Prime Minister Volodymyr HROYSMAN (since 14 April 2016); First Deputy Prime Minister Stepan KUBIV (since 14 April 2016)"
"AE";"Prime Minister Vice President MUHAMMAD BIN RASHID Al-Maktum (since 5 January 2006); Deputy Prime Ministers SAIF bin Zayid Al-Nuhayyan, MANSUR bin Zayid Al-Nuhayyan (both since 11 May 2009)"
"GB";"Prime Minister Theresa MAY (Conservative) (since 13 July 2016)"
"UM";"99999999999998"
"US";"President Donald J. TRUMP (since 20 January 2017); Vice President Michael R. PENCE (since 20 January 2017)"
"UY";"President Tabare VAZQUEZ (since 1 March 2015); Vice President Lucia TOPOLANSKY (since 13 September 2017); note - Vice President Raul Fernando SENDIC Rodriguez (since 1 March 2015) stepped down on 9 September amid accusations of misuse of public funds"
