;populacao_7
"AF";"285376"
"AL";"99937"
"DZ";"1657081"
"AO";"279154"
"AG";"3090"
"AR";"1436113"
"AM";"86650"
"AW";"2306"
"AU";"1238536"
"AT";"389538"
"AZ";"210206"
"BS";"14762"
"BH";"42040"
"BD";"5290059"
"BB";"8759"
"BY";"257202"
"BE";"475888"
"BZ";"6887"
"BJ";"86751"
"BT";"28420"
"BO";"288194"
"BA";"109812"
"BW";"47577"
"BR";"8247636"
"BN";"17865"
"BG";"160483"
"BF";"120894"
"BI";"90065"
"CV";"12365"
"KH";"472118"
"CM";"290090"
"CA";"1799801"
"CF";"38239"
"TD";"82388"
"CL";"730991"
"CN";"41432125"
"HK";"422421"
"MO";"45422"
"TW";"1117605"
"CO";"1609140"
"KM";"5804"
"CG";"84208"
"CR";"223265"
"CI";"114483"
"HR";"130438"
"CU";"374277"
"CW";"5274"
"CY";"55433"
"CZ";"381886"
"KP";"562745"
"CD";"844292"
"DK";"187360"
"DJ";"10191"
"DO";"300593"
"EC";"614867"
"EG";"1933556"
"SV";"166818"
"GQ";"12896"
"ER";"85689"
"EE";"44163"
"ET";"1623347"
"FJ";"14785"
"FI";"223655"
"FR";"2711990"
"GF";"11313"
"PF";"9378"
"GA";"40608"
"GM";"10384"
"GE";"82537"
"DE";"3271417"
"GH";"224768"
"GR";"462619"
"GD";"2662"
"GP";"11539"
"GU";"4999"
"GT";"518082"
"GN";"116949"
"GW";"11919"
"GY";"5690"
"HT";"140019"
"HN";"282148"
"HU";"255315"
"IS";"15147"
"IN";"24228344"
"ID";"3973470"
"IR";"3958566"
"IQ";"522090"
"IE";"227905"
"IL";"353011"
"IT";"2258718"
"JM";"80309"
"JP";"5160702"
"JO";"209935"
"KZ";"326442"
"KE";"941618"
"KI";"1128"
"KW";"87081"
"KG";"98213"
"LA";"101177"
"LV";"48069"
"LB";"220446"
"LS";"19119"
"LR";"52338"
"LY";"149879"
"LT";"65693"
"LU";"29932"
"MG";"334089"
"MW";"251556"
"MY";"1078489"
"MV";"23244"
"ML";"99705"
"MT";"18633"
"MQ";"11445"
"MR";"30627"
"MU";"33051"
"YT";"9244"
"MX";"4790475"
"FM";"8937"
"FM";"909"
"MN";"58145"
"ME";"20397"
"MA";"1309266"
"MZ";"319133"
"MM";"549746"
"NA";"34138"
"NP";"577305"
"NL";"626319"
"NC";"8866"
"NZ";"196121"
"NI";"239980"
"NE";"125475"
"NG";"889852"
"NO";"241658"
"OM";"185510"
"PK";"2134735"
"PA";"162582"
"PG";"84334"
"PY";"156788"
"PE";"1078701"
"PH";"1461651"
"PL";"1522437"
"PT";"405235"
"PR";"125023"
"QA";"73187"
"KR";"2424584"
"MD";"87679"
"RE";"30823"
"RO";"481714"
"RU";"3417969"
"RW";"235881"
"LC";"6459"
"VC";"2409"
"WS";"3455"
"ST";"1901"
"SA";"957199"
"SN";"207210"
"RS";"206202"
"SC";"2685"
"SL";"25781"
"SG";"312254"
"SK";"183608"
"SI";"88176"
"SB";"10195"
"SO";"77704"
"ZA";"890925"
"SS";"86384"
"ES";"2097831"
"LK";"623548"
"PS";"93540"
"SD";"349642"
"SR";"10137"
"SZ";"13139"
"SE";"418436"
"CH";"444634"
"SY";"607230"
"TJ";"171137"
"MK";"60813"
"TH";"2159409"
"TL";"12608"
"TG";"41758"
"TO";"1547"
"TT";"29842"
"TN";"401613"
"TR";"3013118"
"TM";"75040"
"UG";"445798"
"UA";"1077929"
"AE";"270151"
"GB";"2825832"
"TZ";"860642"
"US";"12622964"
"VI";"2544"
"UY";"102167"
"UZ";"621987"
"VU";"6068"
"VE";"948161"
"VN";"3821271"
"EH";"13384"
"YE";"232970"
"ZM";"222190"
"ZW";"246314"
