;indicadoressociais_12
"AW";""
"AF";"29.3"
"AO";"24.8"
"AL";"5.5"
"AD";""
"AE";"3.1"
"AR";"3.6"
"AM";"4.3"
"AS";""
"AG";""
"AU";"2.5"
"AT";"2.5"
"AZ";"2.5"
"BI";""
"BE";"2.5"
"BJ";"9.9"
"BF";"20.8"
"BD";"15.8"
"BG";"3.3"
"BH";""
"BS";""
"BA";"2.5"
"BY";"2.5"
"BZ";"6.6"
"BM";""
"BO";"19.6"
"BR";"2.5"
"BB";"3.8"
"BN";"2.6"
"BT";""
"BW";"26.8"
"CF";"60.3"
"CA";"2.5"
"CH";"2.5"
"CL";"3.3"
"CN";"8.8"
"CI";"21.1"
"CM";"6.5"
"CD";""
"CG";"37.7"
"CO";"7.1"
"KM";""
"CV";"12.7"
"CR";"4.9"
"CU";"2.5"
"CW";""
"KY";""
"CY";"4.5"
"CZ";"2.5"
"DE";"2.5"
"DJ";"19.4"
"DM";"5.6"
"DK";"2.5"
"DO";"11.1"
"DZ";"4.6"
"EC";"8"
"EG";"4.6"
"ER";""
"ES";"2.5"
"EE";"2.9"
"ET";"22.8"
"FI";"2.5"
"FJ";"4.4"
"FR";"2.5"
"FO";""
"FM";""
"GA";"9.1"
"GB";"2.5"
"GE";"7.4"
"GH";"6.3"
"GI";""
"GN";"18.5"
"GM";"9.8"
"GW";"26.1"
"GQ";""
"GR";"2.5"
"GD";""
"GL";""
"GT";"16.1"
"GU";""
"GY";"7.8"
"HK";"2.5"
"HN";"15.5"
"HR";"2.5"
"HT";"47.5"
"HU";"2.5"
"ID";"7.3"
"IM";""
"IN";"15.3"
"IE";"2.5"
"IR";"5.1"
"IQ";"27.8"
"IS";"2.5"
"IL";"2.5"
"IT";"2.5"
"JM";"9"
"JO";"12.9"
"JP";"2.5"
"KZ";"2.5"
"KE";"22.5"
"KG";"6.5"
"KH";"18.7"
"KI";"3.2"
"KN";""
"KR";"2.5"
"KW";"2.5"
"LA";"16.7"
"LB";"10.9"
"LR";"38.4"
"LY";""
"LC";""
"LI";""
"LK";"10.8"
"LS";"12.9"
"LT";"2.5"
"LU";"2.5"
"LV";"2.5"
"MO";"11.6"
"MF";""
"MA";"3.9"
"MC";""
"MD";""
"MG";"41.1"
"MV";"11"
"MX";"4"
"MH";""
"MK";"4.2"
"ML";"5.9"
"MT";"2.5"
"MM";"10.8"
"ME";"2.5"
"MN";"18.5"
"MP";""
"MZ";"30.4"
"MR";"9.4"
"MU";"5.6"
"MW";"24.5"
"MY";"2.9"
"NA";"26.1"
"NC";"9.8"
"NE";"12.3"
"NG";"9"
"NI";"16.4"
"NL";"2.5"
"NO";"2.5"
"NP";"9.5"
"NR";""
"NZ";"2.5"
"OM";"5.3"
"PK";"20.9"
"PA";"9.2"
"PE";"9"
"PH";"13.9"
"PW";""
"PG";""
"PL";"2.5"
"PR";""
"KP";"42.8"
"PT";"2.5"
"PY";"11.7"
"PS";""
"PF";"4.3"
"QA";""
"RO";"2.5"
"RU";"2.5"
"RW";"34"
"SA";"5.5"
"SD";"25.1"
"SN";"11.7"
"SG";""
"SB";"12.7"
"SL";"25.7"
"SV";"11"
"SM";""
"SO";""
"RS";"5.7"
"SS";""
"ST";"9.8"
"SR";"7.6"
"SK";"2.9"
"SI";"2.5"
"SE";"2.5"
"SZ";"21"
"SX";""
"SC";""
"SY";""
"TC";""
"TD";"38.4"
"TG";"16.2"
"TH";"9.2"
"TJ";""
"TM";"5.1"
"TL";"27.1"
"TO";""
"TT";"5.5"
"TN";"4.7"
"TR";"2.5"
"TV";""
"TZ";"32.1"
"UG";"38.6"
"UA";"2.9"
"UY";"2.5"
"US";"2.5"
"UZ";"7.3"
"VC";"5.9"
"VE";"9.8"
"VG";""
"VI";""
"VN";"11.1"
"VU";"6.9"
"WS";"3.1"
"YE";"32.6"
"ZA";"5.8"
"ZM";"44.4"
"ZW";"48.2"
