;indicadoressociais_13
"DZ";"3289"
"EG";"3527"
"LY";"3328"
"MA";"3444"
"SD";"2336"
"TN";"3350"
"BI";""
"KM";"2373"
"DJ";"2595"
"ER";""
"ET";"2239"
"KE";"2226"
"MG";"1983"
"MW";"2326"
"MU";"3060"
"MZ";"2236"
"RW";"2289"
"SC";"2362"
"SO";"1869"
"SS";""
"UG";"2117"
"TZ";"2196"
"ZM";"2006"
"ZW";"1927"
"AO";"2207"
"CM";"2732"
"CF";"1782"
"TD";"2123"
"CG";"2039"
"CD";""
"GQ";""
"GA";"2830"
"ST";"2500"
"BW";"2310"
"LS";"2566"
"NA";"2228"
"ZA";"2979"
"BJ";"2670"
"BF";"2694"
"CV";"2650"
"CI";"2576"
"GM";"2631"
"GH";"3009"
"GN";"2567"
"GW";"2259"
"LR";"2204"
"ML";"2900"
"MR";"2857"
"NE";"2571"
"NG";"2632"
"SN";"2463"
"SL";"2340"
"TG";"2479"
"KZ";"3239"
"KG";"2820"
"TJ";"2182"
"TM";"2838"
"UZ";"2730"
"CN";"3181"
"TW";"2997"
"HK";"3290"
"MO";"2915"
"KP";"2103"
"JP";"2728"
"MN";"2474"
"KR";"3325"
"BN";"2979"
"KH";"2443"
"ID";"2801"
"LA";"2460"
"MY";"2943"
"MM";"2670"
"PH";"2585"
"SG";""
"TH";"2739"
"TL";"2131"
"VN";"2766"
"AF";"2039"
"BD";"2451"
"BT";""
"IN";"2452"
"IR";"3099"
"MV";"2736"
"NP";"2646"
"PK";"2430"
"LK";"2563"
"AM";"2931"
"AZ";"3134"
"BH";""
"CY";"2749"
"GE";"2875"
"IQ";"2464"
"IL";"3610"
"JO";"2637"
"KW";"3478"
"LB";"2777"
"OM";"3135"
"QA";""
"SA";"3255"
"PS";""
"SY";"3065"
"TR";"3714"
"AE";"3334"
"YE";"2131"
"AG";"2381"
"BS";"2666"
"BB";"2965"
"CU";"3473"
"DM";"2942"
"DO";"2639"
"GD";"2451"
"HT";"2132"
"JM";"2776"
"PR";""
"KN";"2491"
"LC";"2595"
"VC";"2963"
"TT";"3057"
"BZ";"2743"
"CR";"2862"
"SV";"2603"
"GT";"2448"
"HN";"2629"
"MX";"3093"
"NI";"2660"
"PA";"2749"
"AR";"3231"
"BO";"2301"
"BR";"3227"
"CL";"2984"
"CO";"2860"
"EC";"2593"
"GY";"2785"
"PY";"2603"
"PE";"2672"
"SR";"2774"
"UY";"3137"
"VE";"2576"
"AU";"3292"
"NZ";"3094"
"FJ";"2935"
"NC";"2804"
"PG";"2239"
"SB";"2408"
"VU";"2829"
"FM";""
"KI";"3031"
"MH";""
"NR";""
"PW";""
"AS";""
"CK";""
"PF";"2927"
"NU";""
"WS";"2948"
"TK";""
"TO";""
"TV";""
"BM";"2671"
"CA";"3481"
"GL";""
"US";"3699"
"BY";"3227"
"BG";"2878"
"CZ";"3256"
"HU";"3037"
"PL";"3451"
"MD";"2681"
"RO";"3358"
"RU";"3372"
"SK";"2984"
"UA";"3067"
"DK";"3367"
"EE";"3253"
"FI";"3368"
"IS";"3403"
"IE";"3600"
"LV";"3174"
"LT";"3417"
"NO";"3474"
"SE";"3179"
"GB";"3424"
"AL";"3208"
"AD";""
"BA";"3173"
"HR";"3059"
"GR";"3400"
"IT";"3579"
"MT";"3378"
"ME";"3491"
"PT";"3477"
"RS";"2728"
"SI";"3168"
"ES";"3174"
"MK";"2949"
"AT";"3768"
"BE";"3733"
"FR";"3482"
"DE";"3499"
"LU";"3539"
"NL";"3228"
"CH";"3389"
