;redes_31
"AF";"3,55"
"AL";"41,20"
"DZ";"11,23"
"AS";"99999999999998"
"AD";"78,53"
"AO";"2,30"
"AI";"48,00"
"AG";"42,00"
"AR";"34,00"
"AM";"15,30"
"AW";"58,00"
"99999999999998";"33,00"
"AU";"74,25"
"AT";"73,45"
"AZ";"27,40"
"BS";"33,88"
"BH";"53,00"
"BD";"3,10"
"BB";"64,70"
"BY";"27,43"
"BE";"70,00"
"BZ";"27,20"
"BJ";"2,24"
"BM";"83,25"
"BT";"7,17"
"BO";"16,80"
"BA";"37,74"
"BW";"6,15"
"BR";"39,22"
"VG";"36,00"
"BN";"49,00"
"BG";"45,00"
"BF";"1,13"
"BI";"0,90"
"KH";"0,53"
"CM";"3,84"
"CA";"80,30"
"CV";"21,00"
"KY";"64,50"
"CF";"1,80"
"TD";"1,50"
"CL";"41,56"
"CN";"28,90"
"CO";"30,00"
"KM";"3,50"
"CD";"0,56"
"CG";"4,50"
"CK";"30,29"
"CR";"34,33"
"CI";"2,00"
"HR";"50,58"
"CU";"14,33"
"CY";"49,81"
"CZ";"64,43"
"KP";"0,00"
"DK";"86,84"
"DJ";"4,00"
"DM";"42,02"
"DO";"27,72"
"EC";"24,60"
"EG";"20,00"
"SV";"12,11"
"GQ";"2,13"
"ER";"0,54"
"EE";"72,50"
"ET";"0,54"
"FK";"95,84"
"FO";"75,18"
"FJ";"17,00"
"FI";"82,49"
"FR";"71,58"
"GF";"25,70"
"PF";"44,60"
"GA";"9,50"
"GM";"7,63"
"GE";"20,07"
"DE";"79,00"
"GH";"5,44"
"GI";"65,07"
"GR";"42,40"
"GL";"62,83"
"GD";"24,05"
"GP";"23,42"
"GU";"50,64"
"GT";"9,30"
"GG";"99999999999998"
"GN";"0,94"
"GW";"2,30"
"GY";"23,90"
"HT";"8,10"
"HN";"9,80"
"HK";"69,40"
"HU";"62,00"
"IS";"93,00"
"IN";"5,12"
"ID";"6,92"
"IR";"13,80"
"IQ";"1,06"
"IE";"67,38"
"IL";"63,12"
"IT";"48,83"
"JM";"24,30"
"JP";"78,00"
"JE";"99999999999998"
"JO";"26,00"
"KZ";"18,20"
"KE";"6,10"
"KI";"8,97"
"KR";"81,60"
"KW";"50,80"
"KG";"16,00"
"LA";"6,00"
"LV";"66,84"
"LB";"30,14"
"LS";"3,72"
"LR";"2,00"
"LY";"10,80"
"LI";"75,00"
"LT";"59,76"
"LU";"87,31"
"MO";"54,00"
"MG";"1,63"
"MW";"1,07"
"MY";"55,90"
"MV";"24,80"
"ML";"1,80"
"MT";"58,86"
"MH";"5,60"
"MQ";"42,00"
"MR";"2,28"
"MU";"22,51"
"YT";"99999999999998"
"MX";"26,34"
"FM";"15,35"
"MD";"27,50"
"MC";"70,10"
"MN";"10,00"
"ME";"35,10"
"MS";"20,26"
"MA";"41,30"
"MZ";"2,68"
"MM";"0,22"
"NA";"6,50"
"NR";"99999999999998"
"NP";"1,97"
"AN";"99999999999998"
"NL";"89,63"
"NC";"33,99"
"NZ";"79,70"
"NI";"7,30"
"NE";"0,76"
"NG";"9,30"
"NU";"74,48"
"MP";"99999999999998"
"NO";"92,08"
"OM";"26,80"
"PK";"7,50"
"PS";"32,23"
"PA";"39,08"
"PG";"1,61"
"PY";"18,90"
"PE";"31,40"
"PH";"9,00"
"PL";"58,97"
"PT";"48,27"
"PR";"41,50"
"QA";"53,10"
"RE";"36,28"
"RO";"36,60"
"RU";"29,00"
"RW";"7,70"
"ST";"16,41"
"WS";"6,00"
"SM";"54,21"
"SA";"38,00"
"SN";"7,50"
"RS";"38,10"
"SC";"99999999999998"
"SL";"0,26"
"SG";"69,00"
"SK";"70,00"
"SI";"64,00"
"SB";"4,00"
"SO";"1,16"
"ZA";"10,00"
"ES";"62,40"
"LK";"8,78"
"SH";"19,07"
"KN";"55,70"
"LC";"31,00"
"PM";"99999999999998"
"VC";"31,00"
"SD";"99999999999998"
"SR";"31,36"
"SZ";"8,94"
"SE";"91,00"
"CH";"81,30"
"SY";"17,30"
"TW";"69,90"
"TJ";"10,07"
"TZ";"2,40"
"MK";"51,77"
"TH";"20,10"
"TL";"2,00"
"TG";"2,60"
"TK";"99999999999998"
"TO";"10,00"
"TT";"44,30"
"TN";"34,07"
"TR";"36,40"
"TM";"1,95"
"TC";"99999999999998"
"TV";"20,00"
"UG";"9,78"
"UA";"17,90"
"AE";"64,00"
"GB";"83,56"
"US";"71,00"
"UY";"41,80"
"UZ";"11,90"
"VU";"7,50"
"VE";"32,70"
"VN";"26,55"
"VI";"27,40"
"WF";"6,76"
"YE";"9,96"
"ZM";"6,31"
"ZW";"4,00"
