;redes_28
"AF";"0,14"
"AL";"6,33"
"DZ";"5,95"
"AS";"21,64"
"AD";"51,24"
"AO";"0,45"
"AI";"54,53"
"AG";"43,81"
"AR";"21,70"
"AM";"17,42"
"AW";"39,97"
"99999999999998";"49,01"
"AU";"52,21"
"AT";"49,36"
"AZ";"10,55"
"BS";"40,68"
"BH";"24,92"
"BD";"0,42"
"BB";"47,64"
"BY";"28,99"
"BE";"49,73"
"BZ";"13,82"
"BJ";"0,84"
"BM";"87,30"
"BT";"2,98"
"BO";"6,17"
"BA";"22,46"
"BW";"8,44"
"BR";"21,06"
"VG";"49,80"
"BN";"26,00"
"BG";"36,40"
"BF";"0,49"
"BI";"0,31"
"KH";"0,27"
"CM";"0,68"
"CA";"68,09"
"CV";"14,45"
"KY";"87,73"
"CF";"0,23"
"TD";"0,12"
"CL";"22,52"
"CN";"13,97"
"CO";"17,98"
"KM";"1,60"
"CD";"0,02"
"CG";"0,66"
"CK";"32,25"
"CR";"23,64"
"CI";"1,72"
"HR";"40,40"
"CU";"5,13"
"CY";"45,24"
"CZ";"37,59"
"KP";"3,72"
"DK";"72,13"
"DJ";"1,36"
"DM";"33,37"
"DO";"10,98"
"EC";"10,39"
"EG";"9,40"
"SV";"11,00"
"GQ";"1,08"
"ER";"0,89"
"EE";"36,38"
"ET";"0,41"
"FK";"80,54"
"FO";"48,72"
"FJ";"11,33"
"FI";"53,96"
"FR";"56,89"
"GF";"29,90"
"PF";"22,11"
"GA";"2,95"
"GM";"2,76"
"GE";"12,18"
"DE";"64,18"
"GH";"1,26"
"GI";"78,13"
"GR";"50,14"
"GL";"42,99"
"GD";"32,16"
"GP";"49,04"
"GU";"51,15"
"GT";"6,34"
"GG";"97,74"
"GN";"0,28"
"GW";"0,78"
"GY";"10,62"
"HT";"0,92"
"HN";"4,63"
"HK";"57,98"
"HU";"36,71"
"IS";"69,47"
"IN";"3,60"
"ID";"3,37"
"IR";"16,24"
"IQ";"2,78"
"IE";"47,58"
"IL";"49,48"
"IT";"47,57"
"JM";"19,10"
"JP";"48,01"
"JE";"84,79"
"JO";"12,71"
"KZ";"12,90"
"KE";"0,96"
"KI";"4,23"
"KR";"54,02"
"KW";"22,40"
"KG";"7,82"
"LA";"0,97"
"LV";"30,60"
"LB";"18,63"
"LS";"1,13"
"LR";"0,23"
"LY";"12,13"
"LI";"59,70"
"LT";"33,15"
"LU";"58,30"
"MO";"40,28"
"MG";"0,36"
"MW";"0,47"
"MY";"19,87"
"MV";"9,49"
"ML";"0,45"
"MT";"52,05"
"MH";"8,02"
"MQ";"44,11"
"MR";"0,89"
"MU";"25,69"
"YT";"6,42"
"MX";"13,36"
"FM";"9,40"
"MD";"15,27"
"MC";"91,64"
"MN";"5,14"
"ME";"99999999999998"
"MS";"99999999999998"
"MA";"4,08"
"MZ";"0,47"
"MM";"0,63"
"NA";"6,07"
"NR";"18,40"
"NP";"1,23"
"AN";"45,12"
"NL";"50,93"
"NC";"23,36"
"NZ";"46,65"
"NI";"3,09"
"NE";"0,18"
"NG";"0,48"
"NU";"56,63"
"MP";"30,84"
"NO";"51,69"
"OM";"10,04"
"PK";"2,30"
"PS";"7,71"
"PA";"12,36"
"PG";"1,08"
"PY";"5,34"
"PE";"5,98"
"PH";"4,16"
"PL";"29,59"
"PT";"42,17"
"PR";"33,91"
"QA";"27,14"
"RE";"40,07"
"RO";"18,72"
"RU";"22,82"
"RW";"0,26"
"ST";"3,84"
"WS";"5,51"
"SM";"73,85"
"SA";"15,18"
"SN";"2,34"
"RS";"99999999999998"
"SC";"25,73"
"SL";"0,48"
"SG";"48,46"
"SK";"28,82"
"SI";"40,33"
"SB";"1,74"
"SO";"0,38"
"ZA";"10,62"
"SS";"99999999999998"
"ES";"42,35"
"LK";"4,37"
"SH";"42,80"
"KN";"48,92"
"LC";"31,55"
"PM";"76,58"
"VC";"24,15"
"SD";"1,60"
"SR";"16,19"
"SZ";"3,14"
"SE";"66,92"
"CH";"74,74"
"SY";"10,84"
"TW";"58,43"
"TJ";"3,59"
"TZ";"0,51"
"MK";"26,36"
"TH";"9,52"
"TL";"99999999999998"
"TG";"0,95"
"TK";"19,96"
"TO";"10,95"
"TT";"24,51"
"TN";"10,79"
"TR";"29,45"
"TM";"8,49"
"TC";"18,93"
"TV";"6,83"
"UG";"0,23"
"UA";"22,04"
"AE";"31,66"
"GB";"58,46"
"US";"67,25"
"UY";"28,58"
"UZ";"6,60"
"VU";"3,57"
"VE";"10,84"
"VN";"3,76"
"VI";"63,85"
"WF";"12,98"
"YE";"2,30"
"ZM";"0,79"
"ZW";"2,05"
