;populacao_7
"AF";"4840135"
"AL";"88630"
"DZ";"3819204"
"AO";"8943159"
"AG";"7279"
"AR";"3420539"
"AM";"114290"
"AW";"5513"
"AU";"2372273"
"AT";"457497"
"AZ";"615057"
"BS";"27547"
"BH";"134776"
"BD";"10051610"
"BB";"14288"
"BY";"473761"
"BE";"737761"
"BZ";"43538"
"BJ";"2457607"
"BT";"50383"
"BO";"1102241"
"BA";"124755"
"BW";"242568"
"BR";"10974828"
"BN";"28630"
"BG";"239942"
"BF";"4673623"
"BI";"2957525"
"CV";"43808"
"KH";"1430746"
"CM";"5160270"
"CA";"2933182"
"CF";"848177"
"TD";"3537627"
"CL";"1068075"
"CN";"61401942"
"HK";"434482"
"MO";"57380"
"TW";"877258"
"CO";"2644729"
"KM";"133282"
"CG";"1255498"
"CR";"284552"
"CI";"5481825"
"HR";"148917"
"CU";"458426"
"CW";"11071"
"CY";"76426"
"CZ";"534590"
"KP";"1404069"
"CD";"22319045"
"DK";"379610"
"DJ";"82916"
"DO";"726959"
"EC";"1441539"
"EG";"12598050"
"SV";"316097"
"GQ";"285293"
"ER";"895330"
"EE";"53660"
"ET";"15861831"
"FJ";"53260"
"FI";"349395"
"FR";"4107469"
"GF";"49304"
"PF";"17181"
"GA";"306095"
"GM";"451355"
"GE";"159234"
"DE";"4012457"
"GH";"4678383"
"GR";"431168"
"GD";"4420"
"GP";"18033"
"GU";"9972"
"GT";"1932235"
"GN";"2804044"
"GW";"352013"
"GY";"39512"
"HT";"835653"
"HN";"812716"
"HU";"382587"
"IS";"21762"
"IN";"96993100"
"ID";"19614260"
"IR";"4531148"
"IQ";"8627470"
"IE";"374523"
"IL";"988073"
"IT";"2703879"
"JM";"80635"
"JP";"4649873"
"JO";"1093410"
"KZ";"1681855"
"KE";"8663895"
"KI";"15003"
"KW";"394183"
"KG";"570059"
"LA";"532846"
"LV";"72357"
"LB";"225586"
"LS";"250599"
"LR";"1015012"
"LY";"473860"
"LT";"112837"
"LU";"57362"
"MG";"5558665"
"MW";"4401029"
"MY";"2444514"
"MV";"30429"
"ML";"4894648"
"MT";"19467"
"MQ";"15219"
"MR";"885323"
"MU";"53510"
"YT";"44095"
"MX";"8792761"
"FM";"40773"
"FM";"6749"
"MN";"289424"
"ME";"26175"
"MA";"2598823"
"MZ";"7519168"
"MM";"3581796"
"NA";"370520"
"NP";"1787658"
"NL";"917619"
"NC";"25695"
"NZ";"346989"
"NI";"409678"
"NE";"9509730"
"NG";"45072717"
"NO";"459913"
"OM";"387068"
"PK";"23657950"
"PA";"384175"
"PG";"1185490"
"PY";"534572"
"PE";"2436429"
"PH";"11043353"
"PL";"1267214"
"PT";"374524"
"PR";"112777"
"QA";"250205"
"KR";"2010841"
"MD";"124919"
"RE";"52675"
"RO";"724492"
"RU";"7950678"
"RW";"1845132"
"LC";"7272"
"VC";"4908"
"WS";"15569"
"ST";"34828"
"SA";"2744867"
"SN";"3595717"
"RS";"322248"
"SC";"5043"
"SL";"1091185"
"SG";"308683"
"SK";"229202"
"SI";"97434"
"SB";"87456"
"SO";"4221508"
"ZA";"4929407"
"SS";"2560169"
"ES";"2107951"
"LK";"886349"
"PS";"904574"
"SD";"7992920"
"SR";"36129"
"SZ";"159887"
"SE";"752326"
"CH";"593713"
"SY";"2379073"
"TJ";"1205574"
"MK";"86364"
"TH";"2766613"
"TL";"227781"
"TG";"1481701"
"TO";"9147"
"TT";"64482"
"TN";"813531"
"TR";"5009578"
"TM";"567149"
"UG";"12031993"
"UA";"1794058"
"AE";"933434"
"GB";"4641154"
"TZ";"15911951"
"US";"25165417"
"VI";"3095"
"UY";"187923"
"UZ";"2505354"
"VU";"40411"
"VE";"2516823"
"VN";"6237548"
"EH";"81577"
"YE";"3766203"
"ZM";"4726901"
"ZW";"2594823"
