;populacao_7
"AF";"4587713"
"AL";"127178"
"DZ";"4101160"
"AO";"4941667"
"AG";"7841"
"AR";"3542864"
"AM";"149703"
"AW";"5888"
"AU";"2278268"
"AT";"508348"
"AZ";"722662"
"BS";"30007"
"BH";"171563"
"BD";"12664531"
"BB";"15003"
"BY";"511611"
"BE";"748151"
"BZ";"43406"
"BJ";"1571813"
"BT";"62036"
"BO";"1062404"
"BA";"153977"
"BW";"247479"
"BR";"13378984"
"BN";"33098"
"BG";"281257"
"BF";"2918580"
"BI";"1755049"
"CV";"50712"
"KH";"1505559"
"CM";"3457058"
"CA";"2899547"
"CF";"589273"
"TD";"2207205"
"CL";"1204258"
"CN";"75047392"
"HK";"495748"
"MO";"61150"
"TW";"1105943"
"CO";"3173357"
"KM";"98884"
"CG";"771260"
"CR";"335206"
"CI";"3274553"
"HR";"174607"
"CU";"546124"
"CW";"11778"
"CY";"83475"
"CZ";"568943"
"KP";"1615777"
"CD";"13653810"
"DK";"370931"
"DJ";"87028"
"DO";"835468"
"EC";"1520224"
"EG";"10998025"
"SV";"423474"
"GQ";"205352"
"ER";"670413"
"EE";"61458"
"ET";"14032513"
"FJ";"58723"
"FI";"356945"
"FR";"4020214"
"GF";"38499"
"PF";"19832"
"GA";"256002"
"GM";"311449"
"GE";"186444"
"DE";"4500247"
"GH";"3514370"
"GR";"465424"
"GD";"6455"
"GP";"19448"
"GU";"11290"
"GT";"1897735"
"GN";"1891682"
"GW";"249096"
"GY";"48766"
"HT";"880495"
"HN";"889553"
"HU";"439516"
"IS";"23405"
"IN";"107798870"
"ID";"20764120"
"IR";"5681761"
"IQ";"5630010"
"IE";"355334"
"IL";"850111"
"IT";"2802965"
"JM";"145661"
"JP";"5196915"
"JO";"1011431"
"KZ";"1618783"
"KE";"6716291"
"KI";"11924"
"KW";"382039"
"KG";"557984"
"LA";"634250"
"LV";"81978"
"LB";"283091"
"LS";"225888"
"LR";"677076"
"LY";"534334"
"LT";"132347"
"LU";"54048"
"MG";"3755166"
"MW";"3006314"
"MY";"2786927"
"MV";"37818"
"ML";"2922342"
"MT";"23003"
"MQ";"17353"
"MR";"606666"
"MU";"62223"
"YT";"35250"
"MX";"10456091"
"FM";"38478"
"FM";"7624"
"MN";"289229"
"ME";"31342"
"MA";"2980141"
"MZ";"4563374"
"MM";"3861782"
"NA";"317209"
"NP";"2372997"
"NL";"980594"
"NC";"25990"
"NZ";"356774"
"NI";"501862"
"NE";"4208318"
"NG";"27291441"
"NO";"445966"
"OM";"486384"
"PK";"21793738"
"PA";"384121"
"PG";"928415"
"PY";"574531"
"PE";"2711416"
"PH";"10162747"
"PL";"1567773"
"PT";"413307"
"PR";"149877"
"QA";"252016"
"KR";"2402918"
"MD";"166722"
"RE";"58090"
"RO";"835811"
"RU";"8306072"
"RW";"1563055"
"LC";"9720"
"VC";"6455"
"WS";"12956"
"ST";"24286"
"SA";"3211086"
"SN";"2371545"
"RS";"392115"
"SC";"5745"
"SL";"876895"
"SG";"369025"
"SK";"272524"
"SI";"105222"
"SB";"69285"
"SO";"2300440"
"ZA";"4955220"
"SS";"1736551"
"ES";"2217701"
"LK";"1098249"
"PS";"715901"
"SD";"5425245"
"SR";"40519"
"SZ";"147757"
"SE";"744025"
"CH";"624661"
"SY";"2349364"
"TJ";"1035523"
"MK";"106704"
"TH";"3223639"
"TL";"159458"
"TG";"1005692"
"TO";"7338"
"TT";"74075"
"TN";"933067"
"TR";"5837895"
"TM";"557158"
"UG";"7218493"
"UA";"2042864"
"AE";"847164"
"GB";"4691927"
"TZ";"9357422"
"US";"24281903"
"VI";"4280"
"UY";"213423"
"UZ";"2831259"
"VU";"33388"
"VE";"2728941"
"VN";"7024668"
"EH";"77568"
"YE";"3537190"
"ZM";"2719843"
"ZW";"2147139"
