;indicadoressociais_15
"AW";"97.54"
"AF";"35.79"
"AO";"35.61"
"AI";"96.36"
"AL";"96.78"
"AD";"100.00"
"AE";"99.98"
"AR";"94.83"
"AM";"91.35"
"AS";"62.23"
"AG";"87.11"
"AU";"100.00"
"AT";"99.98"
"AZ";"84.74"
"BI";"49.18"
"BE";"99.49"
"BJ";"13.09"
"BF";"19.91"
"BD";"42.76"
"BG";"85.95"
"BH";"100.00"
"BS";"92.01"
"BA";"94.78"
"BY";"94.40"
"BZ";"86.22"
"BM";"99.90"
"BO";"49.73"
"BR";"83.71"
"BB";"95.23"
"BN";"96.34"
"BT";"61.20"
"BW";"59.38"
"CF";"24.78"
"CA";"98.50"
"CH";"99.89"
"CL";"98.50"
"CL";"98.81"
"CN";"72.13"
"CI";"28.40"
"CM";"38.95"
"CD";"20.21"
"CG";"14.60"
"CK";"97.20"
"CO";"82.85"
"KM";"33.08"
"CV";"62.81"
"CR";"96.67"
"CU";"90.52"
"CW";"98.82"
"KY";"95.55"
"CY";"99.54"
"CZ";"99.14"
"DE";"99.22"
"DJ";"51.27"
"DM";"77.89"
"DK";"99.60"
"DO";"82.18"
"DZ";"86.97"
"EC";"83.19"
"EG";"93.02"
"ER";"10.97"
"ES";"99.90"
"EE";"99.50"
"ET";"6.24"
"FI";"99.45"
"FJ";"92.38"
"FK";"100.00"
"FR";"98.65"
"FO";"90.88"
"FM";"68.40"
"GA";"40.56"
"GB";"99.12"
"GE";"87.22"
"GH";"13.69"
"GN";"19.34"
"GP";"98.31"
"GM";"44.09"
"GW";"19.50"
"GQ";"74.93"
"GR";"98.41"
"GD";"88.62"
"GL";"99.42"
"GT";"65.79"
"GF";"91.25"
"GU";"90.35"
"GY";"84.59"
"HK";"96.46"
"HN";"76.48"
"HR";"97.39"
"HT";"28.59"
"HU";"98.00"
"ID";"63.51"
"IN";"39.69"
"IE";"91.46"
"IR";"88.10"
"IQ";"84.87"
"IS";"98.78"
"IL";"100.00"
"IT";"99.28"
"JM";"85.16"
"JO";"97.16"
"JP";"100.00"
"KZ";"97.62"
"KE";"30.03"
"KG";"95.60"
"KH";"41.42"
"KI";"39.71"
"KN";"91.61"
"KR";"100.00"
"KW";"100.00"
"LA";"64.15"
"LB";"90.67"
"LR";"16.11"
"LY";"99.70"
"LC";"89.72"
"LI";"99.95"
"LK";"93.02"
"LS";"36.62"
"LT";"91.86"
"LU";"97.63"
"LV";"91.50"
"MA";"80.86"
"MC";"100.00"
"MD";"77.07"
"MG";"8.61"
"MV";"96.04"
"MX";"86.82"
"MH";"86.66"
"MK";"91.00"
"ML";"28.90"
"MT";"99.97"
"MM";"65.63"
"ME";"94.56"
"MN";"57.89"
"MP";"78.84"
"MZ";"21.18"
"MR";"40.25"
"MS";"88.75"
"MQ";"98.67"
"MU";"93.01"
"MW";"41.73"
"MY";"99.24"
"YT";"76.88"
"NA";"32.78"
"NC";"100.00"
"NE";"11.41"
"NG";"33.22"
"NI";"73.17"
"NU";"97.23"
"NL";"97.77"
"NO";"98.06"
"NP";"40.88"
"NR";"65.60"
"NZ";"100.00"
"OM";"98.16"
"PK";"53.10"
"PA";"74.35"
"PE";"74.26"
"PH";"73.30"
"PW";"100.00"
"PG";"18.59"
"PL";"95.87"
"PR";"97.14"
"KP";"77.07"
"PT";"99.06"
"PY";"87.52"
"PS";"95.69"
"PF";"97.07"
"QA";"99.81"
"RE";"98.98"
"RO";"81.69"
"RU";"87.79"
"RW";"59.23"
"SA";"100.00"
"SD";"30.81"
"SN";"46.32"
"SG";"100.00"
"SH";"99.55"
"SB";"29.27"
"SL";"13.62"
"SV";"89.20"
"SM";"100.00"
"SO";"17.61"
"PM";"99.34"
"RS";"95.22"
"SS";"7.83"
"ST";"36.21"
"SR";"79.26"
"SK";"98.91"
"SI";"99.11"
"SE";"99.31"
"SZ";"56.24"
"SX";"98.72"
"SC";"99.24"
"SY";"92.87"
"TC";"86.98"
"TD";"9.55"
"TG";"13.30"
"TH";"95.01"
"TJ";"94.69"
"TK";"88.70"
"TM";"96.32"
"TL";"41.43"
"TO";"92.53"
"TT";"92.15"
"TN";"90.92"
"TR";"94.01"
"TV";"91.15"
"TZ";"19.88"
"UG";"18.41"
"UA";"95.75"
"UY";"95.32"
"US";"99.97"
"UZ";"100.00"
"VC";"84.85"
"VE";"94.35"
"VG";"96.86"
"VI";"97.60"
"VN";"73.53"
"VU";"53.37"
"WF";"97.65"
"WS";"97.18"
"YE";"55.69"
"ZA";"70.63"
"ZM";"30.13"
"ZW";"39.31"
