;populacao_7
"AF";"2389351"
"AL";"255331"
"DZ";"3843618"
"AO";"1925009"
"AG";"7506"
"AR";"3285876"
"AM";"278900"
"AW";"5754"
"AU";"1555809"
"AT";"522338"
"AZ";"911334"
"BS";"30258"
"BH";"118004"
"BD";"14717343"
"BB";"18990"
"BY";"783830"
"BE";"662770"
"BZ";"29064"
"BJ";"776941"
"BT";"78797"
"BO";"893548"
"BA";"284341"
"BW";"213187"
"BR";"17894142"
"BN";"36845"
"BG";"505334"
"BF";"1346648"
"BI";"821555"
"CV";"53127"
"KH";"1552820"
"CM";"1823204"
"CA";"2319177"
"CF";"406992"
"TD";"970622"
"CL";"1393623"
"CN";"123596934"
"HK";"468179"
"MO";"53191"
"TW";"1696943"
"CO";"4149596"
"KM";"64089"
"CG";"370514"
"CR";"405895"
"CI";"1710545"
"HR";"289500"
"CU";"805322"
"CW";"8094"
"CY";"96056"
"CZ";"686301"
"KP";"1886035"
"CD";"5208992"
"DK";"309580"
"DJ";"84464"
"DO";"886110"
"EC";"1332435"
"EG";"8437370"
"SV";"529434"
"GQ";"86922"
"ER";"465720"
"EE";"102107"
"ET";"7430790"
"FJ";"77007"
"FI";"328816"
"FR";"3965964"
"GF";"16598"
"PF";"23621"
"GA";"147742"
"GM";"145125"
"GE";"356188"
"DE";"4881703"
"GH";"2200446"
"GR";"708298"
"GD";"12202"
"GP";"23578"
"GU";"12125"
"GT";"1343562"
"GN";"918649"
"GW";"143657"
"GY";"55940"
"HT";"997423"
"HN";"774879"
"HU";"616091"
"IS";"22737"
"IN";"112044611"
"ID";"21611301"
"IR";"9484954"
"IQ";"2708239"
"IE";"342114"
"IL";"549325"
"IT";"3060821"
"JM";"246828"
"JP";"7087242"
"JO";"627370"
"KZ";"1580371"
"KE";"3986027"
"KI";"9870"
"KW";"251940"
"KG";"559206"
"LA";"611086"
"LV";"171282"
"LB";"397976"
"LS";"215353"
"LR";"332673"
"LY";"643220"
"LT";"234085"
"LU";"29551"
"MG";"1767301"
"MW";"1347165"
"MY";"2703116"
"MV";"45844"
"ML";"1251859"
"MT";"29794"
"MQ";"24382"
"MR";"315168"
"MU";"92228"
"YT";"18339"
"MX";"10350708"
"FM";"42702"
"FM";"11399"
"MN";"301161"
"ME";"46851"
"MA";"3032526"
"MZ";"2000050"
"MM";"4506230"
"NA";"203250"
"NP";"2302938"
"NL";"1002602"
"NC";"18286"
"NZ";"303828"
"NI";"583314"
"NE";"1154458"
"NG";"13572420"
"NO";"297510"
"OM";"343914"
"PK";"16225868"
"PA";"303679"
"PG";"617451"
"PY";"604665"
"PE";"2688112"
"PH";"8284161"
"PL";"3069240"
"PT";"633960"
"PR";"285015"
"QA";"167045"
"KR";"3273490"
"MD";"410065"
"RE";"64699"
"RO";"1542711"
"RU";"12696586"
"RW";"1076536"
"LC";"15273"
"VC";"9990"
"WS";"14556"
"ST";"15895"
"SA";"2309115"
"SN";"1182016"
"RS";"641075"
"SC";"7666"
"SL";"569070"
"SG";"323973"
"SK";"425976"
"SI";"136262"
"SB";"44912"
"SO";"931669"
"ZA";"5096297"
"SS";"823076"
"ES";"2662084"
"LK";"1650919"
"PS";"356624"
"SD";"2883375"
"SR";"43862"
"SZ";"130506"
"SE";"584639"
"CH";"467225"
"SY";"2154635"
"TJ";"778431"
"MK";"166817"
"TH";"4970560"
"TL";"92105"
"TG";"586910"
"TO";"8653"
"TT";"129383"
"TN";"1054568"
"TR";"6307058"
"TM";"509326"
"UG";"2845546"
"UA";"3693772"
"AE";"761602"
"GB";"4178758"
"TZ";"3908808"
"US";"21311955"
"VI";"6420"
"UY";"242760"
"UZ";"2926052"
"VU";"22031"
"VE";"2622004"
"VN";"8578672"
"EH";"46642"
"YE";"2265269"
"ZM";"1225399"
"ZW";"1500105"
