;populacao_2
"AF";"30571202"
"AL";"1368727"
"DZ";"28363058"
"AS";"28052"
"AD";"38195"
"AO";"34820727"
"AI";"7786"
"AG";"59938"
"AR";"26818662"
"AM";"1296866"
"AW";"51299"
"AU";"16132112"
"AT";"4412053"
"AZ";"5496348"
"BS";"231301"
"BH";"1421715"
"BD";"100296963"
"BB";"134102"
"BY";"4051117"
"BE";"6203657"
"BZ";"282946"
"BJ";"11317682"
"BM";"26423"
"BT";"511072"
"BO";"7740903"
"BA";"1540107"
"BW";"1654051"
"BR";"113794396"
"VG";"18298"
"BN";"271303"
"BG";"2728988"
"BF";"20471662"
"BI";"11912682"
"CV";"360928"
"KH";"10581240"
"CM";"23550532"
"CA";"22084651"
"KY";"39142"
"CF";"4158076"
"TD";"15854153"
"CL";"10307345"
"CN";"711335218"
"HK";"3729648"
"MO";"410477"
"TW";"11356609"
"CO";"26740805"
"KM";"705403"
"CG";"5409219"
"CK";"9038"
"CR";"2872884"
"CI";"24129232"
"HR";"1722362"
"CU";"5496781"
"CW";"85778"
"CY";"689651"
"CZ";"5017079"
"KP";"13080485"
"CD";"92385712"
"DK";"3130623"
"DJ";"641317"
"DM";"38433"
"DO";"6504541"
"EC";"11249206"
"EG";"74865964"
"SV";"3281695"
"GQ";"1453134"
"ER";"4606293"
"EE";"560070"
"ET";"91604173"
"FO";"27894"
"FK";"1419"
"FJ";"498001"
"FI";"2918841"
"FR";"34663298"
"GF";"259303"
"PF";"163008"
"GA";"1708837"
"GM";"2142702"
"GE";"1654256"
"DE";"39717678"
"GH";"24662123"
"GI";"18470"
"GR";"5025761"
"GL";"26904"
"GD";"55590"
"GP";"198726"
"GU";"96854"
"GT";"12958943"
"GN";"12740834"
"GW";"1696807"
"GY";"420522"
"HT";"6817765"
"VA";"378"
"HN";"6478216"
"HU";"4071059"
"IS";"195644"
"IN";"843467749"
"ID";"158563684"
"IR";"46654915"
"IQ";"38978721"
"IE";"2855250"
"IM";"48176"
"IL";"6151568"
"IT";"27402195"
"JM";"1363176"
"JP";"53835879"
"JO";"6993095"
"KZ";"10907542"
"KE";"45406627"
"KI";"84650"
"KW";"3079856"
"KG";"3929913"
"LA";"4524746"
"LV";"729447"
"LB";"2712464"
"LS";"1540520"
"LR";"4702765"
"LY";"3992267"
"LI";"21129"
"LT";"1148492"
"LU";"391788"
"MG";"25397390"
"MW";"19623749"
"MY";"20869021"
"MV";"322197"
"ML";"20788478"
"MT";"214441"
"MH";"32658"
"MQ";"161376"
"MR";"4290646"
"MU";"600805"
"YT";"234352"
"MX";"81022473"
"FM";"324850"
"MC";"22016"
"MN";"1948455"
"ME";"295286"
"MS";"2637"
"MA";"22444282"
"MZ";"31490680"
"MM";"30255654"
"NA";"2061940"
"NR";"5577"
"NP";"17600795"
"NL";"8809457"
"NC";"184623"
"NZ";"2789661"
"NI";"3856279"
"NE";"31518498"
"NG";"196222342"
"NU";"872"
"MP";"25714"
"NO";"3418376"
"OM";"4166979"
"PK";"152712623"
"PW";"14171"
"PA";"2849409"
"PG";"6783028"
"PY";"4407900"
"PE";"20491315"
"PH";"73423619"
"PL";"16017647"
"PT";"4413039"
"PR";"1626053"
"QA";"2593798"
"KR";"25281663"
"MD";"1597071"
"RE";"488740"
"RO";"8130625"
"RU";"62192704"
"RW";"10362226"
"SH";"2042"
"KN";"31144"
"LC";"89325"
"PM";"3604"
"VC";"54660"
"WS";"124305"
"SM";"16867"
"ST";"180371"
"SA";"24467153"
"SN";"15915311"
"RS";"3719088"
"SC";"46946"
"SL";"6213167"
"SG";"3240715"
"SX";"24739"
"SK";"2451275"
"SI";"978523"
"SB";"504602"
"SO";"16642122"
"ZA";"35120533"
"SS";"12103490"
"ES";"21758726"
"LK";"9912536"
"PS";"4686860"
"SD";"38225318"
"SR";"319983"
"SZ";"981689"
"SE";"5790909"
"CH";"4864195"
"SY";"16629934"
"TJ";"7000842"
"MK";"975141"
"TH";"31997117"
"TL";"1171966"
"TG";"7259944"
"TK";"756"
"TO";"69632"
"TT";"628697"
"TN";"6815688"
"TR";"46810161"
"TM";"3789711"
"TC";"23149"
"TV";"6984"
"UG";"49308897"
"UA";"17296807"
"AE";"8408664"
"GB";"37343306"
"TZ";"64246584"
"US";"192103643"
"VI";"44055"
"UY";"1795708"
"UZ";"20146758"
"VU";"229115"
"VE";"20212815"
"VN";"55981101"
"WF";"5271"
"EH";"484480"
"YE";"23518544"
"ZM";"19033228"
"ZW";"14026562"
