;populacao_2
"AF";"6763628"
"AL";"1350881"
"DZ";"9452443"
"AS";"16050"
"AD";"18839"
"AO";"4221884"
"AI";"3246"
"AG";"35794"
"AR";"13678247"
"AM";"1484311"
"AW";"29223"
"AU";"7228369"
"AT";"3601987"
"AZ";"2967304"
"BS";"102081"
"BH";"199838"
"BD";"40403392"
"BB";"119299"
"BY";"4445511"
"BE";"4816243"
"BZ";"71184"
"BJ";"1746752"
"BM";"27504"
"BT";"205375"
"BO";"2733564"
"BA";"2045094"
"BW";"468856"
"BR";"58853469"
"VG";"5508"
"BN";"99408"
"BG";"4412534"
"BF";"3274868"
"BI";"1945716"
"CV";"130918"
"KH";"3208795"
"CM";"4139649"
"CA";"12102417"
"KY";"7596"
"CF";"1089994"
"TD";"2180042"
"CL";"5462057"
"CN";"502885203"
"HK";"2489769"
"MO";"120829"
"TW";"9073539"
"CO";"13500396"
"KM";"148542"
"CG";"890032"
"CK";"9318"
"CR";"1177163"
"CI";"4132536"
"HR";"2217014"
"CU";"4950384"
"CW";"72376"
"CY";"341967"
"CZ";"4999514"
"KP";"8271336"
"CD";"12557610"
"DK";"2529584"
"DJ";"169327"
"DM";"37242"
"DO";"2861366"
"EC";"3907724"
"EG";"21731800"
"SV";"2222598"
"GQ";"122274"
"ER";"1156999"
"EE";"677258"
"ET";"17219831"
"FO";"22437"
"FK";"917"
"FJ";"314568"
"FI";"2306659"
"FR";"26563768"
"GF";"33372"
"PF";"76484"
"GA";"344292"
"GM";"290668"
"GE";"2340957"
"DE";"37368073"
"GH";"5363025"
"GI";"14541"
"GR";"4709432"
"GL";"27128"
"GD";"42689"
"GP";"160895"
"GU";"53282"
"GT";"3574036"
"GN";"2197130"
"GW";"385593"
"GY";"390745"
"HT";"2736724"
"VA";"355"
"HN";"1772314"
"HU";"5202533"
"IS";"114035"
"IN";"352701128"
"ID";"71954609"
"IR";"19204480"
"IQ";"6775619"
"IE";"1704145"
"IM";"29902"
"IL";"1833519"
"IT";"27358376"
"JM";"1052009"
"JP";"57701432"
"JO";"1198708"
"KZ";"7117432"
"KE";"7799464"
"KI";"28832"
"KW";"739408"
"KG";"1721544"
"LA";"1591939"
"LV";"1157407"
"LB";"1294215"
"LS";"595619"
"LR";"910618"
"LY";"1617098"
"LI";"12634"
"LT";"1604679"
"LU";"177345"
"MG";"4249102"
"MW";"2929222"
"MY";"6804722"
"MV";"80332"
"ML";"3466326"
"MT";"160888"
"MH";"15052"
"MQ";"157470"
"MR";"742547"
"MU";"469347"
"YT";"27173"
"MX";"33773437"
"FM";"151534"
"MC";"12213"
"MN";"811761"
"ME";"282019"
"MS";"5976"
"MA";"9715795"
"MZ";"5652140"
"MM";"15922600"
"NA";"483957"
"NR";"3687"
"NP";"7283291"
"NL";"6991505"
"NC";"73860"
"NZ";"1559493"
"NI";"1581278"
"NE";"2860140"
"NG";"35871116"
"NU";"1784"
"MP";"8345"
"NO";"2019334"
"OM";"571191"
"PK";"39574739"
"PW";"6223"
"PA";"978748"
"PG";"1640701"
"PY";"1559514"
"PE";"8474686"
"PH";"23329987"
"PL";"17129267"
"PT";"4670532"
"PR";"1529064"
"QA";"129284"
"KR";"18800485"
"MD";"1877136"
"RE";"245100"
"RO";"11073804"
"RU";"63198069"
"RW";"2441925"
"SH";"2639"
"KN";"20844"
"LC";"56788"
"PM";"2984"
"VC";"48090"
"WS";"78943"
"SM";"10550"
"ST";"45754"
"SA";"4895485"
"SN";"2732653"
"RS";"4365296"
"SC";"32902"
"SL";"1613019"
"SG";"1210464"
"SX";"5995"
"SK";"2434128"
"SI";"875123"
"SB";"115300"
"SO";"3028260"
"ZA";"14437664"
"SS";"2272723"
"ES";"18386336"
"LK";"7545457"
"PS";"742456"
"SD";"7013362"
"SR";"182604"
"SZ";"278108"
"SE";"4114199"
"CH";"3068461"
"SY";"4355083"
"TJ";"1869931"
"MK";"964666"
"TH";"23251956"
"TL";"302193"
"TG";"1305284"
"TK";"727"
"TO";"47078"
"TT";"531151"
"TN";"3119807"
"TR";"21339046"
"TM";"1373794"
"TC";"3513"
"TV";"3888"
"UG";"6058220"
"UA";"22826460"
"AE";"667790"
"GB";"27372422"
"TZ";"8935929"
"US";"111627940"
"VI";"46948"
"UY";"1423115"
"UZ";"7618459"
"VU";"59526"
"VE";"7550392"
"VN";"26120108"
"WF";"5414"
"EH";"73494"
"YE";"3821619"
"ZM";"2828622"
"ZW";"3436652"
