;populacao_6
"BN";"99.4"
"KH";"132.9"
"ID";"177.8"
"LA";"39.7"
"MY";"132.7"
"MM";"91.9"
"PH";"569.4"
"SG";"8.702.2"
"TH";"108.9"
"TL";"221.4"
"VN";"365.9"
"AM";"79.5"
"AZ";"125.6"
"BH";"3.210.0"
"CY";"150.2"
"GE";"41.9"
"IQ";"277.1"
"IL";"706.4"
"JO";"187.1"
"KW";"338.8"
"LB";"494.8"
"OM";"22.9"
"QA";"350.7"
"SA";"21.4"
"PS";"2.162.7"
"SY";"209.8"
"TR";"121.9"
"AE";"173.7"
"YE";"103.9"
"BY";"39.0"
"BG";"40.5"
"CZ";"119.5"
"HU";"79.0"
"PL";"85.0"
"MD";"75.8"
"RO";"60.0"
"RU";"7.7"
"SK";"89.2"
"UA";"53.6"
"DK";"156.3"
"EE";"23.4"
"FO";"40.8"
"FI";"19.9"
"IS";"3.9"
"IE";"88.7"
"IM";"179.0"
"LV";"20.6"
"LT";"33.5"
"NO";"20.8"
"SE";"30.8"
"GB";"325.8"
"AL";"78.8"
"AD";"142.9"
"BA";"50.8"
"HR";"52.2"
"GI";"3.729.1"
"GR";"65.1"
"VA";"1.829.6"
"IT";"169.4"
"MT";"1.204.5"
"ME";"38.6"
"PT";"82.3"
"SM";"551.4"
"RS";"72.6"
"SI";"86.5"
"ES";"77.9"
"MK";"66.4"
"AT";"102.7"
"BE";"421.1"
"FR";"132.2"
"DE";"213.5"
"LI";"277.9"
"LU";"353.0"
"MC";"35.428.2"
"NL";"504.1"
"CH";"259.5"
"AI";"156.3"
"AG";"289.2"
"AW";"567.9"
"BS";"48.2"
"BB";"618.4"
"VG";"246.7"
"KY";"380.9"
"CU";"86.7"
"CW";"423.2"
"DM";"91.1"
"DO";"274.1"
"GD";"270.0"
"GP";"224.5"
"HT";"509.5"
"JM";"194.5"
"MQ";"292.5"
"MS";"50.5"
"PR";"299.7"
"KN";"231.9"
"LC";"258.9"
"VC";"244.1"
"SX";"1.706.3"
"TT";"218.5"
"TC";"53.9"
"VI";"205.0"
"BZ";"29.6"
"CR";"109.2"
"SV";"314.6"
"GT";"293.4"
"HN";"126.6"
"MX";"84.9"
"NI";"65.5"
"PA";"86.6"
"AR";"21.4"
"BO";"16.4"
"BR";"26.0"
"CL";"27.2"
"CO";"45.9"
"EC";"100.0"
"FK";"0.2"
"GF";"8.9"
"GY";"3.7"
"PY";"23.1"
"PE";"33.6"
"SR";"4.0"
"UY";"20.1"
"VE";"49.2"
"BM";"934.2"
"CA";"5.4"
"GL";"0.1"
"PM";"32.1"
"US";"46.5"
"AU";"5.0"
"NZ";"23.0"
"FJ";"51.7"
"NC";"23.1"
"PG";"38.0"
"SB";"46.6"
"VU";"49.2"
"FM";"218.1"
"GU";"353.7"
"KI";"267.8"
"MH";"405.5"
"FM";"180.3"
"NR";"518.7"
"MP";"97.3"
"PW";"63.1"
"AS";"254.3"
