;populacao_7
"AF";"2712"
"AL";"3348"
"DZ";"16372"
"AO";"2341"
"AG";"169"
"AR";"92732"
"AM";"6469"
"AW";"147"
"AU";"79353"
"AT";"45326"
"AZ";"7121"
"BS";"312"
"BH";"278"
"BD";"43347"
"BB";"792"
"BY";"20711"
"BE";"56166"
"BZ";"173"
"BJ";"2666"
"BT";"262"
"BO";"6059"
"BA";"6818"
"BW";"380"
"BR";"125324"
"BN";"128"
"BG";"20974"
"BF";"1363"
"BI";"1625"
"CV";"245"
"KH";"2339"
"CM";"4618"
"CA";"127293"
"CF";"1256"
"TD";"1858"
"CL";"32856"
"CN";"1150650"
"HK";"22307"
"MO";"768"
"TW";"34217"
"CO";"40512"
"KM";"129"
"CG";"1207"
"CR";"6001"
"CI";"2268"
"HR";"13882"
"CU";"37131"
"CW";"373"
"CY";"2627"
"CZ";"35093"
"KP";"10788"
"CD";"9828"
"DK";"28742"
"DJ";"177"
"DO";"12310"
"EC";"21394"
"EG";"39469"
"SV";"4599"
"GQ";"186"
"ER";"638"
"EE";"5236"
"ET";"18346"
"FJ";"201"
"FI";"23820"
"FR";"406132"
"GF";"109"
"PF";"169"
"GA";"904"
"GM";"125"
"GE";"11456"
"DE";"500403"
"GH";"2472"
"GR";"47757"
"GD";"102"
"GP";"1558"
"GU";"068"
"GT";"5959"
"GN";"1120"
"GW";"169"
"GY";"283"
"HT";"4332"
"HN";"5585"
"HU";"38755"
"IS";"1025"
"IN";"550774"
"ID";"72298"
"IR";"23343"
"IQ";"10592"
"IE";"11888"
"IL";"18815"
"IT";"408122"
"JM";"7302"
"JP";"756836"
"JO";"1907"
"KZ";"22913"
"KE";"9587"
"KI";"025"
"KW";"166"
"KG";"3234"
"LA";"1452"
"LV";"8990"
"LB";"3028"
"LS";"797"
"LR";"302"
"LY";"1657"
"LT";"10208"
"LU";"2073"
"MG";"4509"
"MW";"1931"
"MY";"8272"
"MV";"080"
"ML";"1506"
"MT";"1041"
"MQ";"1657"
"MR";"432"
"MU";"983"
"YT";"141"
"MX";"128817"
"FM";"190"
"FM";"036"
"MN";"547"
"ME";"1336"
"MA";"9094"
"MZ";"3657"
"MM";"18491"
"NA";"569"
"NP";"6637"
"NL";"65206"
"NC";"168"
"NZ";"14715"
"NI";"3568"
"NE";"884"
"NG";"8599"
"NO";"24818"
"OM";"954"
"PK";"60490"
"PA";"5043"
"PG";"2322"
"PY";"4325"
"PE";"24820"
"PH";"27408"
"PL";"107068"
"PT";"48523"
"PR";"16824"
"QA";"181"
"KR";"56640"
"MD";"5810"
"RE";"1313"
"RO";"53425"
"RU";"391160"
"RW";"300"
"LC";"401"
"VC";"178"
"WS";"120"
"ST";"082"
"SA";"6388"
"SN";"1361"
"RS";"16620"
"SC";"176"
"SL";"118"
"SG";"6772"
"SK";"13873"
"SI";"7791"
"SB";"092"
"SO";"1971"
"ZA";"22008"
"SS";"1185"
"ES";"224807"
"LK";"23197"
"PS";"596"
"SD";"8665"
"SR";"422"
"SZ";"252"
"SE";"60753"
"CH";"44120"
"SY";"5780"
"TJ";"4039"
"MK";"2779"
"TH";"73112"
"TL";"081"
"TG";"582"
"TO";"091"
"TT";"1816"
"TN";"8011"
"TR";"49770"
"TM";"2926"
"UG";"5013"
"UA";"127280"
"AE";"607"
"GB";"335374"
"TZ";"8231"
"US";"1202217"
"VI";"166"
"UY";"13249"
"UZ";"25250"
"VU";"091"
"VE";"26963"
"VN";"172445"
"EH";"062"
"YE";"4763"
"ZM";"2468"
"ZW";"4814"
