;economia_23
"AF";"4.5"
"AL";"99999999999998"
"AD";"3.1"
"AO";"3.4"
"AR";"4.6"
"AM";"3.2"
"AU";"5.6"
"AT";"5.7"
"AZ";"2.8"
"BS";"99999999999998"
"BH";"99999999999998"
"BD";"99999999999998"
"BB";"5.9"
"BY";"5.4"
"BE";"6.4"
"BZ";"6.6"
"BJ";"5.0"
"BT";"4.0"
"BO";"7.6"
"BW";"99999999999998"
"BR";"5.6"
"BN";"2.0"
"BG";"3.9"
"BF";"3.9"
"BI";"6.8"
"CV";"5.6"
"KH";"2.6"
"CM";"3.3"
"CA";"5.4"
"CF";"1.2"
"TD";"2.0"
"CL";"4.2"
"CN";"99999999999998"
"CO";"4.8"
"KM";"99999999999998"
"CG";"6.2"
"CD";"1.6"
"CR";"6.8"
"HR";"4.3"
"CU";"12.8"
"CY";"6.7"
"CZ";"4.1"
"CI";"99999999999998"
"DK";"8.6"
"DJ";"4.5"
"DO";"99999999999998"
"EC";"4.1"
"EG";"99999999999998"
"SV";"3.5"
"EE";"5.5"
"ET";"4.5"
"FJ";"99999999999998"
"FI";"6.5"
"FR";"5.7"
"GA";"99999999999998"
"GM";"4.2"
"GE";"99999999999998"
"DE";"4.9"
"GH";"5.5"
"GR";"99999999999998"
"GT";"2.8"
"GN";"3.7"
"GW";"1.9"
"GY";"3.7"
"HN";"99999999999998"
"HK";"3.5"
"HU";"4.8"
"IS";"7.2"
"IN";"3.3"
"ID";"2.8"
"IR";"3.9"
"IE";"6.1"
"IL";"5.5"
"IT";"4.3"
"JM";"6.4"
"JP";"3.8"
"KZ";"99999999999998"
"KE";"5.5"
"KI";"99999999999998"
"KR";"99999999999998"
"KW";"99999999999998"
"KG";"5.8"
"LA";"2.8"
"LV";"5.1"
"LB";"1.6"
"LS";"99999999999998"
"LR";"99999999999998"
"LI";"99999999999998"
"LT";"5.3"
"LU";"99999999999998"
"MG";"99999999999998"
"MW";"4.4"
"MY";"5.0"
"MV";"99999999999998"
"ML";"3.9"
"MT";"6.9"
"MR";"3.6"
"MU";"3.7"
"MX";"5.2"
"FM";"99999999999998"
"MD";"9.1"
"MC";"1.3"
"MN";"4.6"
"MA";"99999999999998"
"MZ";"99999999999998"
"MM";"99999999999998"
"NA";"8.3"
"NP";"4.7"
"NL";"5.6"
"NZ";"7.1"
"NI";"4.5"
"NE";"3.7"
"NO";"6.8"
"OM";"99999999999998"
"PK";"2.3"
"PW";"99999999999998"
"PA";"99999999999998"
"PY";"3.8"
"PE";"2.8"
"PH";"99999999999998"
"PL";"5.1"
"PT";"5.4"
"QA";"4.5"
"RO";"3.5"
"RU";"99999999999998"
"RW";"5.0"
"KN";"99999999999998"
"LC";"4.1"
"VC";"5.1"
"WS";"99999999999998"
"SM";"2.3"
"ST";"9.8"
"SA";"99999999999998"
"SN";"5.6"
"RS";"4.6"
"SC";"99999999999998"
"SL";"2.6"
"SG";"3.1"
"SK";"4.1"
"SI";"5.6"
"SB";"10.0"
"ZA";"5.7"
"SS";"99999999999998"
"ES";"4.8"
"LK";"1.7"
"SD";"99999999999998"
"SZ";"7.0"
"SE";"6.6"
"CH";"4.9"
"TJ";"4.0"
"TZ";"4.6"
"TH";"3.5"
"MK";"99999999999998"
"TL";"10.5"
"TG";"4.4"
"TO";"99999999999998"
"TT";"99999999999998"
"TN";"6.3"
"TR";"99999999999998"
"TM";"99999999999998"
"TV";"99999999999998"
"UG";"2.3"
"UA";"99999999999998"
"GB";"5.9"
"US";"5.4"
"UY";"99999999999998"
"VU";"99999999999998"
"VE";"99999999999998"
"VN";"6.3"
"YE";"99999999999998"
"ZM";"99999999999998"
"ZW";"2.0"
