,indicadoressociais_12
"AW",""
"AF","43.7"
"AO","65.3"
"AL","8.7"
"AD",""
"AE","2.5"
"AR","4.9"
"AM","20.7"
"AS",""
"AG",""
"AU","2.5"
"AT","2.5"
"AZ","14.8"
"BI",""
"BE","2.5"
"BJ","18.6"
"BF","25.8"
"BD","18.2"
"BG","5.6"
"BH",""
"BS",""
"BA","4.5"
"BY","3.2"
"BZ","4.7"
"BM",""
"BO","31.2"
"BR","8.7"
"BB","6.3"
"BN","2.5"
"BT",""
"BW","34.7"
"CF","41.5"
"CA","2.5"
"CH","2.5"
"CL","4.1"
"CN","15.7"
"CI","21.7"
"CM","26.5"
"CD",""
"CG","32.8"
"CO","9.2"
"KM",""
"CV","17.5"
"CR","5.7"
"CU","2.5"
"CW",""
"KY",""
"CY","4.4"
"CZ","2.5"
"DE","2.5"
"DJ","42.7"
"DM","4.6"
"DK","2.5"
"DO","27.5"
"DZ","9.7"
"EC","18.9"
"EG","5.2"
"ER",""
"ES","2.5"
"EE","5.5"
"ET","46.7"
"FI","2.5"
"FJ","4.6"
"FR","2.5"
"FO",""
"FM",""
"GA","11.3"
"GB","2.5"
"GE","11.4"
"GH","12"
"GI",""
"GN","24.7"
"GM","13.8"
"GW","24.2"
"GQ",""
"GR","2.5"
"GD",""
"GL",""
"GT","16.4"
"GU",""
"GY","8.1"
"HK","2.5"
"HN","17.8"
"HR","5.8"
"HT","56.9"
"HU","2.5"
"ID","18.4"
"IM",""
"IN","21"
"IE","2.5"
"IR","5.7"
"IQ","26.6"
"IS","2.5"
"IL","2.5"
"IT","2.5"
"JM","6.6"
"JO","9"
"JP","2.5"
"KZ","5.7"
"KE","33.2"
"KG","14.4"
"KH","23.3"
"KI","4.5"
"KN",""
"KR","2.5"
"KW","2.5"
"LA","33.9"
"LB","2.5"
"LR","40.6"
"LY",""
"LC",""
"LI",""
"LK","18.9"
"LS","12.6"
"LT","2.5"
"LU","2.5"
"LV","3.6"
"MO","20.2"
"MF",""
"MA","6.4"
"MC",""
"MD",""
"MG","37"
"MV","15.5"
"MX","4.8"
"MH",""
"MK","8.4"
"ML","13.5"
"MT","2.5"
"MM","41.3"
"ME",""
"MN","32.7"
"MP",""
"MZ","39.2"
"MR","11.4"
"MU","6"
"MW","27"
"MY","3.5"
"NA","24.3"
"NC","7.6"
"NE","18.5"
"NG","9"
"NI","27.4"
"NL","2.5"
"NO","2.5"
"NP","20.4"
"NR",""
"NZ","2.5"
"OM","11.7"
"PK","25.8"
"PA","24.3"
"PE","22.3"
"PH","19.1"
"PW",""
"PG",""
"PL","2.5"
"PR",""
"KP","35.5"
"PT","2.5"
"PY","11.5"
"PS",""
"PF","4"
"QA",""
"RO","2.5"
"RU","3.7"
"RW","46"
"SA","7"
"SD",""
"SN","26.7"
"SG",""
"SB","13.6"
"SL","40"
"SV","8.9"
"SM",""
"SO",""
"RS",""
"SS",""
"ST","12.3"
"SR","12.4"
"SK","6.7"
"SI","2.5"
"SE","2.5"
"SZ","16"
"SX",""
"SC",""
"SY",""
"TC",""
"TD","39.7"
"TG","29.8"
"TH","17.1"
"TJ",""
"TM","6.9"
"TL","31.8"
"TO",""
"TT","11.3"
"TN","5.6"
"TR","2.5"
"TV",""
"TZ","36.8"
"UG","26.4"
"UA","2.8"
"UY","4.1"
"US","2.5"
"UZ","19.8"
"VC","12.7"
"VE","16.8"
"VG",""
"VI",""
"VN","20.7"
"VU","8"
"WS","4.1"
"YE","30.6"
"ZA","4.6"
"ZM","50"
"ZW","40.8"
