,indicadoressociais_12
"AW",""
"AF","46.1"
"AO","71.5"
"AL","7.2"
"AD",""
"AE","2.5"
"AR","3.5"
"AM","23.8"
"AS",""
"AG",""
"AU","2.5"
"AT","2.5"
"AZ","23"
"BI",""
"BE","2.5"
"BJ","22.7"
"BF","25.4"
"BD","20.8"
"BG","4.8"
"BH",""
"BS",""
"BA","4.4"
"BY","2.5"
"BZ","5.8"
"BM",""
"BO","33.4"
"BR","11.9"
"BB","5.4"
"BN","3.1"
"BT",""
"BW","35.7"
"CF","42.5"
"CA","2.5"
"CH","2.5"
"CL","4.7"
"CN","15.9"
"CI","20.4"
"CM","30.8"
"CD",""
"CG","36.8"
"CO","9.7"
"KM",""
"CV","17.9"
"CR","5.1"
"CU","3.7"
"CW",""
"KY",""
"CY","3.5"
"CZ","2.5"
"DE","2.5"
"DJ","48.1"
"DM","4.7"
"DK","2.5"
"DO","28.1"
"DZ","10.7"
"EC","18.5"
"EG","5.2"
"ER",""
"ES","2.5"
"EE","5.6"
"ET","52"
"FI","2.5"
"FJ","4.8"
"FR","2.5"
"FO",""
"FM",""
"GA","10.5"
"GB","2.5"
"GE","13.5"
"GH","15.6"
"GI",""
"GN","26.3"
"GM","13.1"
"GW","25.7"
"GQ",""
"GR","2.5"
"GD",""
"GL",""
"GT","20.5"
"GU",""
"GY","8.3"
"HK","2.5"
"HN","19.6"
"HR","10.4"
"HT","54.9"
"HU","2.5"
"ID","17.8"
"IM",""
"IN","18.2"
"IE","2.5"
"IR","4.9"
"IQ","28.3"
"IS","2.5"
"IL","2.5"
"IT","2.5"
"JM","7.4"
"JO","12.6"
"JP","2.5"
"KZ","5.9"
"KE","31.3"
"KG","16.3"
"KH","29.3"
"KI","4.4"
"KN",""
"KR","2.5"
"KW","2.5"
"LA","37.7"
"LB","2.5"
"LR","38.4"
"LY",""
"LC",""
"LI",""
"LK","18.6"
"LS","13.6"
"LT","2.5"
"LU","2.5"
"LV","5.3"
"MO","22.6"
"MF",""
"MA","6.8"
"MC",""
"MD",""
"MG","34.4"
"MV","14"
"MX","4.4"
"MH",""
"MK","7.9"
"ML","14.6"
"MT","2.5"
"MM","48.3"
"ME",""
"MN","35.1"
"MP",""
"MZ","40.3"
"MR","11.6"
"MU","6.6"
"MW","27.1"
"MY","2.8"
"NA","26.2"
"NC","7.6"
"NE","21.6"
"NG","9.3"
"NI","32.6"
"NL","2.5"
"NO","2.5"
"NP","22"
"NR",""
"NZ","2.5"
"OM","11.9"
"PK","23.4"
"PA","27.7"
"PE","21.8"
"PH","20.4"
"PW",""
"PG",""
"PL","2.5"
"PR",""
"KP","37.5"
"PT","2.5"
"PY","12.9"
"PS",""
"PF","4.6"
"QA",""
"RO","2.5"
"RU","5.1"
"RW","55.6"
"SA","6.1"
"SD",""
"SN","28.7"
"SG",""
"SB","15"
"SL","39.6"
"SV","11"
"SM",""
"SO",""
"RS",""
"SS",""
"ST","17.8"
"SR","13"
"SK","5.9"
"SI","2.5"
"SE","2.5"
"SZ","19.2"
"SX",""
"SC",""
"SY",""
"TC",""
"TD","40.1"
"TG","31.1"
"TH","18.8"
"TJ",""
"TM","8.2"
"TL","40.4"
"TO",""
"TT","11.6"
"TN","4.9"
"TR","2.5"
"TV",""
"TZ","36.5"
"UG","27.7"
"UA","4.5"
"UY","4.2"
"US","2.5"
"UZ","16.2"
"VC","16.7"
"VE","16.4"
"VG",""
"VI",""
"VN","24.3"
"VU","8.2"
"WS","5.3"
"YE","29.9"
"ZA","5"
"ZM","47.4"
"ZW","40.2"
