;populacao_7
"AF";"4380850"
"AL";"227567"
"DZ";"2854489"
"AO";"3297693"
"AG";"8545"
"AR";"3520196"
"AM";"171110"
"AW";"7296"
"AU";"1397529"
"AT";"423435"
"AZ";"655320"
"BS";"26550"
"BH";"79027"
"BD";"16510750"
"BB";"18988"
"BY";"434413"
"BE";"611810"
"BZ";"39150"
"BJ";"1239941"
"BT";"73649"
"BO";"1123528"
"BA";"198456"
"BW";"214639"
"BR";"16894734"
"BN";"34854"
"BG";"302811"
"BF";"2193519"
"BI";"1126472"
"CV";"56860"
"KH";"1503752"
"CM";"2643875"
"CA";"1885036"
"CF";"578211"
"TD";"1752725"
"CL";"1280407"
"CN";"78228090"
"HK";"289478"
"MO";"22157"
"TW";"1354603"
"CO";"4082344"
"KM";"87740"
"CG";"552180"
"CR";"374084"
"CI";"2766377"
"HR";"219404"
"CU";"667499"
"CW";"10449"
"CY";"66990"
"CZ";"452846"
"KP";"1923246"
"CD";"8855439"
"DK";"336643"
"DJ";"98721"
"DO";"1017028"
"EC";"1503912"
"EG";"8564659"
"SV";"652318"
"GQ";"108506"
"ER";"553956"
"EE";"59855"
"ET";"12654955"
"FJ";"78594"
"FI";"289988"
"FR";"3866481"
"GF";"26443"
"PF";"23157"
"GA";"189426"
"GM";"237815"
"GE";"221133"
"DE";"3805295"
"GH";"3035611"
"GR";"552009"
"GD";"9205"
"GP";"34334"
"GU";"14422"
"GT";"1926741"
"GN";"1426626"
"GW";"199660"
"GY";"83348"
"HT";"1158383"
"HN";"1006563"
"HU";"485429"
"IS";"21170"
"IN";"126009152"
"ID";"23327409"
"IR";"5309424"
"IQ";"4028478"
"IE";"296565"
"IL";"651247"
"IT";"2786801"
"JM";"259806"
"JP";"5790061"
"JO";"925899"
"KZ";"1091233"
"KE";"5624080"
"KI";"11132"
"KW";"219997"
"KG";"483789"
"LA";"721980"
"LV";"88424"
"LB";"473018"
"LS";"248462"
"LR";"535433"
"LY";"551042"
"LT";"147425"
"LU";"31681"
"MG";"2922141"
"MW";"2153573"
"MY";"2719130"
"MV";"28136"
"ML";"2114398"
"MT";"21250"
"MQ";"25703"
"MR";"463763"
"MU";"95678"
"YT";"27746"
"MX";"11771123"
"FM";"53332"
"FM";"12862"
"MN";"216356"
"ME";"39951"
"MA";"2991165"
"MZ";"3395153"
"MM";"5113293"
"NA";"269600"
"NP";"3407168"
"NL";"1009292"
"NC";"20363"
"NZ";"296177"
"NI";"611358"
"NE";"2421049"
"NG";"21030211"
"NO";"308744"
"OM";"232570"
"PK";"19393551"
"PA";"348578"
"PG";"876887"
"PY";"671028"
"PE";"2812491"
"PH";"10388867"
"PL";"1833600"
"PT";"544894"
"PR";"261298"
"QA";"84586"
"KR";"2759576"
"MD";"212816"
"RE";"70627"
"RO";"1060286"
"RU";"6495524"
"RW";"1326813"
"LC";"14377"
"VC";"9561"
"WS";"22197"
"ST";"24076"
"SA";"2482525"
"SN";"1707594"
"RS";"532190"
"SC";"6015"
"SL";"871998"
"SG";"320082"
"SK";"266259"
"SI";"90442"
"SB";"68206"
"SO";"1712462"
"ZA";"5141727"
"SS";"1391012"
"ES";"2193926"
"LK";"1662935"
"PS";"543960"
"SD";"4630820"
"SR";"49953"
"SZ";"150871"
"SE";"491399"
"CH";"401229"
"SY";"2423514"
"TJ";"844427"
"MK";"125718"
"TH";"4497262"
"TL";"158961"
"TG";"848617"
"TO";"12447"
"TT";"87822"
"TN";"794938"
"TR";"6626891"
"TM";"473377"
"UG";"5069966"
"UA";"1944933"
"AE";"337247"
"GB";"3555813"
"TZ";"6371780"
"US";"20722447"
"VI";"7048"
"UY";"253563"
"UZ";"2595406"
"VU";"27640"
"VE";"2840887"
"VN";"6596854"
"EH";"45742"
"YE";"3165883"
"ZM";"2021461"
"ZW";"1788240"
