,economia_18
AG,803
AE,111251
AF,4285
DZ,56819
AZ,6236
AL,4356
AM,2534
AD,1733
AO,15286
AR,110584
AU,435512
AT,213387
BH,9594
BB,3170
BW,5439
BE,258872
BS,8881
BD,47195
BZ,933
BA,6896
BO,7905
MM,10369
BJ,3055
BY,15126
SB,274
BR,512030
BT,537
BG,16277
BN,6475
BI,628
CA,757942
KH,4289
TD,2260
LK,19573
CG,3020
CD,8728
CN,1477502
CL,70098
CM,11769
KM,511
CO,97963
CR,16505
CF,1037
CU,33591
CV,706
CY,11383
DK,178635
DJ,596
DM,324
DO,25655
EC,28549
EG,86522
IE,127951
GQ,2717
EE,7322
ER,729
SV,14307
ET,7691
CZ,81697
FI,139559
FJ,1867
FM,241
FR,1500406
GM,578
GA,5403
GE,3396
GH,9882
GD,540
DE,2079231
GR,153838
GT,20777
GN,4080
GY,1158
HT,3215
HN,7860
HR,26879
HU,67711
IS,9208
ID,208325
IN,489608
IR,150050
IL,121069
IT,1266568
CI,12347
IQ,17437
JP,4115116
JM,9719
JO,9582
KE,15092
KG,1606
KP,10910
KI,74
KR,609021
KW,38136
KZ,24637
LA,1907
LB,18712
LV,9546
LT,14275
LR,687
SK,24778
LI,2974
LS,748
LU,23617
LY,21913
MG,5180
MD,1662
MN,1619
MW,3496
ME,1293
MK,4018
ML,3890
MC,2862
MA,42469
MU,5055
MR,1324
MT,4467
OM,20143
MV,913
MX,772110
MY,100846
MZ,5032
NE,2145
VU,264
NG,95063
NL,465390
NO,195419
NP,5900
NR,19
SR,1339
NI,5206
NZ,62522
SS,99999999999998
PY,6325
PE,54796
PK,80353
PL,198679
PA,12272
PT,134235
PG,4580
PW,162
GW,408
QA,19132
RS,16117
MH,125
RO,46174
PH,81358
RU,345488
RW,1677
SA,189606
KN,483
SC,838
ZA,115748
SN,5334
SI,23563
SL,1254
SM,1297
SG,91942
SO,1219
ES,705178
LC,742
SD,99999999999998
SE,263926
SY,21782
CH,301415
TT,9008
TH,134301
TJ,1221
TL,486
TO,181
TG,1699
ST,81
TN,23142
TR,238424
TV,15
TM,8700
TZ,13809
UG,7410
GB,1768346
UA,43956
US,10977514
BF,3206
UY,13607
UZ,9877
VC,462
VE,92889
VN,35064
NA,3276
WS,264
SZ,1432
YE,12247
ZM,4194
ZW,7111
