;populacao_7
"AF";"673840"
"AL";"120634"
"DZ";"1529362"
"AO";"593907"
"AG";"4251"
"AR";"1768843"
"AM";"68007"
"AW";"3566"
"AU";"1369869"
"AT";"364399"
"AZ";"212500"
"BS";"16709"
"BH";"84122"
"BD";"7176701"
"BB";"9218"
"BY";"186726"
"BE";"482560"
"BZ";"12877"
"BJ";"167333"
"BT";"32445"
"BO";"432095"
"BA";"115115"
"BW";"64481"
"BR";"9003890"
"BN";"19356"
"BG";"114822"
"BF";"288495"
"BI";"181081"
"CV";"20658"
"KH";"510679"
"CM";"604331"
"CA";"1941577"
"CF";"101693"
"TD";"191777"
"CL";"825929"
"CN";"37621529"
"HK";"320369"
"MO";"35507"
"TW";"957415"
"CO";"1829980"
"KM";"10341"
"CG";"153639"
"CR";"245863"
"CI";"252862"
"HR";"118187"
"CU";"397668"
"CW";"6911"
"CY";"61536"
"CZ";"280082"
"KP";"749126"
"CD";"1906083"
"DK";"259236"
"DJ";"16408"
"DO";"390937"
"EC";"825296"
"EG";"2593986"
"SV";"261212"
"GQ";"44255"
"ER";"147232"
"EE";"28952"
"ET";"3720679"
"FJ";"17237"
"FI";"231776"
"FR";"2937987"
"GF";"18911"
"PF";"11831"
"GA";"60103"
"GM";"22555"
"GE";"72510"
"DE";"3302828"
"GH";"430384"
"GR";"384868"
"GD";"2687"
"GP";"19467"
"GU";"7555"
"GT";"889596"
"GN";"286949"
"GW";"24617"
"GY";"10338"
"HT";"194197"
"HN";"442509"
"HU";"242519"
"IS";"16043"
"IN";"34444353"
"ID";"5400450"
"IR";"2676810"
"IQ";"1015477"
"IE";"212939"
"IL";"457877"
"IT";"2254633"
"JM";"94798"
"JP";"4465175"
"JO";"328062"
"KZ";"331435"
"KE";"1703938"
"KI";"1797"
"KW";"123633"
"KG";"127979"
"LA";"173813"
"LV";"30221"
"LB";"244661"
"LS";"40870"
"LR";"119694"
"LY";"172224"
"LT";"64875"
"LU";"34810"
"MG";"754739"
"MW";"596588"
"MY";"1437669"
"MV";"20727"
"ML";"232609"
"MT";"16369"
"MQ";"14377"
"MR";"55923"
"MU";"41957"
"YT";"16313"
"MX";"6337320"
"FM";"17046"
"FM";"1682"
"MN";"61987"
"ME";"20279"
"MA";"1510307"
"MZ";"769682"
"MM";"806053"
"NA";"68862"
"NP";"1140866"
"NL";"722134"
"NC";"13687"
"NZ";"247860"
"NI";"298132"
"NE";"336605"
"NG";"2048952"
"NO";"299224"
"OM";"254768"
"PK";"3510285"
"PA";"209371"
"PG";"139469"
"PY";"221642"
"PE";"1375576"
"PH";"2504737"
"PL";"1017478"
"PT";"384644"
"PR";"131363"
"QA";"131616"
"KR";"2213596"
"MD";"69298"
"RE";"41227"
"RO";"468453"
"RU";"2258595"
"RW";"379110"
"LC";"7665"
"VC";"2872"
"WS";"6026"
"ST";"3696"
"SA";"1171307"
"SN";"423571"
"RS";"214320"
"SC";"2081"
"SL";"55201"
"SG";"326660"
"SK";"137752"
"SI";"64180"
"SB";"19560"
"SO";"181737"
"ZA";"1295894"
"SS";"187373"
"ES";"1733998"
"LK";"635333"
"PS";"201751"
"SD";"716472"
"SR";"13845"
"SZ";"28042"
"SE";"440313"
"CH";"441501"
"SY";"975133"
"TJ";"266148"
"MK";"57171"
"TH";"2415579"
"TL";"35255"
"TG";"77994"
"TO";"2833"
"TT";"22572"
"TN";"391082"
"TR";"3582104"
"TM";"92812"
"UG";"1099224"
"UA";"723350"
"AE";"427894"
"GB";"2944193"
"TZ";"1783660"
"US";"15345979"
"VI";"3077"
"UY";"127725"
"UZ";"785355"
"VU";"10185"
"VE";"1251447"
"VN";"3527491"
"EH";"21320"
"YE";"464999"
"ZM";"504513"
"ZW";"442759"
