;populacao_7
"AF";"281472"
"AL";"134542"
"DZ";"975429"
"AO";"266330"
"AG";"2988"
"AR";"1337190"
"AM";"114739"
"AW";"4897"
"AU";"1150904"
"AT";"443445"
"AZ";"252831"
"BS";"13842"
"BH";"24779"
"BD";"2383451"
"BB";"13939"
"BY";"401911"
"BE";"577106"
"BZ";"5124"
"BJ";"106868"
"BT";"13950"
"BO";"218513"
"BA";"167161"
"BW";"32865"
"BR";"6345628"
"BN";"11173"
"BG";"319730"
"BF";"135711"
"BI";"106450"
"CV";"8375"
"KH";"237746"
"CM";"212644"
"CA";"2044174"
"CF";"43078"
"TD";"108302"
"CL";"688882"
"CN";"50623253"
"HK";"465805"
"MO";"35239"
"TW";"1278194"
"CO";"1421298"
"KM";"7777"
"CG";"56924"
"CR";"170105"
"CI";"193633"
"HR";"208133"
"CU";"457839"
"CW";"8086"
"CY";"50018"
"CZ";"499039"
"KP";"731188"
"CD";"744865"
"DK";"262442"
"DJ";"12295"
"DO";"250477"
"EC";"438896"
"EG";"1563354"
"SV";"152361"
"GQ";"9757"
"ER";"45200"
"EE";"62082"
"ET";"1125801"
"FJ";"19001"
"FI";"295920"
"FR";"3306879"
"GF";"7466"
"PF";"8520"
"GA";"24011"
"GM";"15614"
"GE";"152834"
"DE";"4466355"
"GH";"279005"
"GR";"576517"
"GD";"2330"
"GP";"22685"
"GU";"5545"
"GT";"277500"
"GN";"123848"
"GW";"15969"
"GY";"13027"
"HT";"151990"
"HN";"159547"
"HU";"470563"
"IS";"16171"
"IN";"25840850"
"ID";"4798339"
"IR";"1936188"
"IQ";"374334"
"IE";"200953"
"IL";"297200"
"IT";"3211543"
"JM";"83906"
"JP";"6627268"
"JO";"110027"
"KZ";"423216"
"KE";"491072"
"KI";"1523"
"KW";"67602"
"KG";"113294"
"LA";"87184"
"LV";"86205"
"LB";"149254"
"LS";"23339"
"LR";"43791"
"LY";"88852"
"LT";"129229"
"LU";"25831"
"MG";"261649"
"MW";"148564"
"MY";"763146"
"MV";"7457"
"ML";"124487"
"MT";"23346"
"MQ";"22171"
"MR";"44450"
"MU";"48051"
"YT";"3835"
"MX";"3183838"
"FM";"13684"
"FM";"1745"
"MN";"46086"
"ME";"28685"
"MA";"1064485"
"MZ";"277397"
"MM";"1043899"
"NA";"28324"
"NP";"491123"
"NL";"886958"
"NC";"8874"
"NZ";"224366"
"NI";"140951"
"NE";"179517"
"NG";"1365708"
"NO";"250748"
"OM";"52136"
"PK";"2568037"
"PA";"113374"
"PG";"98801"
"PY";"145508"
"PE";"776891"
"PH";"1707900"
"PL";"2033922"
"PT";"549010"
"PR";"143019"
"QA";"27420"
"KR";"2842858"
"MD";"147805"
"RE";"37623"
"RO";"933583"
"RU";"6108920"
"RW";"141181"
"LC";"5354"
"VC";"2933"
"WS";"3786"
"ST";"1784"
"SA";"484087"
"SN";"145872"
"RS";"389363"
"SC";"3006"
"SL";"45487"
"SG";"336554"
"SK";"256186"
"SI";"118473"
"SB";"6861"
"SO";"116890"
"ZA";"925400"
"SS";"115109"
"ES";"2412675"
"LK";"711296"
"PS";"49667"
"SD";"443951"
"SR";"11640"
"SZ";"11743"
"SE";"462209"
"CH";"427266"
"SY";"356677"
"TJ";"131117"
"MK";"85564"
"TH";"2917575"
"TL";"13254"
"TG";"62839"
"TO";"1919"
"TT";"40134"
"TN";"349378"
"TR";"2324726"
"TM";"98056"
"UG";"277785"
"UA";"1801940"
"AE";"78047"
"GB";"3017702"
"TZ";"551711"
"US";"15833388"
"VI";"5564"
"UY";"123073"
"UZ";"591446"
"VU";"4155"
"VE";"739307"
"VN";"2895456"
"EH";"8889"
"YE";"237300"
"ZM";"121155"
"ZW";"133360"
