;populacao_7
"AF";"299127"
"AL";"109226"
"DZ";"678017"
"AO";"225529"
"AG";"2072"
"AR";"1332678"
"AM";"64422"
"AW";"3785"
"AU";"894039"
"AT";"461278"
"AZ";"144162"
"BS";"9135"
"BH";"10657"
"BD";"2764676"
"BB";"10186"
"BY";"322174"
"BE";"471991"
"BZ";"4263"
"BJ";"125886"
"BT";"11316"
"BO";"203776"
"BA";"133880"
"BW";"28813"
"BR";"4732018"
"BN";"4736"
"BG";"403563"
"BF";"170822"
"BI";"87827"
"CV";"6698"
"KH";"223582"
"CM";"255266"
"CA";"1472960"
"CF";"65103"
"TD";"126890"
"CL";"537313"
"CN";"40421925"
"HK";"216722"
"MO";"10574"
"TW";"734213"
"CO";"979354"
"KM";"8375"
"CG";"57432"
"CR";"118820"
"CI";"271363"
"HR";"195905"
"CU";"445247"
"CW";"6629"
"CY";"41332"
"CZ";"550304"
"KP";"911321"
"CD";"831304"
"DK";"309725"
"DJ";"13106"
"DO";"194238"
"EC";"315804"
"EG";"1470126"
"SV";"149736"
"GQ";"12182"
"ER";"66542"
"EE";"63121"
"ET";"1186985"
"FJ";"19215"
"FI";"272781"
"FR";"2570989"
"GF";"4065"
"PF";"6898"
"GA";"27987"
"GM";"18564"
"GE";"153819"
"DE";"4578517"
"GH";"321582"
"GR";"499990"
"GD";"2114"
"GP";"19133"
"GU";"3911"
"GT";"207939"
"GN";"148393"
"GW";"20196"
"GY";"11511"
"HT";"175514"
"HN";"110012"
"HU";"514692"
"IS";"11300"
"IN";"24805266"
"ID";"4695316"
"IR";"1201062"
"IQ";"398305"
"IE";"169097"
"IL";"217454"
"IT";"3135179"
"JM";"69826"
"JP";"8189065"
"JO";"106955"
"KZ";"330059"
"KE";"366757"
"KI";"1506"
"KW";"25960"
"KG";"64498"
"LA";"89865"
"LV";"112375"
"LB";"128490"
"LS";"30523"
"LR";"54893"
"LY";"95799"
"LT";"151825"
"LU";"19624"
"MG";"235682"
"MW";"185386"
"MY";"540130"
"MV";"5874"
"ML";"181132"
"MT";"21516"
"MQ";"16439"
"MR";"46855"
"MU";"34490"
"YT";"2658"
"MX";"2350884"
"FM";"9130"
"FM";"1340"
"MN";"41501"
"ME";"22684"
"MA";"707318"
"MZ";"314828"
"MM";"923004"
"NA";"29435"
"NP";"551732"
"NL";"791861"
"NC";"8225"
"NZ";"173725"
"NI";"92085"
"NE";"190790"
"NG";"2085744"
"NO";"216681"
"OM";"33371"
"PK";"3015546"
"PA";"83709"
"PG";"99502"
"PY";"117971"
"PE";"621807"
"PH";"1516531"
"PL";"1380820"
"PT";"547173"
"PR";"149982"
"QA";"7008"
"KR";"1819186"
"MD";"129980"
"RE";"23888"
"RO";"849685"
"RU";"4554795"
"RW";"110430"
"LC";"4549"
"VC";"2166"
"WS";"3367"
"ST";"1661"
"SA";"320817"
"SN";"165716"
"RS";"366438"
"SC";"2324"
"SL";"79148"
"SG";"150029"
"SK";"220363"
"SI";"99166"
"SB";"7431"
"SO";"138455"
"ZA";"976278"
"SS";"146811"
"ES";"2117912"
"LK";"594987"
"PS";"46969"
"SD";"462813"
"SR";"11522"
"SZ";"14647"
"SE";"526558"
"CH";"390536"
"SY";"268259"
"TJ";"75350"
"MK";"80567"
"TH";"2062588"
"TL";"15681"
"TG";"80600"
"TO";"1896"
"TT";"42049"
"TN";"249721"
"TR";"1813108"
"TM";"59789"
"UG";"306625"
"UA";"1923716"
"AE";"30459"
"GB";"3005581"
"TZ";"560161"
"US";"12252669"
"VI";"5928"
"UY";"131352"
"UZ";"388886"
"VU";"4164"
"VE";"600695"
"VN";"1557765"
"EH";"4427"
"YE";"269013"
"ZM";"139562"
"ZW";"157391"
