;populacao_7
"AF";"562810"
"AL";"162931"
"DZ";"1248179"
"AO";"486258"
"AG";"3725"
"AR";"1912765"
"AM";"154892"
"AW";"6813"
"AU";"1306861"
"AT";"487435"
"AZ";"364126"
"BS";"17275"
"BH";"33959"
"BD";"3643108"
"BB";"16727"
"BY";"623120"
"BE";"694223"
"BZ";"8399"
"BJ";"199419"
"BT";"18314"
"BO";"309753"
"BA";"253665"
"BW";"56537"
"BR";"8498081"
"BN";"13016"
"BG";"534596"
"BF";"287856"
"BI";"193525"
"CV";"12963"
"KH";"444351"
"CM";"409281"
"CA";"2290567"
"CF";"99522"
"TD";"233588"
"CL";"880601"
"CN";"83184949"
"HK";"490434"
"MO";"35180"
"TW";"1533803"
"CO";"1930515"
"KM";"15806"
"CG";"94258"
"CR";"192187"
"CI";"493050"
"HR";"312754"
"CU";"653239"
"CW";"10127"
"CY";"60131"
"CZ";"763840"
"KP";"815618"
"CD";"1371811"
"DK";"350168"
"DJ";"20705"
"DO";"342807"
"EC";"543674"
"EG";"2698456"
"SV";"218936"
"GQ";"21529"
"ER";"93030"
"EE";"87511"
"ET";"1882247"
"FJ";"33958"
"FI";"385840"
"FR";"4061549"
"GF";"8422"
"PF";"12047"
"GA";"38866"
"GM";"30878"
"GE";"247402"
"DE";"5317603"
"GH";"565533"
"GR";"671666"
"GD";"3442"
"GP";"27885"
"GU";"7598"
"GT";"367664"
"GN";"278534"
"GW";"39811"
"GY";"26385"
"HT";"282943"
"HN";"206906"
"HU";"792066"
"IS";"18477"
"IN";"46656305"
"ID";"8521309"
"IR";"2641181"
"IQ";"749210"
"IE";"254701"
"IL";"387618"
"IT";"3804249"
"JM";"106284"
"JP";"8895957"
"JO";"153239"
"KZ";"735954"
"KE";"778269"
"KI";"2925"
"KW";"73167"
"KG";"180396"
"LA";"161665"
"LV";"133084"
"LB";"178227"
"LS";"57154"
"LR";"90016"
"LY";"148938"
"LT";"186343"
"LU";"30038"
"MG";"479108"
"MW";"247979"
"MY";"1068095"
"MV";"8195"
"ML";"292145"
"MT";"29179"
"MQ";"25038"
"MR";"82224"
"MU";"70159"
"YT";"4554"
"MX";"4098221"
"FM";"20801"
"FM";"3709"
"MN";"76631"
"ME";"42979"
"MA";"1277350"
"MZ";"524630"
"MM";"2040499"
"NA";"50351"
"NP";"874134"
"NL";"1095363"
"NC";"11276"
"NZ";"252522"
"NI";"172540"
"NE";"348180"
"NG";"3587215"
"NO";"294559"
"OM";"71171"
"PK";"4327505"
"PA";"135888"
"PG";"198204"
"PY";"211260"
"PE";"1041380"
"PH";"3028332"
"PL";"2820675"
"PT";"676346"
"PR";"197526"
"QA";"37043"
"KR";"2837711"
"MD";"273302"
"RE";"41937"
"RO";"1466763"
"RU";"10117682"
"RW";"229539"
"LC";"6934"
"VC";"4232"
"WS";"5680"
"ST";"2818"
"SA";"711292"
"SN";"271922"
"RS";"703054"
"SC";"3660"
"SL";"138524"
"SG";"334202"
"SK";"382299"
"SI";"153248"
"SB";"11503"
"SO";"260600"
"ZA";"1788495"
"SS";"210374"
"ES";"2666570"
"LK";"1012881"
"PS";"77751"
"SD";"814724"
"SR";"19446"
"SZ";"24726"
"SE";"569556"
"CH";"482527"
"SY";"519794"
"TJ";"198502"
"MK";"133047"
"TH";"3724262"
"TL";"26290"
"TG";"141949"
"TO";"2670"
"TT";"70504"
"TN";"480472"
"TR";"2974889"
"TM";"168854"
"UG";"518153"
"UA";"3213939"
"AE";"122711"
"GB";"3629714"
"TZ";"897708"
"US";"19714431"
"VI";"7193"
"UY";"170387"
"UZ";"947727"
"VU";"6727"
"VE";"1038622"
"VN";"3496633"
"EH";"13544"
"YE";"489171"
"ZM";"213504"
"ZW";"247248"
