;populacao_7
"AF";"4469563"
"AL";"132448"
"DZ";"4465312"
"AO";"4390025"
"AG";"7816"
"AR";"3593356"
"AM";"176169"
"AW";"5821"
"AU";"2179413"
"AT";"488405"
"AZ";"819075"
"BS";"30302"
"BH";"194470"
"BD";"13314170"
"BB";"15525"
"BY";"548855"
"BE";"747258"
"BZ";"41509"
"BJ";"1452073"
"BT";"63825"
"BO";"1036150"
"BA";"155930"
"BW";"250523"
"BR";"14171413"
"BN";"33965"
"BG";"301124"
"BF";"2649227"
"BI";"1547415"
"CV";"50222"
"KH";"1510382"
"CM";"3194233"
"CA";"2852718"
"CF";"567350"
"TD";"1982878"
"CL";"1237765"
"CN";"81952981"
"HK";"425284"
"MO";"53571"
"TW";"1063703"
"CO";"3373810"
"KM";"95655"
"CG";"728057"
"CR";"349048"
"CI";"2968158"
"HR";"195710"
"CU";"573958"
"CW";"11581"
"CY";"87303"
"CZ";"593156"
"KP";"1606276"
"CD";"12052069"
"DK";"355490"
"DJ";"88828"
"DO";"866022"
"EC";"1521408"
"EG";"11578666"
"SV";"426287"
"GQ";"189320"
"ER";"653266"
"EE";"64399"
"ET";"13297886"
"FJ";"64822"
"FI";"351883"
"FR";"4132736"
"GF";"37108"
"PF";"20848"
"GA";"246842"
"GM";"286386"
"GE";"218369"
"DE";"4374758"
"GH";"3434112"
"GR";"539005"
"GD";"6959"
"GP";"22424"
"GU";"11357"
"GT";"1828175"
"GN";"1714214"
"GW";"234823"
"GY";"50808"
"HT";"907915"
"HN";"879762"
"HU";"457612"
"IS";"23952"
"IN";"110150340"
"ID";"22149846"
"IR";"6532731"
"IQ";"5172316"
"IE";"391140"
"IL";"862562"
"IT";"2951164"
"JM";"125921"
"JP";"5514024"
"JO";"1012591"
"KZ";"1852008"
"KE";"6322102"
"KI";"11636"
"KW";"390829"
"KG";"614618"
"LA";"653315"
"LV";"90172"
"LB";"276178"
"LS";"218837"
"LR";"617090"
"LY";"586673"
"LT";"134220"
"LU";"51173"
"MG";"3357682"
"MW";"2660490"
"MY";"2674005"
"MV";"38956"
"ML";"2625297"
"MT";"22923"
"MQ";"16581"
"MR";"570642"
"MU";"65578"
"YT";"34515"
"MX";"10859645"
"FM";"39505"
"FM";"7216"
"MN";"321326"
"ME";"34158"
"MA";"3119398"
"MZ";"4101931"
"MM";"4035162"
"NA";"304481"
"NP";"2410853"
"NL";"965353"
"NC";"25660"
"NZ";"353737"
"NI";"526414"
"NE";"3491963"
"NG";"24864340"
"NO";"426033"
"OM";"530098"
"PK";"21834702"
"PA";"385971"
"PG";"911449"
"PY";"568148"
"PE";"2784073"
"PH";"10061967"
"PL";"1800583"
"PT";"475110"
"PR";"168673"
"QA";"275186"
"KR";"2367573"
"MD";"197938"
"RE";"62183"
"RO";"893849"
"RU";"9036088"
"RW";"1535956"
"LC";"10166"
"VC";"6924"
"WS";"14510"
"ST";"23497"
"SA";"3140402"
"SN";"2207343"
"RS";"409020"
"SC";"6526"
"SL";"858051"
"SG";"376086"
"SK";"281744"
"SI";"112381"
"SB";"68754"
"SO";"1984873"
"ZA";"5083283"
"SS";"1588578"
"ES";"2439559"
"LK";"1227250"
"PS";"651435"
"SD";"5085453"
"SR";"42294"
"SZ";"143057"
"SE";"711065"
"CH";"597965"
"SY";"2499303"
"TJ";"1014429"
"MK";"108605"
"TH";"3711378"
"TL";"148536"
"TG";"966495"
"TO";"8044"
"TT";"86107"
"TN";"978696"
"TR";"6113703"
"TM";"600353"
"UG";"6317362"
"UA";"2222410"
"AE";"1048341"
"GB";"4694240"
"TZ";"8339510"
"US";"23410618"
"VI";"4940"
"UY";"219951"
"UZ";"2968637"
"VU";"31600"
"VE";"2779901"
"VN";"7214775"
"EH";"76619"
"YE";"3478027"
"ZM";"2376368"
"ZW";"2148777"
