;populacao_7
"AF";"5427"
"AL";"6396"
"DZ";"43370"
"AO";"5761"
"AG";"215"
"AR";"175420"
"AM";"9922"
"AW";"195"
"AU";"150982"
"AT";"72342"
"AZ";"9037"
"BS";"724"
"BH";"445"
"BD";"200704"
"BB";"1008"
"BY";"40814"
"BE";"94424"
"BZ";"183"
"BJ";"3567"
"BT";"830"
"BO";"22109"
"BA";"13123"
"BW";"764"
"BR";"436781"
"BN";"253"
"BG";"29989"
"BF";"2006"
"BI";"3137"
"CV";"429"
"KH";"5219"
"CM";"7782"
"CA";"247601"
"CF";"1626"
"TD";"2986"
"CL";"64017"
"CN";"2271466"
"HK";"49644"
"MO";"1806"
"TW";"106341"
"CO";"86815"
"KM";"195"
"CG";"2075"
"CR";"12672"
"CI";"2801"
"HR";"24037"
"CU";"63298"
"CW";"734"
"CY";"3932"
"CZ";"56189"
"KP";"23108"
"CD";"18792"
"DK";"37378"
"DJ";"359"
"DO";"24117"
"EC";"31015"
"EG";"62596"
"SV";"12364"
"GQ";"346"
"ER";"1854"
"EE";"8908"
"ET";"37395"
"FJ";"364"
"FI";"43004"
"FR";"674992"
"GF";"338"
"PF";"326"
"GA";"1527"
"GM";"237"
"GE";"13775"
"DE";"671522"
"GH";"8442"
"GR";"86268"
"GD";"258"
"GP";"3169"
"GU";"277"
"GT";"18175"
"GN";"1578"
"GW";"217"
"GY";"428"
"HT";"7423"
"HN";"12081"
"HU";"50958"
"IS";"1800"
"IN";"1126772"
"ID";"139957"
"IR";"66001"
"IQ";"12890"
"IE";"19089"
"IL";"38252"
"IT";"622299"
"JM";"10184"
"JP";"1534676"
"JO";"3440"
"KZ";"20633"
"KE";"15963"
"KI";"034"
"KW";"137"
"KG";"3904"
"LA";"2562"
"LV";"11851"
"LB";"7952"
"LS";"1232"
"LR";"558"
"LY";"3647"
"LT";"18138"
"LU";"3117"
"MG";"7910"
"MW";"3893"
"MY";"19253"
"MV";"260"
"ML";"2364"
"MT";"2201"
"MQ";"3041"
"MR";"744"
"MU";"2707"
"YT";"244"
"MX";"289282"
"FM";"456"
"FM";"062"
"MN";"1336"
"ME";"1612"
"MA";"21826"
"MZ";"8225"
"MM";"30827"
"NA";"952"
"NP";"14445"
"NL";"105044"
"NC";"559"
"NZ";"26086"
"NI";"10307"
"NE";"1899"
"NG";"11755"
"NO";"36641"
"OM";"2161"
"PK";"96067"
"PA";"10744"
"PG";"4311"
"PY";"9831"
"PE";"56333"
"PH";"42912"
"PL";"200034"
"PT";"79183"
"PR";"22613"
"QA";"269"
"KR";"154952"
"MD";"8630"
"RE";"2828"
"RO";"93101"
"RU";"548945"
"RW";"3730"
"LC";"665"
"VC";"204"
"WS";"274"
"ST";"133"
"SA";"15317"
"SN";"2574"
"RS";"31804"
"SC";"232"
"SL";"271"
"SG";"17340"
"SK";"20564"
"SI";"13665"
"SB";"182"
"SO";"3231"
"ZA";"40331"
"SS";"3219"
"ES";"416923"
"LK";"39203"
"PS";"1192"
"SD";"15380"
"SR";"728"
"SZ";"400"
"SE";"82129"
"CH";"64927"
"SY";"11010"
"TJ";"7250"
"MK";"3427"
"TH";"180495"
"TL";"250"
"TG";"764"
"TO";"181"
"TT";"2685"
"TN";"15689"
"TR";"94050"
"TM";"4552"
"UG";"10124"
"UA";"206057"
"AE";"859"
"GB";"502135"
"TZ";"19968"
"US";"1922951"
"VI";"329"
"UY";"23589"
"UZ";"36831"
"VU";"098"
"VE";"49196"
"VN";"286736"
"EH";"141"
"YE";"6584"
"ZM";"4747"
"ZW";"7360"
