;populacao_7
"AF";"3989885"
"AL";"123452"
"DZ";"4031956"
"AO";"4239689"
"AG";"7444"
"AR";"3389603"
"AM";"145325"
"AW";"5591"
"AU";"2237549"
"AT";"496239"
"AZ";"680417"
"BS";"28698"
"BH";"162853"
"BD";"11817521"
"BB";"14863"
"BY";"479355"
"BE";"729189"
"BZ";"39543"
"BJ";"1313062"
"BT";"57584"
"BO";"986752"
"BA";"147450"
"BW";"227890"
"BR";"12901622"
"BN";"32083"
"BG";"267215"
"BF";"2489585"
"BI";"1495867"
"CV";"47833"
"KH";"1406848"
"CM";"3073905"
"CA";"2854754"
"CF";"516077"
"TD";"1824002"
"CL";"1165780"
"CN";"73309618"
"HK";"480000"
"MO";"59939"
"TW";"1074404"
"CO";"3036738"
"KM";"82656"
"CG";"697954"
"CR";"327499"
"CI";"2646118"
"HR";"170668"
"CU";"527723"
"CW";"11393"
"CY";"83202"
"CZ";"553868"
"KP";"1507931"
"CD";"11994731"
"DK";"358014"
"DJ";"75017"
"DO";"789988"
"EC";"1464607"
"EG";"10282742"
"SV";"400694"
"GQ";"183609"
"ER";"606166"
"EE";"59318"
"ET";"12779068"
"FJ";"53420"
"FI";"348349"
"FR";"3919083"
"GF";"37380"
"PF";"19230"
"GA";"235406"
"GM";"256507"
"GE";"179704"
"DE";"4380794"
"GH";"3029609"
"GR";"466030"
"GD";"6168"
"GP";"19019"
"GU";"10825"
"GT";"1798224"
"GN";"1675285"
"GW";"211771"
"GY";"41616"
"HT";"768250"
"HN";"839034"
"HU";"417437"
"IS";"23033"
"IN";"97387569"
"ID";"18745128"
"IR";"5682083"
"IQ";"5019660"
"IE";"355742"
"IL";"836841"
"IT";"2773582"
"JM";"137729"
"JP";"5133614"
"JO";"954254"
"KZ";"1515607"
"KE";"6119707"
"KI";"10340"
"KW";"356161"
"KG";"522829"
"LA";"582400"
"LV";"78012"
"LB";"271164"
"LS";"197400"
"LR";"605438"
"LY";"503796"
"LT";"123676"
"LU";"51985"
"MG";"3343730"
"MW";"2748215"
"MY";"2639316"
"MV";"37150"
"ML";"2461190"
"MT";"22458"
"MQ";"16943"
"MR";"508263"
"MU";"58770"
"YT";"33943"
"MX";"10093227"
"FM";"35091"
"FM";"6541"
"MN";"267377"
"ME";"30516"
"MA";"2923904"
"MZ";"4026923"
"MM";"3344472"
"NA";"285997"
"NP";"2233588"
"NL";"956259"
"NC";"25179"
"NZ";"351833"
"NI";"484588"
"NE";"3544223"
"NG";"22777888"
"NO";"435494"
"OM";"471775"
"PK";"19078311"
"PA";"369515"
"PG";"767517"
"PY";"529574"
"PE";"2605218"
"PH";"9013449"
"PL";"1531748"
"PT";"413000"
"PR";"142910"
"QA";"226686"
"KR";"2353426"
"MD";"157025"
"RE";"57345"
"RO";"797526"
"RU";"7723066"
"RW";"1432153"
"LC";"9370"
"VC";"6096"
"WS";"12324"
"ST";"21120"
"SA";"3023464"
"SN";"2147025"
"RS";"374485"
"SC";"5515"
"SL";"702076"
"SG";"371427"
"SK";"262735"
"SI";"103746"
"SB";"64534"
"SO";"1881212"
"ZA";"4364384"
"SS";"1461710"
"ES";"2212153"
"LK";"1063825"
"PS";"665796"
"SD";"4638037"
"SR";"36984"
"SZ";"130311"
"SE";"726628"
"CH";"614481"
"SY";"2245887"
"TJ";"950919"
"MK";"102531"
"TH";"3135131"
"TL";"143351"
"TG";"828978"
"TO";"6754"
"TT";"68054"
"TN";"908743"
"TR";"5699345"
"TM";"488678"
"UG";"6346430"
"UA";"1918330"
"AE";"764670"
"GB";"4598751"
"TZ";"8426190"
"US";"23281739"
"VI";"4230"
"UY";"204391"
"UZ";"2591872"
"VU";"31306"
"VE";"2581251"
"VN";"6703974"
"EH";"71953"
"YE";"3024010"
"ZM";"2409970"
"ZW";"1946391"
