;redes_31
"AF";"1.22"
"AL";"6.04"
"DZ";"5.84"
"AS";"99999999999998"
"AD";"37.61"
"AO";"1.14"
"AI";"29.00"
"AG";"27.00"
"AR";"17.72"
"AM";"5.25"
"AW";"25.40"
"AU";"63.00"
"AT";"58.00"
"AZ";"8.03"
"BS";"25.00"
"BH";"21.30"
"BD";"0.24"
"BB";"52.50"
"BY";"99999999999998"
"BE";"55.82"
"BZ";"17.00"
"BJ";"1.27"
"BM";"65.45"
"BT";"3.85"
"BO";"5.23"
"BA";"21.33"
"BW";"3.26"
"BR";"21.02"
"VG";"99999999999998"
"BN";"36.47"
"BG";"19.97"
"BF";"0.47"
"BI";"0.54"
"KH";"0.32"
"CM";"1.40"
"CA";"71.66"
"CV";"6.07"
"KY";"38.03"
"CF";"0.27"
"TD";"0.40"
"CL";"31.18"
"CN";"8.52"
"CO";"11.01"
"KM";"2.00"
"CD";"0.24"
"CG";"1.46"
"CK";"26.20"
"CR";"22.07"
"CI";"1.04"
"HR";"33.14"
"CU";"9.74"
"CY";"32.81"
"CZ";"35.27"
"KP";"0.00"
"DK";"82.74"
"DJ";"0.95"
"DM";"38.54"
"DO";"11.48"
"EC";"5.99"
"EG";"12.75"
"SV";"4.20"
"GQ";"1.15"
"ER";"99999999999998"
"EE";"61.45"
"ET";"0.22"
"FK";"84.01"
"FO";"67.90"
"FJ";"8.45"
"FI";"74.48"
"FR";"42.87"
"GF";"20.79"
"PF";"21.54"
"GA";"4.89"
"GM";"3.80"
"GE";"6.08"
"DE";"68.71"
"GH";"1.83"
"GI";"39.07"
"GR";"24.00"
"GL";"57.70"
"GD";"20.49"
"GP";"18.66"
"GU";"38.56"
"GT";"5.70"
"GG";"73.57"
"GN";"0.54"
"GW";"1.90"
"GY";"99999999999998"
"HT";"6.38"
"HN";"6.50"
"HK";"56.90"
"HU";"38.97"
"IS";"87.00"
"IN";"2.39"
"ID";"3.60"
"IR";"8.10"
"IQ";"0.90"
"IE";"41.61"
"IL";"25.19"
"IT";"35.00"
"JM";"12.80"
"JP";"66.92"
"JE";"31.25"
"JO";"12.93"
"KZ";"2.96"
"KE";"3.10"
"KI";"4.00"
"KR";"73.50"
"KW";"25.93"
"KG";"10.53"
"LA";"0.85"
"LV";"46.00"
"LB";"10.14"
"LS";"2.58"
"LR";"99999999999998"
"LY";"3.92"
"LI";"63.37"
"LT";"36.22"
"LU";"70.00"
"MO";"34.86"
"MG";"0.57"
"MW";"0.38"
"MY";"48.63"
"MV";"6.87"
"ML";"0.51"
"MT";"41.24"
"MH";"3.88"
"MQ";"32.65"
"MR";"0.67"
"MU";"15.17"
"YT";"99999999999998"
"MX";"17.21"
"FM";"11.88"
"MD";"14.63"
"MC";"55.46"
"MN";"99999999999998"
"ME";"27.10"
"MS";"99999999999998"
"MA";"15.08"
"MZ";"0.85"
"MM";"0.07"
"NA";"4.01"
"NR";"99999999999998"
"NP";"0.83"
"AN";"99999999999998"
"NL";"81.00"
"NC";"32.36"
"NZ";"62.72"
"NI";"2.57"
"NE";"0.22"
"NG";"3.55"
"NU";"51.70"
"MP";"99999999999998"
"NO";"81.99"
"OM";"6.68"
"PK";"6.33"
"PS";"16.00"
"PA";"11.48"
"PG";"1.72"
"PY";"7.91"
"PE";"17.10"
"PH";"5.40"
"PL";"38.81"
"PT";"34.99"
"PR";"23.40"
"QA";"24.73"
"RE";"28.06"
"RO";"21.50"
"RU";"15.23"
"RW";"0.56"
"ST";"13.76"
"WS";"3.35"
"SM";"50.26"
"SA";"12.71"
"SN";"4.79"
"RS";"26.30"
"SC";"25.41"
"SL";"0.22"
"SG";"61.00"
"SK";"55.19"
"SI";"46.81"
"SB";"0.84"
"SO";"1.08"
"ZA";"7.49"
"ES";"47.88"
"LK";"1.79"
"SH";"15.91"
"KN";"34.00"
"LC";"21.57"
"PM";"99999999999998"
"VC";"9.20"
"SD";"1.29"
"SR";"6.40"
"SZ";"3.70"
"SE";"84.83"
"CH";"70.10"
"SY";"5.65"
"TW";"58.01"
"TJ";"0.30"
"TZ";"1.10"
"MK";"26.45"
"TH";"15.03"
"TL";"0.10"
"TG";"1.80"
"TK";"99999999999998"
"TO";"4.91"
"TT";"28.98"
"TN";"9.66"
"TR";"15.46"
"TM";"1.00"
"TC";"99999999999998"
"TV";"99999999999998"
"UG";"1.74"
"UA";"3.75"
"AE";"40.00"
"GB";"70.00"
"US";"67.97"
"UY";"20.09"
"UZ";"3.34"
"VU";"5.08"
"VE";"12.55"
"VN";"12.74"
"VI";"27.34"
"WF";"6.70"
"YE";"1.05"
"ZM";"2.85"
"ZW";"2.40"
