;redes_31
"AF";"0.11"
"AL";"2.42"
"DZ";"4.63"
"AS";"99999999999998"
"AD";"26.84"
"AO";"0.46"
"AI";"25.04"
"AG";"24.27"
"AR";"16.04"
"AM";"4.90"
"AW";"23.00"
"AU";"99999999999998"
"AT";"54.28"
"AZ";"99999999999998"
"BS";"22.00"
"BH";"21.46"
"BD";"0.20"
"BB";"49.80"
"BY";"99999999999998"
"BE";"53.86"
"BZ";"9.80"
"BJ";"1.18"
"BM";"60.99"
"BT";"3.16"
"BO";"4.44"
"BA";"15.47"
"BW";"3.30"
"BR";"19.07"
"VG";"99999999999998"
"BN";"29.72"
"BG";"18.13"
"BF";"0.40"
"BI";"0.35"
"KH";"0.30"
"CM";"0.98"
"CA";"65.96"
"CV";"5.32"
"KY";"99999999999998"
"CF";"0.22"
"TD";"0.36"
"CL";"28.18"
"CN";"7.30"
"CO";"9.12"
"KM";"1.33"
"CD";"0.20"
"CG";"1.08"
"CK";"23.99"
"CR";"20.79"
"CI";"0.85"
"HR";"30.91"
"CU";"8.41"
"CY";"33.83"
"CZ";"35.50"
"KP";"0.00"
"DK";"80.93"
"DJ";"0.78"
"DM";"30.32"
"DO";"8.87"
"EC";"4.83"
"EG";"11.92"
"SV";"3.20"
"GQ";"0.84"
"ER";"99999999999998"
"EE";"53.20"
"ET";"0.16"
"FK";"67.32"
"FO";"66.53"
"FJ";"7.41"
"FI";"72.39"
"FR";"39.15"
"GF";"19.50"
"PF";"17.88"
"GA";"2.98"
"GM";"3.31"
"GE";"3.89"
"DE";"64.73"
"GH";"1.72"
"GI";"32.89"
"GR";"21.42"
"GL";"56.10"
"GD";"19.57"
"GP";"17.51"
"GU";"36.16"
"GT";"5.10"
"GG";"64.52"
"GN";"0.51"
"GW";"1.81"
"GY";"99999999999998"
"HT";"5.40"
"HN";"5.60"
"HK";"56.40"
"HU";"27.74"
"IS";"83.88"
"IN";"1.98"
"ID";"2.60"
"IR";"7.49"
"IQ";"0.90"
"IE";"36.99"
"IL";"22.77"
"IT";"33.24"
"JM";"10.00"
"JP";"62.39"
"JE";"30.68"
"JO";"11.66"
"KZ";"2.65"
"KE";"3.02"
"KI";"3.50"
"KR";"72.70"
"KW";"22.93"
"KG";"5.09"
"LA";"0.36"
"LV";"38.58"
"LB";"9.00"
"LS";"2.18"
"LR";"0.03"
"LY";"3.53"
"LI";"64.01"
"LT";"31.23"
"LU";"65.88"
"MO";"31.48"
"MG";"0.53"
"MW";"0.35"
"MY";"42.25"
"MV";"6.59"
"ML";"0.43"
"MT";"34.62"
"MH";"3.60"
"MQ";"27.78"
"MR";"0.48"
"MU";"13.69"
"YT";"99999999999998"
"MX";"14.10"
"FM";"11.02"
"MD";"10.63"
"MC";"52.49"
"MN";"99999999999998"
"ME";"25.35"
"MS";"99999999999998"
"MA";"11.61"
"MZ";"0.68"
"MM";"0.02"
"NA";"3.80"
"NR";"99999999999998"
"NP";"0.45"
"AN";"99999999999998"
"NL";"68.52"
"NC";"30.30"
"NZ";"61.85"
"NI";"2.32"
"NE";"0.19"
"NG";"1.29"
"NU";"47.34"
"MP";"99999999999998"
"NO";"77.69"
"OM";"6.76"
"PK";"6.16"
"PS";"4.40"
"PA";"11.14"
"PG";"1.51"
"PY";"3.45"
"PE";"14.10"
"PH";"5.24"
"PL";"32.53"
"PT";"31.78"
"PR";"22.13"
"QA";"20.70"
"RE";"25.89"
"RO";"15.00"
"RU";"12.86"
"RW";"0.43"
"ST";"13.32"
"WS";"3.08"
"SM";"50.57"
"SA";"10.23"
"SN";"4.39"
"RS";"23.50"
"SC";"24.27"
"SL";"0.20"
"SG";"62.00"
"SK";"52.89"
"SI";"40.81"
"SB";"0.65"
"SO";"1.05"
"ZA";"8.43"
"ES";"44.01"
"LK";"1.45"
"SH";"14.62"
"KN";"24.74"
"LC";"21.40"
"PM";"99999999999998"
"VC";"7.37"
"SD";"0.79"
"SR";"6.08"
"SZ";"3.23"
"SE";"83.89"
"CH";"67.80"
"SY";"4.32"
"TW";"53.81"
"TJ";"0.08"
"TZ";"0.88"
"MK";"24.44"
"TH";"10.68"
"TL";"99999999999998"
"TG";"1.50"
"TK";"99999999999998"
"TO";"3.95"
"TT";"27.02"
"TN";"8.53"
"TR";"14.58"
"TM";"0.75"
"TC";"99999999999998"
"TV";"99999999999998"
"UG";"0.72"
"UA";"3.49"
"AE";"30.13"
"GB";"65.61"
"US";"64.76"
"UY";"17.06"
"UZ";"2.59"
"VU";"4.75"
"VE";"8.40"
"VN";"7.64"
"VI";"27.38"
"WF";"6.06"
"YE";"0.88"
"ZM";"2.01"
"ZW";"2.10"
