;indicadoressociais_15
"AW";"97.54"
"AF";"36.93"
"AO";"36.89"
"AI";"96.92"
"AL";"97.31"
"AD";"100.00"
"AE";"99.98"
"AR";"94.83"
"AM";"91.42"
"AS";"62.23"
"AG";"87.50"
"AU";"100.00"
"AT";"99.98"
"AZ";"86.30"
"BI";"49.82"
"BE";"99.49"
"BJ";"13.37"
"BF";"20.79"
"BD";"44.16"
"BG";"85.96"
"BH";"100.00"
"BS";"92.01"
"BA";"94.77"
"BY";"94.35"
"BZ";"86.53"
"BM";"99.90"
"BO";"50.69"
"BR";"84.53"
"BB";"95.84"
"BN";"96.34"
"BT";"61.77"
"BW";"59.78"
"CF";"24.87"
"CA";"98.50"
"CH";"99.89"
"CL";"98.50"
"CL";"99.23"
"CN";"73.11"
"CI";"28.92"
"CM";"38.91"
"CD";"20.04"
"CG";"14.77"
"CK";"97.63"
"CO";"83.39"
"KM";"33.61"
"CV";"64.41"
"CR";"96.84"
"CU";"90.62"
"CW";"98.82"
"KY";"95.55"
"CY";"99.48"
"CZ";"99.14"
"DE";"99.22"
"DJ";"51.30"
"DM";"77.89"
"DK";"99.60"
"DO";"82.37"
"DZ";"87.15"
"EC";"84.18"
"EG";"93.07"
"ER";"11.06"
"ES";"99.90"
"EE";"99.54"
"ET";"6.52"
"FI";"99.45"
"FJ";"93.49"
"FK";"100.00"
"FR";"98.65"
"FO";"90.88"
"FM";"68.40"
"GA";"40.68"
"GB";"99.11"
"GE";"86.43"
"GH";"13.89"
"GN";"20.21"
"GP";"98.47"
"GM";"43.28"
"GW";"20.16"
"GQ";"74.51"
"GR";"98.50"
"GD";"88.30"
"GL";"99.39"
"GT";"66.32"
"GF";"90.88"
"GU";"90.35"
"GY";"85.11"
"HK";"96.41"
"HN";"77.59"
"HR";"97.42"
"HT";"29.48"
"HU";"98.00"
"ID";"64.99"
"IN";"41.18"
"IE";"91.70"
"IR";"88.15"
"IQ";"85.66"
"IS";"98.78"
"IL";"100.00"
"IT";"99.28"
"JM";"85.27"
"JO";"97.01"
"JP";"100.00"
"KZ";"97.68"
"KE";"29.97"
"KG";"95.93"
"KH";"43.88"
"KI";"39.73"
"KN";"91.61"
"KR";"99.96"
"KW";"100.00"
"LA";"66.99"
"LB";"92.24"
"LR";"16.36"
"LY";"99.70"
"LC";"90.73"
"LI";"99.95"
"LK";"93.66"
"LS";"39.02"
"LT";"92.45"
"LU";"97.62"
"LV";"91.95"
"MA";"81.74"
"MC";"100.00"
"MD";"77.51"
"MG";"8.97"
"MV";"95.98"
"MX";"87.63"
"MH";"86.74"
"MK";"90.89"
"ML";"29.69"
"MT";"99.97"
"MM";"65.32"
"ME";"95.09"
"MN";"58.48"
"MP";"78.84"
"MZ";"21.97"
"MR";"41.70"
"MS";"88.75"
"MQ";"98.91"
"MU";"93.15"
"MW";"42.33"
"MY";"99.42"
"YT";"76.88"
"NA";"33.15"
"NC";"100.00"
"NE";"11.91"
"NG";"33.01"
"NI";"74.23"
"NU";"96.77"
"NL";"97.76"
"NO";"98.06"
"NP";"42.64"
"NR";"65.60"
"NZ";"100.00"
"OM";"98.86"
"PK";"54.83"
"PA";"75.19"
"PE";"75.12"
"PH";"73.85"
"PW";"100.00"
"PG";"18.59"
"PL";"96.62"
"PR";"97.14"
"KP";"77.09"
"PT";"99.19"
"PY";"88.76"
"PS";"95.80"
"PF";"96.96"
"QA";"99.87"
"RE";"98.98"
"RO";"81.73"
"RU";"88.12"
"RW";"60.30"
"SA";"100.00"
"SD";"32.06"
"SN";"47.00"
"SG";"100.00"
"SH";"99.66"
"SB";"29.96"
"SL";"13.92"
"SV";"89.85"
"SM";"100.00"
"SO";"17.15"
"PM";"99.34"
"RS";"95.02"
"SS";"8.66"
"ST";"37.50"
"SR";"79.25"
"SK";"98.92"
"SI";"99.11"
"SE";"99.31"
"SZ";"56.83"
"SX";"98.72"
"SC";"99.58"
"SY";"92.89"
"TC";"87.48"
"TD";"9.55"
"TG";"13.51"
"TH";"95.01"
"TJ";"95.09"
"TK";"90.16"
"TM";"96.40"
"TL";"42.28"
"TO";"93.00"
"TT";"92.15"
"TN";"91.74"
"TR";"94.98"
"TV";"91.59"
"TZ";"21.09"
"UG";"18.66"
"UA";"95.84"
"UY";"95.44"
"US";"99.97"
"UZ";"100.00"
"VC";"86.02"
"VE";"94.91"
"VG";"96.86"
"VI";"97.60"
"VN";"75.12"
"VU";"53.40"
"WF";"98.14"
"WS";"96.99"
"YE";"57.03"
"ZA";"71.48"
"ZM";"30.46"
"ZW";"39.06"
