;populacao_7
"AF";"4369429"
"AL";"82671"
"DZ";"3344184"
"AO";"12649059"
"AG";"6649"
"AR";"3173344"
"AM";"96623"
"AW";"5293"
"AU";"2214673"
"AT";"405052"
"AZ";"543481"
"BS";"24677"
"BH";"109201"
"BD";"8941212"
"BB";"14162"
"BY";"424237"
"BE";"688329"
"BZ";"39838"
"BJ";"3243746"
"BT";"45216"
"BO";"1043736"
"BA";"112563"
"BW";"220338"
"BR";"9626705"
"BN";"25165"
"BG";"208405"
"BF";"5911712"
"BI";"3998299"
"CV";"38713"
"KH";"1323257"
"CM";"6371193"
"CA";"2674543"
"CF";"963442"
"TD";"4549168"
"CL";"951540"
"CN";"52903909"
"HK";"405596"
"MO";"52541"
"TW";"848262"
"CO";"2358629"
"KM";"153512"
"CG";"1651331"
"CR";"250447"
"CI";"7731310"
"HR";"128391"
"CU";"408330"
"CW";"9280"
"CY";"66018"
"CZ";"460809"
"KP";"1285800"
"CD";"26743950"
"DK";"366556"
"DJ";"78760"
"DO";"656779"
"EC";"1301867"
"EG";"12366935"
"SV";"275964"
"GQ";"315495"
"ER";"977464"
"EE";"46606"
"ET";"15252347"
"FJ";"51675"
"FI";"319624"
"FR";"3952757"
"GF";"51788"
"PF";"15102"
"GA";"318883"
"GM";"518338"
"GE";"146351"
"DE";"3493000"
"GH";"5358466"
"GR";"364380"
"GD";"3844"
"GP";"17806"
"GU";"9243"
"GT";"1799588"
"GN";"3341768"
"GW";"419492"
"GY";"37276"
"HT";"813380"
"HN";"726500"
"HU";"336521"
"IS";"19407"
"IN";"86772636"
"ID";"18353268"
"IR";"3644394"
"IQ";"10837836"
"IE";"338452"
"IL";"964396"
"IT";"2378330"
"JM";"71322"
"JP";"4139846"
"JO";"1015686"
"KZ";"1526727"
"KE";"9250113"
"KI";"16581"
"KW";"348235"
"KG";"541651"
"LA";"461112"
"LV";"61793"
"LB";"213969"
"LS";"253532"
"LR";"1230185"
"LY";"413737"
"LT";"102701"
"LU";"53526"
"MG";"6721236"
"MW";"5142038"
"MY";"2210612"
"MV";"23925"
"ML";"6089710"
"MT";"17453"
"MQ";"14700"
"MR";"1119464"
"MU";"49670"
"YT";"43350"
"MX";"7744308"
"FM";"41819"
"FM";"7236"
"MN";"268236"
"ME";"23334"
"MA";"2291382"
"MZ";"9529493"
"MM";"3379691"
"NA";"369257"
"NP";"1496544"
"NL";"852609"
"NC";"23474"
"NZ";"316744"
"NI";"355056"
"NE";"14590679"
"NG";"58138587"
"NO";"424982"
"OM";"318867"
"PK";"22534538"
"PA";"353019"
"PG";"1312356"
"PY";"502163"
"PE";"2162925"
"PH";"10827444"
"PL";"1058240"
"PT";"322687"
"PR";"101190"
"QA";"193946"
"KR";"1915091"
"MD";"102739"
"RE";"47696"
"RO";"649388"
"RU";"7082560"
"RW";"1752616"
"LC";"6276"
"VC";"3966"
"WS";"17716"
"ST";"43182"
"SA";"2242007"
"SN";"4489065"
"RS";"294544"
"SC";"4560"
"SL";"1168732"
"SG";"234283"
"SK";"197678"
"SI";"84844"
"SB";"94521"
"SO";"5896336"
"ZA";"4616132"
"SS";"3041055"
"ES";"1752317"
"LK";"825183"
"PS";"958683"
"SD";"9811944"
"SR";"33440"
"SZ";"156334"
"SE";"707434"
"CH";"518415"
"SY";"2134726"
"TJ";"1203038"
"MK";"76735"
"TH";"2437932"
"TL";"265174"
"TG";"1851899"
"TO";"10932"
"TT";"56719"
"TN";"707721"
"TR";"4413413"
"TM";"525739"
"UG";"15223023"
"UA";"1555002"
"AE";"733359"
"GB";"4229700"
"TZ";"21437147"
"US";"24522578"
"VI";"2796"
"UY";"171671"
"UZ";"2193989"
"VU";"41860"
"VE";"2269785"
"VN";"5724723"
"EH";"72239"
"YE";"3322807"
"ZM";"6710544"
"ZW";"2601072"
