;redes_28
"AF";"0.15"
"AL";"7.05"
"DZ";"6.09"
"AS";"23.93"
"AD";"49.85"
"AO";"0.46"
"AI";"49.61"
"AG";"44.10"
"AR";"20.34"
"AM";"17.89"
"AW";"39.09"
"AU";"53.40"
"AT";"47.74"
"AZ";"11.19"
"BS";"40.94"
"BH";"23.87"
"BD";"0.44"
"BB";"48.99"
"BY";"30.26"
"BE";"47.58"
"BZ";"11.94"
"BJ";"0.86"
"BM";"86.67"
"BT";"3.23"
"BO";"6.83"
"BA";"23.91"
"BW";"8.32"
"BR";"21.54"
"VG";"54.37"
"BN";"23.43"
"BG";"36.51"
"BF";"0.50"
"BI";"0.33"
"KH";"0.28"
"CM";"0.69"
"CA";"65.84"
"CV";"15.52"
"KY";"84.94"
"CF";"0.23"
"TD";"0.13"
"CL";"22.19"
"CN";"16.50"
"CO";"18.68"
"KM";"1.80"
"CD";"0.02"
"CG";"0.65"
"CK";"32.99"
"CR";"25.55"
"CI";"1.87"
"HR";"41.52"
"CU";"5.93"
"CY";"43.62"
"CZ";"35.85"
"KP";"3.93"
"DK";"68.88"
"DJ";"1.36"
"DM";"33.95"
"DO";"10.29"
"EC";"10.79"
"EG";"10.74"
"SV";"11.24"
"GQ";"1.32"
"ER";"0.99"
"EE";"34.35"
"ET";"0.50"
"FK";"81.68"
"FO";"51.10"
"FJ";"11.95"
"FI";"52.28"
"FR";"56.66"
"GF";"28.51"
"PF";"21.70"
"GA";"2.48"
"GM";"2.92"
"GE";"13.85"
"DE";"65.76"
"GH";"1.38"
"GI";"77.83"
"GR";"56.11"
"GL";"44.82"
"GD";"32.85"
"GP";"49.84"
"GU";"44.54"
"GT";"6.93"
"GG";"99.50"
"GN";"0.28"
"GW";"0.87"
"GY";"10.70"
"HT";"1.47"
"HN";"4.70"
"HK";"56.69"
"HU";"36.09"
"IS";"65.89"
"IN";"3.80"
"ID";"3.56"
"IR";"18.96"
"IQ";"4.52"
"IE";"49.67"
"IL";"48.18"
"IT";"46.96"
"JM";"16.13"
"JP";"47.51"
"JE";"84.47"
"JO";"12.76"
"KZ";"13.78"
"KE";"0.97"
"KI";"5.12"
"KR";"53.61"
"KW";"22.48"
"KG";"7.91"
"LA";"1.13"
"LV";"30.06"
"LB";"19.27"
"LS";"1.50"
"LR";"0.23"
"LY";"13.03"
"LI";"58.57"
"LT";"27.17"
"LU";"56.01"
"MO";"39.23"
"MG";"0.35"
"MW";"0.61"
"MY";"19.30"
"MV";"9.73"
"ML";"0.49"
"MT";"51.65"
"MH";"8.40"
"MQ";"43.82"
"MR";"1.10"
"MU";"26.44"
"YT";"6.20"
"MX";"14.35"
"FM";"9.45"
"MD";"17.22"
"MC";"103.32"
"MN";"5.24"
"ME";"99999999999998"
"MS";"99999999999998"
"MA";"3.82"
"MZ";"0.46"
"MM";"0.73"
"NA";"6.19"
"NR";"17.86"
"NP";"1.33"
"AN";"45.51"
"NL";"49.82"
"NC";"23.52"
"NZ";"44.53"
"NI";"3.32"
"NE";"0.18"
"NG";"0.55"
"NU";"58.69"
"MP";"31.85"
"NO";"50.97"
"OM";"9.75"
"PK";"2.53"
"PS";"7.16"
"PA";"12.29"
"PG";"1.06"
"PY";"4.96"
"PE";"6.23"
"PH";"4.07"
"PL";"30.82"
"PT";"41.66"
"PR";"33.63"
"QA";"27.34"
"RE";"42.09"
"RO";"19.29"
"RU";"24.45"
"RW";"0.29"
"ST";"4.39"
"WS";"6.67"
"SM";"73.26"
"SA";"15.60"
"SN";"2.16"
"RS";"99999999999998"
"SC";"25.24"
"SL";"0.48"
"SG";"46.65"
"SK";"25.98"
"SI";"40.63"
"SB";"1.52"
"SO";"0.37"
"ZA";"10.46"
"SS";"99999999999998"
"ES";"42.02"
"LK";"4.63"
"SH";"44.95"
"KN";"50.38"
"LC";"32.00"
"PM";"76.65"
"VC";"25.26"
"SD";"2.34"
"SR";"16.29"
"SZ";"3.24"
"SE";"65.57"
"CH";"74.37"
"SY";"12.26"
"TW";"60.21"
"TJ";"3.69"
"TZ";"0.45"
"MK";"27.33"
"TH";"10.23"
"TL";"99999999999998"
"TG";"0.97"
"TK";"19.51"
"TO";"11.29"
"TT";"24.90"
"TN";"11.64"
"TR";"29.00"
"TM";"8.11"
"TC";"16.70"
"TV";"6.85"
"UG";"0.21"
"UA";"22.58"
"AE";"31.18"
"GB";"58.53"
"US";"65.82"
"UY";"28.44"
"UZ";"6.59"
"VU";"3.41"
"VE";"11.18"
"VN";"4.79"
"VI";"63.90"
"WF";"11.51"
"YE";"2.87"
"ZM";"0.79"
"ZW";"2.30"
