;redes_28
"AF";"99999999999998"
"AL";"11.48"
"DZ";"8.80"
"AS";"18.24"
"AD";"44.57"
"AO";"0.53"
"AI";"46.83"
"AG";"41.09"
"AR";"24.13"
"AM";"21.55"
"AW";"37.95"
"AU";"43.90"
"AT";"39.40"
"AZ";"14.86"
"BS";"38.07"
"BH";"19.77"
"BD";"0.90"
"BB";"48.68"
"BY";"39.11"
"BE";"43.92"
"BZ";"10.17"
"BJ";"1.33"
"BM";"89.13"
"BT";"3.92"
"BO";"8.22"
"BA";"27.40"
"BW";"7.31"
"BR";"21.37"
"VG";"55.58"
"BN";"21.30"
"BG";"29.16"
"BF";"1.01"
"BI";"0.37"
"KH";"0.31"
"CM";"1.35"
"CA";"54.63"
"CV";"14.61"
"KY";"67.58"
"CF";"99999999999998"
"TD";"0.40"
"CL";"21.15"
"CN";"25.32"
"CO";"17.66"
"KM";"4.38"
"CD";"0.06"
"CG";"0.22"
"CK";"34.84"
"CR";"32.46"
"CI";"1.83"
"HR";"43.15"
"CU";"9.62"
"CY";"52.61"
"CZ";"23.77"
"KP";"4.85"
"DK";"54.11"
"DJ";"1.81"
"DM";"24.62"
"DO";"10.23"
"EC";"13.20"
"EG";"14.64"
"SV";"17.63"
"GQ";"1.15"
"ER";"0.95"
"EE";"37.18"
"ET";"1.08"
"FK";"69.19"
"FO";"45.01"
"FJ";"15.31"
"FI";"31.02"
"FR";"56.31"
"GF";"22.93"
"PF";"20.73"
"GA";"2.16"
"GM";"3.08"
"GE";"14.24"
"DE";"62.00"
"GH";"0.62"
"GI";"73.32"
"GR";"46.01"
"GL";"40.14"
"GD";"27.50"
"GP";"54.99"
"GU";"41.19"
"GT";"10.34"
"GG";"99999999999998"
"GN";"0.26"
"GW";"0.31"
"GY";"18.60"
"HT";"1.11"
"HN";"10.49"
"HK";"60.27"
"HU";"30.97"
"IS";"64.17"
"IN";"3.17"
"ID";"12.86"
"IR";"34.04"
"IQ";"3.72"
"IE";"49.51"
"IL";"45.43"
"IT";"37.04"
"JM";"11.35"
"JP";"37.67"
"JE";"99999999999998"
"JO";"8.00"
"KZ";"21.61"
"KE";"1.65"
"KI";"4.06"
"KR";"49.49"
"KW";"19.60"
"KG";"9.40"
"LA";"2.11"
"LV";"27.30"
"LB";"18.24"
"LS";"2.06"
"LR";"0.05"
"LY";"15.21"
"LI";"55.15"
"LT";"24.42"
"LU";"53.72"
"MO";"34.20"
"MG";"0.82"
"MW";"0.78"
"MY";"16.65"
"MV";"13.60"
"ML";"0.57"
"MT";"58.50"
"MH";"99999999999998"
"MQ";"43.31"
"MR";"2.24"
"MU";"29.34"
"YT";"5.09"
"MX";"18.03"
"FM";"8.33"
"MD";"27.11"
"MC";"97.62"
"MN";"7.63"
"ME";"28.02"
"MS";"57.05"
"MA";"9.47"
"MZ";"0.34"
"MM";"1.02"
"NA";"6.90"
"NR";"18.10"
"NP";"3.04"
"AN";"45.13"
"NL";"44.16"
"NC";"25.84"
"NZ";"40.90"
"NI";"4.55"
"NE";"0.43"
"NG";"0.87"
"NU";"61.01"
"MP";"43.01"
"NO";"39.81"
"OM";"10.91"
"PK";"2.70"
"PS";"9.21"
"PA";"14.90"
"PG";"0.98"
"PY";"6.12"
"PE";"10.74"
"PH";"4.49"
"PL";"24.67"
"PT";"39.05"
"PR";"25.41"
"QA";"19.14"
"RE";"53.90"
"RO";"22.81"
"RU";"31.83"
"RW";"0.17"
"ST";"4.58"
"WS";"99999999999998"
"SM";"70.18"
"SA";"15.81"
"SN";"1.95"
"RS";"41.92"
"SC";"24.61"
"SL";"0.51"
"SG";"38.67"
"SK";"23.87"
"SI";"48.32"
"SB";"1.59"
"SO";"0.88"
"ZA";"9.67"
"SS";"99999999999998"
"ES";"44.73"
"LK";"17.28"
"SH";"54.92"
"KN";"40.53"
"LC";"24.19"
"PM";"76.57"
"VC";"20.86"
"SD";"1.11"
"SR";"16.11"
"SZ";"3.90"
"SE";"57.79"
"CH";"63.14"
"SY";"17.88"
"TW";"62.67"
"TJ";"3.93"
"TZ";"0.29"
"MK";"22.11"
"TH";"11.11"
"TL";"0.24"
"TG";"2.29"
"TK";"26.64"
"TO";"24.79"
"TT";"23.93"
"TN";"11.91"
"TR";"24.85"
"TM";"9.68"
"TC";"12.55"
"TV";"9.67"
"UG";"0.53"
"UA";"28.53"
"AE";"23.15"
"GB";"55.08"
"US";"53.65"
"UY";"28.63"
"UZ";"6.67"
"VU";"4.62"
"VE";"22.81"
"VN";"17.03"
"VI";"69.48"
"WF";"20.39"
"YE";"4.30"
"ZM";"0.69"
"ZW";"2.57"
