;meioambiente_33
"AF";"0.580"
"AL";"0.390"
"DZ";"0.170"
"AS";"0.250"
"AD";"0.460"
"AO";"0.460"
"AI";"99999999999998"
"AG";"0.200"
"AR";"0.500"
"AM";"0.560"
"AW";"0.110"
"AU";"0.580"
"AT";"0.350"
"AZ";"0.580"
"BS";"0.010"
"BH";"0.120"
"BD";"0.720"
"BB";"0.370"
"BY";"0.440"
"BE";"0.460"
"BZ";"0.070"
"BJ";"0.310"
"BM";"0.080"
"BT";"0.160"
"BO";"0.340"
"BA";"0.420"
"BW";"0.460"
"BR";"0.330"
"VG";"0.470"
"BN";"0.020"
"BG";"0.480"
"BF";"0.400"
"BI";"0.710"
"CV";"0.190"
"KH";"0.300"
"CM";"0.190"
"CA";"0.070"
"KY";"0.110"
"CF";"0.080"
"TD";"0.390"
"CL";"0.210"
"CN";"0.550"
"HK";"0.070"
"MO";"99999999999998"
"CO";"0.380"
"KM";"0.710"
"CG";"0.310"
"CK";"0.110"
"CR";"0.350"
"CI";"0.640"
"HR";"0.220"
"CU";"0.620"
"CY";"0.180"
"CZ";"0.550"
"KP";"0.220"
"CD";"0.110"
"DK";"0.640"
"DJ";"0.730"
"DM";"0.290"
"DO";"0.500"
"EC";"0.300"
"EG";"0.040"
"SV";"0.760"
"GQ";"0.120"
"ER";"0.740"
"EE";"0.210"
"ET";"0.340"
"FK";"0.930"
"FO";"0.020"
"FJ";"0.230"
"FI";"0.070"
"FR";"0.540"
"GF";"0.000"
"PF";"0.120"
"GA";"0.200"
"GM";"0.520"
"GE";"0.360"
"DE";"0.490"
"GH";"0.660"
"GI";"99999999999998"
"GR";"0.650"
"GL";"0.010"
"GD";"0.210"
"GP";"0.260"
"GU";"0.370"
"GT";"0.430"
"GN";"0.570"
"GW";"0.570"
"GY";"0.090"
"HT";"0.610"
"HN";"0.280"
"HU";"0.650"
"IS";"0.190"
"IN";"0.610"
"ID";"0.290"
"IR";"0.290"
"IQ";"0.210"
"IE";"0.620"
"IM";"0.810"
"IL";"0.240"
"IT";"0.500"
"JM";"0.430"
"JP";"0.130"
"JO";"0.110"
"KZ";"0.790"
"KE";"0.470"
"KI";"0.420"
"KW";"0.080"
"KG";"0.560"
"LA";"0.090"
"LV";"0.280"
"LB";"0.640"
"LS";"0.770"
"LR";"0.270"
"LY";"0.090"
"LI";"0.430"
"LT";"0.450"
"LU";"0.500"
"MG";"0.700"
"MW";"0.550"
"MY";"0.220"
"MV";"0.300"
"ML";"0.330"
"MT";"0.290"
"MH";"0.720"
"MQ";"0.260"
"MR";"0.380"
"MU";"0.470"
"YT";"0.470"
"MX";"0.550"
"FM";"0.320"
"MN";"0.730"
"ME";"99999999999998"
"MS";"0.300"
"MA";"0.670"
"MZ";"0.630"
"MM";"0.170"
"NA";"0.470"
"NR";"0.200"
"NP";"0.290"
"NL";"0.570"
"NC";"0.130"
"NZ";"0.440"
"NI";"0.440"
"NE";"0.340"
"NG";"0.800"
"NU";"0.180"
"NF";"0.250"
"MP";"0.070"
"NO";"0.030"
"OM";"0.050"
"PK";"0.470"
"PW";"0.110"
"PA";"0.300"
"PG";"0.020"
"PY";"0.500"
"PE";"0.180"
"PH";"0.380"
"PN";"99999999999998"
"PL";"0.520"
"PT";"0.420"
"PR";"0.230"
"QA";"0.060"
"KR";"0.190"
"MD";"0.760"
"RE";"0.190"
"RO";"0.620"
"RU";"0.130"
"RW";"0.720"
"SH";"0.310"
"KN";"0.190"
"LC";"0.180"
"PM";"0.130"
"VC";"0.260"
"WS";"0.150"
"SM";"0.170"
"ST";"0.510"
"SA";"0.810"
"SN";"0.460"
"RS";"99999999999998"
"SC";"0.090"
"SL";"0.530"
"SG";"0.010"
"SK";"0.400"
"SI";"0.250"
"SB";"0.030"
"SO";"0.710"
"ZA";"0.800"
"SS";"99999999999998"
"ES";"0.580"
"LK";"0.400"
"SD";"99999999999998"
"SR";"0.000"
"SZ";"0.710"
"SE";"0.080"
"CH";"0.390"
"SY";"0.750"
"TJ";"0.330"
"TH";"0.380"
"MK";"0.480"
"TL";"0.260"
"TG";"0.600"
"TK";"0.600"
"TO";"0.420"
"TT";"0.110"
"TN";"0.630"
"TR";"0.540"
"TM";"0.740"
"TC";"0.010"
"TV";"0.570"
"UG";"0.660"
"UA";"0.710"
"AE";"0.070"
"GB";"0.700"
"TZ";"0.400"
"US";"0.450"
"VI";"0.170"
"UY";"0.850"
"UZ";"0.630"
"VU";"0.150"
"VE";"0.240"
"VN";"0.320"
"WF";"0.430"
"EH";"0.190"
"YE";"0.450"
"ZM";"0.310"
"ZW";"0.420"
