;meioambiente_33
"AF";"0.580"
"AL";"0.420"
"DZ";"0.170"
"AS";"0.240"
"AD";"0.490"
"AO";"0.460"
"AI";"99999999999998"
"AG";"0.200"
"AR";"0.470"
"AM";"0.460"
"AW";"0.110"
"AU";"0.590"
"AT";"0.360"
"AZ";"0.570"
"BS";"0.010"
"BH";"0.130"
"BD";"0.720"
"BB";"0.420"
"BY";"0.460"
"BE";"0.460"
"BZ";"0.070"
"BJ";"0.280"
"BM";"0.080"
"BT";"0.130"
"BO";"0.340"
"BA";"0.420"
"BW";"0.460"
"BR";"0.310"
"VG";"0.470"
"BN";"0.020"
"BG";"0.500"
"BF";"0.360"
"BI";"0.730"
"CV";"0.180"
"KH";"0.270"
"CM";"0.190"
"CA";"0.070"
"KY";"0.110"
"CF";"0.080"
"TD";"0.390"
"CL";"0.200"
"CN";"0.550"
"HK";"0.070"
"MO";"99999999999998"
"CO";"0.400"
"KM";"0.710"
"CG";"0.310"
"CK";"0.200"
"CR";"0.360"
"CI";"0.620"
"HR";"0.210"
"CU";"0.610"
"CY";"0.150"
"CZ";"0.550"
"KP";"0.210"
"CD";"0.110"
"DK";"0.620"
"DJ";"0.690"
"DM";"0.280"
"DO";"0.520"
"EC";"0.320"
"EG";"0.030"
"SV";"0.720"
"GQ";"0.120"
"ER";"0.750"
"EE";"0.230"
"ET";"0.310"
"FK";"0.930"
"FO";"0.020"
"FJ";"0.230"
"FI";"0.070"
"FR";"0.540"
"GF";"0.000"
"PF";"0.120"
"GA";"0.200"
"GM";"0.550"
"GE";"0.430"
"DE";"0.490"
"GH";"0.630"
"GI";"99999999999998"
"GR";"0.660"
"GL";"0.010"
"GD";"0.350"
"GP";"0.290"
"GU";"0.370"
"GT";"0.420"
"GN";"0.550"
"GW";"0.580"
"GY";"0.090"
"HT";"0.610"
"HN";"0.260"
"HU";"0.650"
"IS";"0.190"
"IN";"0.610"
"ID";"0.260"
"IR";"0.390"
"IQ";"0.190"
"IE";"0.640"
"IM";"0.770"
"IL";"0.260"
"IT";"0.530"
"JM";"0.440"
"JP";"0.140"
"JO";"0.120"
"KZ";"0.800"
"KE";"0.470"
"KI";"0.420"
"KW";"0.080"
"KG";"0.560"
"LA";"0.080"
"LV";"0.260"
"LB";"0.580"
"LS";"0.770"
"LR";"0.270"
"LY";"0.090"
"LI";"0.440"
"LT";"0.550"
"LU";"0.490"
"MG";"0.700"
"MW";"0.500"
"MY";"0.210"
"MV";"0.300"
"ML";"0.320"
"MT";"0.280"
"MH";"0.670"
"MQ";"0.310"
"MR";"0.390"
"MU";"0.500"
"YT";"0.530"
"MX";"0.550"
"FM";"0.320"
"MN";"0.840"
"ME";"99999999999998"
"MS";"0.300"
"MA";"0.690"
"MZ";"0.610"
"MM";"0.170"
"NA";"0.470"
"NR";"0.200"
"NP";"0.300"
"NL";"0.580"
"NC";"0.130"
"NZ";"0.590"
"NI";"0.430"
"NE";"0.290"
"NG";"0.780"
"NU";"0.180"
"NF";"0.250"
"MP";"0.070"
"NO";"0.030"
"OM";"0.040"
"PK";"0.480"
"PW";"0.110"
"PA";"0.300"
"PG";"0.020"
"PY";"0.510"
"PE";"0.180"
"PH";"0.380"
"PN";"99999999999998"
"PL";"0.600"
"PT";"0.420"
"PR";"0.280"
"QA";"0.060"
"KR";"0.200"
"MD";"0.770"
"RE";"0.200"
"RO";"0.650"
"RU";"0.130"
"RW";"0.680"
"SH";"0.310"
"KN";"0.370"
"LC";"0.230"
"PM";"0.130"
"VC";"0.260"
"WS";"0.170"
"SM";"0.170"
"ST";"0.510"
"SA";"0.810"
"SN";"0.470"
"RS";"99999999999998"
"SC";"0.090"
"SL";"0.390"
"SG";"0.020"
"SK";"0.510"
"SI";"0.260"
"SB";"0.030"
"SO";"0.700"
"ZA";"0.810"
"SS";"99999999999998"
"ES";"0.600"
"LK";"0.370"
"SD";"99999999999998"
"SR";"0.010"
"SZ";"0.710"
"SE";"0.080"
"CH";"0.400"
"SY";"0.750"
"TJ";"0.330"
"TH";"0.390"
"MK";"0.490"
"TL";"0.230"
"TG";"0.670"
"TK";"0.600"
"TO";"0.420"
"TT";"0.130"
"TN";"0.610"
"TR";"0.530"
"TM";"0.760"
"TC";"0.010"
"TV";"0.670"
"UG";"0.630"
"UA";"0.710"
"AE";"0.070"
"GB";"0.700"
"TZ";"0.380"
"US";"0.450"
"VI";"0.200"
"UY";"0.850"
"UZ";"0.640"
"VU";"0.140"
"VE";"0.250"
"VN";"0.280"
"WF";"0.430"
"EH";"0.190"
"YE";"0.450"
"ZM";"0.300"
"ZW";"0.390"
