;populacao_6
"KH";"131,3"
"ID";"179,2"
"LA";"40,5"
"MY";"132,5"
"MM";"94,5"
"PH";"549,2"
"SG";"9.073,0"
"TH";"117,0"
"TL";"196,9"
"VN";"372,3"
"AM";"86,7"
"AZ";"130,0"
"BH";"3.190,0"
"CY";"151,5"
"GE";"44,8"
"IQ";"237,4"
"IL";"655,7"
"JO";"177,4"
"KW";"330,2"
"LB";"520,0"
"OM";"22,9"
"QA";"344,2"
"SA";"21,5"
"PS";"1.940,1"
"SY";"202,2"
"TR";"124,6"
"AE";"168,3"
"YE";"100,8"
"BY";"40,3"
"BG";"44,3"
"CZ";"124,6"
"HU";"84,4"
"PL";"94,6"
"MD";"86,8"
"RO";"64,6"
"RU";"7,8"
"SK";"95,8"
"UA";"57,5"
"DK";"153,0"
"EE";"25,0"
"FO";"40,2"
"FI";"19,7"
"IS";"3,9"
"IE";"87,0"
"IM";"175,8"
"LV";"22,1"
"LT";"35,5"
"NO";"19,9"
"SE";"29,8"
"GB";"320,2"
"AL";"87,4"
"AD";"151,9"
"BA";"54,9"
"HR";"56,3"
"GI";"3.729,3"
"GR";"70,3"
"VA";"1.840,9"
"IT";"175,9"
"MT";"1.260,8"
"ME";"41,0"
"PT";"88,8"
"SM";"563,6"
"RS";"78,1"
"SI";"90,7"
"ES";"82,8"
"MK";"71,2"
"AT";"104,8"
"BE";"417,2"
"FR";"130,6"
"DE";"218,4"
"LI";"273,6"
"LU";"334,1"
"MC";"33.153,0"
"NL";"509,4"
"CH";"256,0"
"AI";"164,8"
"AG";"288,6"
"AW";"575,9"
"BS";"48,3"
"BB";"630,7"
"VG";"250,1"
"KY";"361,6"
"CU";"93,1"
"CW";"416,9"
"DM";"97,1"
"DO";"277,7"
"GD";"297,7"
"GP";"234,3"
"HT";"518,1"
"JM";"221,7"
"MQ";"307,2"
"MS";"52,1"
"PR";"332,4"
"KN";"239,2"
"LC";"279,6"
"VC";"262,5"
"SX";"1.633,3"
"TT";"233,5"
"TC";"52,5"
"VI";"224,7"
"BZ";"28,4"
"CR";"112,3"
"SV";"329,7"
"GT";"279,5"
"HN";"125,2"
"MX";"86,1"
"NI";"66,7"
"PA";"84,0"
"AR";"21,1"
"BO";"15,9"
"BR";"27,1"
"CL";"27,7"
"CO";"47,9"
"EC";"98,0"
"FK";"0,2"
"GF";"7,9"
"GY";"4,0"
"PY";"23,2"
"PE";"33,6"
"SR";"4,1"
"UY";"20,6"
"VE";"48,9"
"BM";"981,8"
"CA";"5,2"
"GL";"0,1"
"PM";"32,3"
"US";"44,9"
"AU";"4,7"
"NZ";"22,5"
"FJ";"53,5"
"NC";"22,2"
"PG";"35,1"
"SB";"42,7"
"VU";"45,1"
"FM";"214,6"
"GU";"357,7"
"KI";"248,6"
"MH";"381,8"
"FM";"186,5"
"NR";"540,9"
"MP";"102,3"
"PW";"62,5"
"AS";"270,2"
"CK";"73,9"
"PF";"88,5"
"NU";"7,1"
"WS";"90,7"
"TK";"161,7"
"TO";"206,7"
"TV";"529,1"
"WF";"75,4"
"BI";"1.515,2"
"KM";"1.088,1"
"DJ";"69,4"
"ER";"134,1"
"ET";"260,0"
"KE";"236,7"
"MG";"137,1"
"MW";"661,4"
"MU";"683,9"
"YT";"1.844,4"
"MZ";"129,0"
"RE";"481,4"
"RW";"1.201,0"
"SC";"241,0"
"SO";"88,1"
"SS";"59,7"
"UG";"808,0"
"TZ";"241,5"
"ZM";"85,7"
"ZW";"106,7"
"AO";"94,5"
"CM";"153,9"
"CF";"20,2"
"TD";"39,1"
"CG";"51,0"
"CD";"130,3"
"GQ";"146,6"
"GA";"18,6"
"ST";"558,4"
"DZ";"30,2"
"EG";"206,5"
"LY";"5,5"
"MA";"125,2"
"SD";"64,9"
"TN";"107,7"
"EH";"4,9"
"BW";"7,8"
"LS";"143,6"
"NA";"7,3"
"ZA";"76,2"
"SZ";"163,1"
"BJ";"311,4"
"BF";"234,4"
"CV";"231,1"
"CI";"242,7"
"GM";"636,6"
"GH";"312,1"
"GN";"160,3"
"GW";"182,4"
"LR";"150,0"
"ML";"53,9"
"MR";"12,4"
"NE";"89,6"
"NG";"665,0"
"SH";"12,5"
"SN";"259,4"
"SL";"244,2"
"TG";"403,7"
"CN";"159,1"
"HK";"9.198,3"
"MO";"36.425,7"
"TW";"697,5"
"KP";"261,0"
"JP";"321,5"
"MN";"3,3"
"KR";"561,6"
"KZ";"10,7"
"KG";"53,8"
"TJ";"139,6"
"TM";"21,2"
"UZ";"118,0"
"AF";"125,5"
"BD";"1.899,8"
"BT";"31,5"
"IN";"683,6"
"IR";"66,6"
"MV";"2.288,1"
"NP";"310,9"
"PK";"518,7"
"LK";"376,0"
"BN";"121,2"
"KH";"157,5"
"ID";"217,5"
"LA";"49,5"
"MY";"157,7"
"MM";"115,0"
"PH";"660,1"
"SG";"10.526,1"
"TH";"140,8"
"TL";"230,6"
"VN";"442,9"
"AM";"105,4"
"AZ";"157,5"
"BH";"3.692,8"
"CY";"178,2"
"GE";"54,6"
"IQ";"279,0"
"IL";"759,8"
"JO";"210,4"
"KW";"389,1"
"LB";"633,2"
"OM";"26,3"
"QA";"387,1"
"SA";"25,2"
