;populacao_7
"AF";"3873"
"AL";"9984"
"DZ";"76814"
"AO";"5740"
"AG";"195"
"AR";"156228"
"AM";"8255"
"AW";"271"
"AU";"159903"
"AT";"48004"
"AZ";"8312"
"BS";"1422"
"BH";"817"
"BD";"316328"
"BB";"860"
"BY";"25516"
"BE";"68740"
"BZ";"121"
"BJ";"1935"
"BT";"1579"
"BO";"25228"
"BA";"14783"
"BW";"816"
"BR";"876528"
"BN";"633"
"BG";"14254"
"BF";"977"
"BI";"1636"
"CV";"296"
"KH";"9582"
"CM";"4964"
"CA";"293258"
"CF";"827"
"TD";"1533"
"CL";"111692"
"CN";"3888795"
"HK";"93091"
"MO";"5804"
"TW";"193197"
"CO";"142177"
"KM";"092"
"CG";"1804"
"CR";"25023"
"CI";"1580"
"HR";"20586"
"CU";"91785"
"CW";"1129"
"CY";"5255"
"CZ";"49930"
"KP";"21508"
"CD";"15973"
"DK";"32646"
"DJ";"231"
"DO";"35220"
"EC";"49045"
"EG";"50921"
"SV";"15389"
"GQ";"228"
"ER";"1847"
"EE";"7028"
"ET";"35996"
"FJ";"655"
"FI";"40529"
"FR";"597253"
"GF";"895"
"PF";"727"
"GA";"848"
"GM";"096"
"GE";"6235"
"DE";"479895"
"GH";"2633"
"GR";"68941"
"GD";"120"
"GP";"4939"
"GU";"660"
"GT";"25812"
"GN";"1107"
"GW";"125"
"GY";"166"
"HT";"5868"
"HN";"15572"
"HU";"39200"
"IS";"2046"
"IN";"1241901"
"ID";"80660"
"IR";"99063"
"IQ";"10637"
"IE";"23181"
"IL";"49739"
"IT";"492800"
"JM";"7983"
"JP";"1574295"
"JO";"3989"
"KZ";"15221"
"KE";"17189"
"KI";"024"
"KW";"690"
"KG";"2658"
"LA";"1631"
"LV";"6018"
"LB";"16171"
"LS";"444"
"LR";"435"
"LY";"2763"
"LT";"9703"
"LU";"2667"
"MG";"7467"
"MW";"2906"
"MY";"40855"
"MV";"643"
"ML";"918"
"MT";"2705"
"MQ";"4209"
"MR";"333"
"MU";"4403"
"YT";"620"
"MX";"437797"
"FM";"1024"
"FM";"030"
"MN";"1684"
"ME";"1939"
"MA";"37864"
"MZ";"6677"
"MM";"15545"
"NA";"719"
"NP";"17571"
"NL";"104450"
"NC";"677"
"NZ";"26654"
"NI";"19124"
"NE";"1435"
"NG";"6120"
"NO";"28776"
"OM";"5585"
"PK";"41768"
"PA";"19270"
"PG";"3680"
"PY";"9957"
"PE";"82996"
"PH";"40934"
"PL";"209770"
"PT";"69133"
"PR";"25055"
"QA";"1990"
"KR";"386423"
"MD";"6404"
"RE";"6341"
"RO";"67637"
"RU";"354552"
"RW";"4648"
"LC";"657"
"VC";"186"
"WS";"383"
"ST";"038"
"SA";"21533"
"SN";"2108"
"RS";"24136"
"SC";"209"
"SL";"163"
"SG";"57482"
"SK";"19404"
"SI";"13983"
"SB";"192"
"SO";"1731"
"ZA";"48404"
"SS";"1832"
"ES";"332569"
"LK";"62576"
"PS";"1904"
"SD";"9965"
"SR";"629"
"SZ";"221"
"SE";"59178"
"CH";"54117"
"SY";"19046"
"TJ";"7368"
"MK";"3233"
"TH";"310347"
"TL";"356"
"TG";"384"
"TO";"111"
"TT";"2141"
"TN";"20555"
"TR";"168774"
"TM";"2582"
"UG";"6830"
"UA";"103156"
"AE";"3456"
"GB";"415472"
"TZ";"17687"
"US";"1928200"
"VI";"672"
"UY";"16722"
"UZ";"28558"
"VU";"155"
"VE";"89906"
"VN";"402501"
"EH";"168"
"YE";"3498"
"ZM";"3463"
"ZW";"3942"
