;populacao_7
"AF";"97588"
"AL";"87592"
"DZ";"686541"
"AO";"106717"
"AG";"2269"
"AR";"836512"
"AM";"61815"
"AW";"2831"
"AU";"893418"
"AT";"378167"
"AZ";"142688"
"BS";"10685"
"BH";"17582"
"BD";"2354834"
"BB";"7948"
"BY";"204800"
"BE";"434468"
"BZ";"2711"
"BJ";"39830"
"BT";"10066"
"BO";"138938"
"BA";"98949"
"BW";"14130"
"BR";"4871187"
"BN";"8299"
"BG";"135281"
"BF";"39178"
"BI";"35353"
"CV";"5402"
"KH";"143502"
"CM";"88904"
"CA";"1598542"
"CF";"14849"
"TD";"32297"
"CL";"537805"
"CN";"32029053"
"HK";"392607"
"MO";"32633"
"TW";"947284"
"CO";"1016276"
"KM";"2456"
"CG";"30245"
"CR";"150330"
"CI";"49125"
"HR";"113443"
"CU";"490198"
"CW";"5878"
"CY";"35636"
"CZ";"276509"
"KP";"357677"
"CD";"314184"
"DK";"194371"
"DJ";"5170"
"DO";"179681"
"EC";"334472"
"EG";"757793"
"SV";"104436"
"GQ";"3786"
"ER";"20887"
"EE";"37415"
"ET";"524790"
"FJ";"8911"
"FI";"198516"
"FR";"2539564"
"GF";"6070"
"PF";"6212"
"GA";"13206"
"GM";"4013"
"GE";"72295"
"DE";"3565068"
"GH";"84002"
"GR";"396723"
"GD";"1508"
"GP";"19433"
"GU";"4473"
"GT";"188244"
"GN";"36435"
"GW";"3746"
"GY";"4157"
"HT";"65412"
"HN";"115853"
"HU";"186379"
"IS";"11961"
"IN";"12337666"
"ID";"1972044"
"IR";"1238076"
"IQ";"168822"
"IE";"155259"
"IL";"208431"
"IT";"2667084"
"JM";"56916"
"JP";"4795939"
"JO";"78202"
"KZ";"211225"
"KE";"260315"
"KI";"627"
"KW";"33584"
"KG";"57670"
"LA";"36642"
"LV";"45803"
"LB";"123027"
"LS";"6221"
"LR";"15093"
"LY";"53240"
"LT";"76924"
"LU";"22017"
"MG";"119961"
"MW";"66340"
"MY";"475068"
"MV";"6840"
"ML";"32011"
"MT";"13958"
"MQ";"17846"
"MR";"12845"
"MU";"30016"
"YT";"3607"
"MX";"2461828"
"FM";"9255"
"FM";"469"
"MN";"29069"
"ME";"15421"
"MA";"643480"
"MZ";"111748"
"MM";"326170"
"NA";"12986"
"NP";"231629"
"NL";"661709"
"NC";"6484"
"NZ";"178876"
"NI";"101481"
"NE";"55127"
"NG";"296924"
"NO";"186104"
"OM";"50467"
"PK";"1024685"
"PA";"97978"
"PG";"41977"
"PY";"79214"
"PE";"574651"
"PH";"743808"
"PL";"983764"
"PT";"396995"
"PR";"101349"
"QA";"32623"
"KR";"2284518"
"MD";"60511"
"RE";"31824"
"RO";"344820"
"RU";"2752392"
"RW";"80739"
"LC";"4386"
"VC";"1910"
"WS";"2683"
"ST";"866"
"SA";"361667"
"SN";"57744"
"RS";"156862"
"SC";"2081"
"SL";"8720"
"SG";"279407"
"SK";"127595"
"SI";"76775"
"SB";"3693"
"SO";"36151"
"ZA";"439698"
"SS";"40563"
"ES";"2051695"
"LK";"436913"
"PS";"32758"
"SD";"169790"
"SR";"7572"
"SZ";"4289"
"SE";"348950"
"CH";"388259"
"SY";"236685"
"TJ";"79877"
"MK";"39059"
"TH";"2054483"
"TL";"6004"
"TG";"15682"
"TO";"958"
"TT";"20116"
"TN";"216376"
"TR";"1586332"
"TM";"42717"
"UG";"124162"
"UA";"817881"
"AE";"107741"
"GB";"2465495"
"TZ";"273814"
"US";"10977442"
"VI";"3368"
"UY";"79781"
"UZ";"323853"
"VU";"2514"
"VE";"572768"
"VN";"2309322"
"EH";"4283"
"YE";"78141"
"ZM";"60433"
"ZW";"56405"
