;populacao_7
"AF";"617469"
"AL";"184296"
"DZ";"1374073"
"AO";"532181"
"AG";"4452"
"AR";"1986625"
"AM";"190812"
"AW";"7522"
"AU";"1391127"
"AT";"550759"
"AZ";"462173"
"BS";"19594"
"BH";"45444"
"BD";"4336222"
"BB";"18504"
"BY";"691576"
"BE";"728596"
"BZ";"9834"
"BJ";"220348"
"BT";"22356"
"BO";"329582"
"BA";"256561"
"BW";"61881"
"BR";"9327114"
"BN";"16313"
"BG";"512247"
"BF";"322341"
"BI";"227666"
"CV";"14820"
"KH";"459723"
"CM";"435376"
"CA";"2486013"
"CF";"101974"
"TD";"250951"
"CL";"954829"
"CN";"80658906"
"HK";"565853"
"MO";"41544"
"TW";"1676179"
"CO";"2136060"
"KM";"18019"
"CG";"104411"
"CR";"222912"
"CI";"528083"
"HR";"310506"
"CU";"633968"
"CW";"11140"
"CY";"63551"
"CZ";"705047"
"KP";"1304312"
"CD";"1504070"
"DK";"343492"
"DJ";"24192"
"DO";"386470"
"EC";"598209"
"EG";"3012016"
"SV";"230224"
"GQ";"23101"
"ER";"98548"
"EE";"89171"
"ET";"2068336"
"FJ";"39054"
"FI";"370759"
"FR";"4036540"
"GF";"9662"
"PF";"13172"
"GA";"42456"
"GM";"35124"
"GE";"260747"
"DE";"5698352"
"GH";"644613"
"GR";"728361"
"GD";"3870"
"GP";"29244"
"GU";"7899"
"GT";"395440"
"GN";"294313"
"GW";"40046"
"GY";"30082"
"HT";"303481"
"HN";"232705"
"HU";"743455"
"IS";"20067"
"IN";"50451411"
"ID";"10043471"
"IR";"2945682"
"IQ";"730457"
"IE";"255921"
"IL";"372339"
"IT";"3917402"
"JM";"122973"
"JP";"8005925"
"JO";"192136"
"KZ";"827748"
"KE";"869460"
"KI";"3277"
"KW";"115598"
"KG";"212271"
"LA";"177824"
"LV";"139797"
"LB";"215532"
"LS";"56329"
"LR";"99880"
"LY";"160598"
"LT";"202468"
"LU";"33234"
"MG";"536262"
"MW";"265078"
"MY";"1196644"
"MV";"11111"
"ML";"303453"
"MT";"30018"
"MQ";"27366"
"MR";"94937"
"MU";"76404"
"YT";"5073"
"MX";"4515076"
"FM";"22646"
"FM";"3746"
"MN";"93125"
"ME";"42860"
"MA";"1500382"
"MZ";"561480"
"MM";"2205079"
"NA";"55489"
"NP";"900667"
"NL";"1119331"
"NC";"12838"
"NZ";"271445"
"NI";"200620"
"NE";"397883"
"NG";"3882820"
"NO";"306444"
"OM";"88457"
"PK";"5033034"
"PA";"153239"
"PG";"217838"
"PY";"225771"
"PE";"1140897"
"PH";"3414644"
"PL";"2940544"
"PT";"687474"
"PR";"206509"
"QA";"53299"
"KR";"3495841"
"MD";"287854"
"RE";"47361"
"RO";"1460408"
"RU";"10753238"
"RW";"255560"
"LC";"7997"
"VC";"4956"
"WS";"6434"
"ST";"3448"
"SA";"861559"
"SN";"294250"
"RS";"639521"
"SC";"4867"
"SL";"145678"
"SG";"390133"
"SK";"386952"
"SI";"154086"
"SB";"13050"
"SO";"277063"
"ZA";"1938554"
"SS";"241403"
"ES";"2939816"
"LK";"1094630"
"PS";"85953"
"SD";"885434"
"SR";"21669"
"SZ";"26490"
"SE";"565519"
"CH";"512422"
"SY";"547071"
"TJ";"242999"
"MK";"136289"
"TH";"4258814"
"TL";"27870"
"TG";"155020"
"TO";"3417"
"TT";"76076"
"TN";"535324"
"TR";"3298241"
"TM";"201641"
"UG";"559395"
"UA";"3209843"
"AE";"179196"
"GB";"3787923"
"TZ";"995312"
"US";"20963094"
"VI";"7485"
"UY";"181071"
"UZ";"1143330"
"VU";"6873"
"VE";"1177917"
"VN";"4220099"
"EH";"16845"
"YE";"529361"
"ZM";"233537"
"ZW";"263244"
