;populacao_7
"AF";"820986"
"AL";"165847"
"DZ";"957963"
"AO";"449416"
"AG";"5321"
"AR";"1944107"
"AM";"180693"
"AW";"4976"
"AU";"1182788"
"AT";"520240"
"AZ";"288690"
"BS";"13888"
"BH";"30210"
"BD";"4510765"
"BB";"16442"
"BY";"636514"
"BE";"726800"
"BZ";"6557"
"BJ";"210999"
"BT";"28365"
"BO";"336001"
"BA";"302320"
"BW";"53810"
"BR";"8094400"
"BN";"14228"
"BG";"670321"
"BF";"380800"
"BI";"223450"
"CV";"8029"
"KH";"405619"
"CM";"500159"
"CA";"2024931"
"CF";"132322"
"TD";"250842"
"CL";"769675"
"CN";"65010619"
"HK";"379579"
"MO";"18092"
"TW";"1103345"
"CO";"1782406"
"KM";"16230"
"CG";"104646"
"CR";"169833"
"CI";"515692"
"HR";"342433"
"CU";"635693"
"CW";"10424"
"CY";"52323"
"CZ";"869605"
"KP";"1268353"
"CD";"1649744"
"DK";"413255"
"DJ";"21738"
"DO";"325572"
"EC";"469537"
"EG";"2759666"
"SV";"261448"
"GQ";"15251"
"ER";"155060"
"EE";"106992"
"ET";"2239701"
"FJ";"42837"
"FI";"441970"
"FR";"4366154"
"GF";"5491"
"PF";"9064"
"GA";"41541"
"GM";"35229"
"GE";"285480"
"DE";"4907083"
"GH";"675843"
"GR";"649709"
"GD";"4339"
"GP";"20373"
"GU";"9342"
"GT";"382495"
"GN";"264897"
"GW";"48897"
"GY";"43889"
"HT";"324894"
"HN";"194513"
"HU";"758078"
"IS";"16343"
"IN";"43586610"
"ID";"8321136"
"IR";"2119901"
"IQ";"663858"
"IE";"236915"
"IL";"269701"
"IT";"4018438"
"JM";"116940"
"JP";"10837328"
"JO";"110751"
"KZ";"966279"
"KE";"822858"
"KI";"3463"
"KW";"117477"
"KG";"193766"
"LA";"175448"
"LV";"168101"
"LB";"138367"
"LS";"72498"
"LR";"106952"
"LY";"176887"
"LT";"229881"
"LU";"27837"
"MG";"452822"
"MW";"388973"
"MY";"901319"
"MV";"6750"
"ML";"401415"
"MT";"29222"
"MQ";"19389"
"MR";"85853"
"MU";"72743"
"YT";"2924"
"MX";"3698360"
"FM";"20662"
"FM";"3553"
"MN";"81075"
"ME";"39372"
"MA";"834988"
"MZ";"719165"
"MM";"1889694"
"NA";"54504"
"NP";"880063"
"NL";"1205989"
"NC";"9975"
"NZ";"235314"
"NI";"155506"
"NE";"388867"
"NG";"4591999"
"NO";"316153"
"OM";"88004"
"PK";"4619799"
"PA";"124618"
"PG";"200418"
"PY";"189352"
"PE";"1051978"
"PH";"2791106"
"PL";"2729811"
"PT";"624185"
"PR";"228824"
"QA";"23296"
"KR";"2579252"
"MD";"266495"
"RE";"27254"
"RO";"1549354"
"RU";"9987152"
"RW";"296930"
"LC";"5929"
"VC";"4420"
"WS";"6357"
"ST";"3709"
"SA";"706907"
"SN";"306341"
"RS";"702331"
"SC";"2917"
"SL";"211026"
"SG";"211177"
"SK";"350424"
"SI";"137614"
"SB";"13319"
"SO";"400744"
"ZA";"1832453"
"SS";"303040"
"ES";"2447481"
"LK";"1070721"
"PS";"86626"
"SD";"833302"
"SR";"18807"
"SZ";"30692"
"SE";"667692"
"CH";"503696"
"SY";"419345"
"TJ";"181693"
"MK";"143908"
"TH";"3008402"
"TL";"44071"
"TG";"158273"
"TO";"5161"
"TT";"70573"
"TN";"297993"
"TR";"2620861"
"TM";"147632"
"UG";"706626"
"UA";"3291599"
"AE";"140981"
"GB";"4170954"
"TZ";"1124508"
"US";"17788629"
"VI";"8728"
"UY";"185624"
"UZ";"697648"
"VU";"7022"
"VE";"962892"
"VN";"2589098"
"EH";"11335"
"YE";"466800"
"ZM";"333710"
"ZW";"324938"
