;populacao_7
"AF";"159681"
"AL";"83976"
"DZ";"983004"
"AO";"166365"
"AG";"3031"
"AR";"1056749"
"AM";"52495"
"AW";"2604"
"AU";"1006136"
"AT";"358583"
"AZ";"143195"
"BS";"12095"
"BH";"30147"
"BD";"3366877"
"BB";"8374"
"BY";"198087"
"BE";"436113"
"BZ";"4367"
"BJ";"58280"
"BT";"15765"
"BO";"192048"
"BA";"97842"
"BW";"23131"
"BR";"5935458"
"BN";"12886"
"BG";"157065"
"BF";"67222"
"BI";"43866"
"CV";"6462"
"KH";"210972"
"CM";"147180"
"CA";"1457511"
"CF";"21729"
"TD";"49513"
"CL";"621919"
"CN";"43175824"
"HK";"368135"
"MO";"33316"
"TW";"930989"
"CO";"1183739"
"KM";"3577"
"CG";"51806"
"CR";"160265"
"CI";"74444"
"HR";"116627"
"CU";"525257"
"CW";"5522"
"CY";"42569"
"CZ";"376140"
"KP";"608385"
"CD";"495762"
"DK";"201841"
"DJ";"6949"
"DO";"226196"
"EC";"455501"
"EG";"1118267"
"SV";"132461"
"GQ";"6166"
"ER";"33114"
"EE";"39934"
"ET";"889768"
"FJ";"9660"
"FI";"177170"
"FR";"2689482"
"GF";"9439"
"PF";"7938"
"GA";"23415"
"GM";"6019"
"GE";"71543"
"DE";"3017856"
"GH";"139703"
"GR";"462278"
"GD";"1438"
"GP";"19046"
"GU";"4852"
"GT";"291570"
"GN";"60453"
"GW";"6558"
"GY";"5405"
"HT";"80973"
"HN";"174421"
"HU";"262522"
"IS";"12330"
"IN";"16736708"
"ID";"2934576"
"IR";"1784665"
"IQ";"329970"
"IE";"198648"
"IL";"278951"
"IT";"2858430"
"JM";"65641"
"JP";"6292220"
"JO";"135653"
"KZ";"233242"
"KE";"473201"
"KI";"717"
"KW";"73897"
"KG";"65908"
"LA";"59271"
"LV";"45296"
"LB";"136214"
"LS";"7891"
"LR";"27545"
"LY";"106622"
"LT";"70397"
"LU";"24743"
"MG";"197051"
"MW";"119790"
"MY";"649613"
"MV";"10568"
"ML";"60643"
"MT";"14289"
"MQ";"16638"
"MR";"20521"
"MU";"27878"
"YT";"6253"
"MX";"3962556"
"FM";"9902"
"FM";"357"
"MN";"40204"
"ME";"16091"
"MA";"834643"
"MZ";"177158"
"MM";"449893"
"NA";"19897"
"NP";"361241"
"NL";"653265"
"NC";"8956"
"NZ";"188664"
"NI";"148621"
"NE";"76429"
"NG";"519987"
"NO";"223446"
"OM";"97262"
"PK";"1382369"
"PA";"132266"
"PG";"59595"
"PY";"92992"
"PE";"775883"
"PH";"1032577"
"PL";"1104135"
"PT";"452043"
"PR";"110253"
"QA";"57302"
"KR";"2524706"
"MD";"55772"
"RE";"33439"
"RO";"518135"
"RU";"2547512"
"RW";"102614"
"LC";"5242"
"VC";"1881"
"WS";"3417"
"ST";"1150"
"SA";"696295"
"SN";"105777"
"RS";"183794"
"SC";"2381"
"SL";"16050"
"SG";"310767"
"SK";"145505"
"SI";"77963"
"SB";"6923"
"SO";"53344"
"ZA";"575902"
"SS";"59079"
"ES";"2403072"
"LK";"505433"
"PS";"53263"
"SD";"242455"
"SR";"9048"
"SZ";"5620"
"SE";"394500"
"CH";"385974"
"SY";"341611"
"TJ";"105794"
"MK";"45774"
"TH";"2377369"
"TL";"11215"
"TG";"26817"
"TO";"1438"
"TT";"19738"
"TN";"262626"
"TR";"2234218"
"TM";"51854"
"UG";"235212"
"UA";"824226"
"AE";"214483"
"GB";"2462614"
"TZ";"469129"
"US";"10616749"
"VI";"3083"
"UY";"91963"
"UZ";"399138"
"VU";"3505"
"VE";"676768"
"VN";"2911201"
"EH";"7617"
"YE";"109707"
"ZM";"114759"
"ZW";"98830"
