;populacao_7
"AF";"75186"
"AL";"36676"
"DZ";"214345"
"AO";"64352"
"AG";"962"
"AR";"711246"
"AM";"40693"
"AW";"1080"
"AU";"487696"
"AT";"278036"
"AZ";"60633"
"BS";"2665"
"BH";"2430"
"BD";"827272"
"BB";"5947"
"BY";"232252"
"BE";"367060"
"BZ";"1640"
"BJ";"40266"
"BT";"3104"
"BO";"77333"
"BA";"60701"
"BW";"9247"
"BR";"1503362"
"BN";"1334"
"BG";"275540"
"BF";"57238"
"BI";"34160"
"CV";"3001"
"KH";"58283"
"CM";"88530"
"CA";"782277"
"CF";"24826"
"TD";"40795"
"CL";"201072"
"CN";"15282687"
"HK";"131650"
"MO";"5770"
"TW";"334045"
"CO";"351920"
"KM";"2803"
"CG";"20183"
"CR";"38192"
"CI";"68936"
"HR";"122258"
"CU";"204400"
"CW";"2556"
"CY";"17949"
"CZ";"318383"
"KP";"214691"
"CD";"225093"
"DK";"166975"
"DJ";"3497"
"DO";"74011"
"EC";"108690"
"EG";"584628"
"SV";"58175"
"GQ";"3861"
"ER";"17588"
"EE";"37756"
"ET";"352844"
"FJ";"4235"
"FI";"157168"
"FR";"2066603"
"GF";"875"
"PF";"1671"
"GA";"12950"
"GM";"6145"
"GE";"91344"
"DE";"2657064"
"GH";"94352"
"GR";"318228"
"GD";"1566"
"GP";"8211"
"GU";"1403"
"GT";"79910"
"GN";"51125"
"GW";"6141"
"GY";"7041"
"HT";"60105"
"HN";"44124"
"HU";"337020"
"IS";"6489"
"IN";"7467241"
"ID";"1571325"
"IR";"485162"
"IQ";"147163"
"IE";"87097"
"IL";"121257"
"IT";"2107176"
"JM";"38992"
"JP";"3858652"
"JO";"24835"
"KZ";"163132"
"KE";"140929"
"KI";"482"
"KW";"6140"
"KG";"40956"
"LA";"32687"
"LV";"64725"
"LB";"38993"
"LS";"15226"
"LR";"13817"
"LY";"35263"
"LT";"90298"
"LU";"11331"
"MG";"76203"
"MW";"58498"
"MY";"149832"
"MV";"1424"
"ML";"66560"
"MT";"9967"
"MQ";"8858"
"MR";"14375"
"MU";"13877"
"YT";"789"
"MX";"928039"
"FM";"3521"
"FM";"910"
"MN";"15182"
"ME";"10837"
"MA";"254554"
"MZ";"88703"
"MM";"387440"
"NA";"10961"
"NP";"151346"
"NL";"443919"
"NC";"2189"
"NZ";"92544"
"NI";"35275"
"NE";"42341"
"NG";"529481"
"NO";"157811"
"OM";"9054"
"PK";"979731"
"PA";"29627"
"PG";"28352"
"PY";"43800"
"PE";"216609"
"PH";"442781"
"PL";"873593"
"PT";"330032"
"PR";"81418"
"QA";"1191"
"KR";"605441"
"MD";"75214"
"RE";"9359"
"RO";"565482"
"RU";"2898409"
"RW";"62226"
"LC";"2484"
"VC";"1483"
"WS";"1464"
"ST";"1211"
"SA";"117750"
"SN";"51194"
"RS";"225801"
"SC";"1155"
"SL";"14801"
"SG";"45027"
"SK";"131247"
"SI";"53308"
"SB";"1941"
"SO";"40482"
"ZA";"299080"
"SS";"30365"
"ES";"1298305"
"LK";"212066"
"PS";"11735"
"SD";"140489"
"SR";"4286"
"SZ";"5312"
"SE";"343861"
"CH";"220797"
"SY";"96262"
"TJ";"34176"
"MK";"34246"
"TH";"651947"
"TL";"2681"
"TG";"23211"
"TO";"956"
"TT";"15405"
"TN";"116796"
"TR";"586391"
"TM";"29430"
"UG";"104045"
"UA";"1240892"
"AE";"5990"
"GB";"1984647"
"TZ";"158157"
"US";"7276685"
"VI";"1614"
"UY";"82781"
"UZ";"166597"
"VU";"1115"
"VE";"173543"
"VN";"950323"
"EH";"1364"
"YE";"93484"
"ZM";"46565"
"ZW";"67216"
