;populacao_7
"AF";"5358038"
"AL";"116101"
"DZ";"3881768"
"AO";"9660356"
"AG";"7307"
"AR";"3489053"
"AM";"134764"
"AW";"5518"
"AU";"1908914"
"AT";"394839"
"AZ";"639698"
"BS";"25179"
"BH";"102477"
"BD";"11359692"
"BB";"16093"
"BY";"483505"
"BE";"671731"
"BZ";"41517"
"BJ";"2726567"
"BT";"53936"
"BO";"1179569"
"BA";"128346"
"BW";"242489"
"BR";"11293550"
"BN";"28023"
"BG";"262267"
"BF";"5064489"
"BI";"3191323"
"CV";"45895"
"KH";"1599897"
"CM";"5477276"
"CA";"2246778"
"CF";"933237"
"TD";"4008232"
"CL";"1036989"
"CN";"63805650"
"HK";"334484"
"MO";"40604"
"TW";"851298"
"CO";"2847306"
"KM";"147985"
"CG";"1316750"
"CR";"283884"
"CI";"6156106"
"HR";"153216"
"CU";"488066"
"CW";"9969"
"CY";"62260"
"CZ";"501784"
"KP";"1456632"
"CD";"23736960"
"DK";"333093"
"DJ";"89466"
"DO";"856169"
"EC";"1489058"
"EG";"13109588"
"SV";"407798"
"GQ";"281599"
"ER";"958876"
"EE";"58089"
"ET";"16838593"
"FJ";"69422"
"FI";"310213"
"FR";"3912101"
"GF";"45608"
"PF";"17809"
"GA";"318317"
"GM";"506929"
"GE";"197519"
"DE";"3391504"
"GH";"5097586"
"GR";"406512"
"GD";"6429"
"GP";"21077"
"GU";"11466"
"GT";"2019512"
"GN";"2942403"
"GW";"383492"
"GY";"56635"
"HT";"1052144"
"HN";"847752"
"HU";"371718"
"IS";"20677"
"IN";"103267135"
"ID";"21265454"
"IR";"4748660"
"IQ";"8918084"
"IE";"345372"
"IL";"959587"
"IT";"2411076"
"JM";"137696"
"JP";"4548323"
"JO";"1133785"
"KZ";"1739555"
"KE";"9128428"
"KI";"17135"
"KW";"325091"
"KG";"658237"
"LA";"609151"
"LV";"77693"
"LB";"240701"
"LS";"283793"
"LR";"1069262"
"LY";"495165"
"LT";"122209"
"LU";"42622"
"MG";"5759452"
"MW";"4529058"
"MY";"2336661"
"MV";"28733"
"ML";"5400881"
"MT";"18259"
"MQ";"17716"
"MR";"957298"
"MU";"55463"
"YT";"44664"
"MX";"9191264"
"FM";"48788"
"FM";"9720"
"MN";"307538"
"ME";"28266"
"MA";"2832940"
"MZ";"8015786"
"MM";"3907926"
"NA";"388026"
"NP";"2063399"
"NL";"861139"
"NC";"22235"
"NZ";"314178"
"NI";"452232"
"NE";"10054403"
"NG";"49046290"
"NO";"369350"
"OM";"337018"
"PK";"25592475"
"PA";"380919"
"PG";"1276605"
"PY";"602962"
"PE";"2565232"
"PH";"12031117"
"PL";"1328715"
"PT";"348494"
"PR";"137396"
"QA";"144387"
"KR";"1898227"
"MD";"138860"
"RE";"57112"
"RO";"771104"
"RU";"7917609"
"RW";"1985197"
"LC";"7542"
"VC";"5901"
"WS";"22666"
"ST";"40786"
"SA";"2533804"
"SN";"3796013"
"RS";"362259"
"SC";"5883"
"SL";"1270748"
"SG";"238208"
"SK";"228835"
"SI";"94094"
"SB";"97032"
"SO";"4616656"
"ZA";"5188854"
"SS";"2740786"
"ES";"1903231"
"LK";"1179132"
"PS";"929072"
"SD";"8492520"
"SR";"41293"
"SZ";"180015"
"SE";"654197"
"CH";"461168"
"SY";"2472778"
"TJ";"1310236"
"MK";"90860"
"TH";"2806782"
"TL";"268442"
"TG";"1653716"
"TO";"12740"
"TT";"70143"
"TN";"835701"
"TR";"5332282"
"TM";"617056"
"UG";"12859201"
"UA";"1880344"
"AE";"530906"
"GB";"4121344"
"TZ";"16706688"
"US";"22341197"
"VI";"4689"
"UY";"201659"
"UZ";"2645754"
"VU";"42260"
"VE";"2624417"
"VN";"6524881"
"EH";"64811"
"YE";"4119519"
"ZM";"4994797"
"ZW";"2802034"
