;redes_31
"AF";"1.84"
"AL";"23.86"
"DZ";"10.18"
"AS";"99999999999998"
"AD";"70.04"
"AO";"1.90"
"AI";"44.00"
"AG";"38.00"
"AR";"28.11"
"AM";"6.21"
"AW";"52.00"
"AU";"71.67"
"AT";"72.87"
"AZ";"17.08"
"BS";"31.54"
"BH";"51.95"
"BD";"2.50"
"BB";"61.40"
"BY";"23.00"
"BE";"66.00"
"BZ";"26.30"
"BJ";"1.85"
"BM";"82.30"
"BT";"6.55"
"BO";"12.50"
"BA";"34.66"
"BW";"6.25"
"BR";"33.83"
"VG";"99999999999998"
"BN";"46.00"
"BG";"39.67"
"BF";"0.92"
"BI";"0.81"
"KH";"0.51"
"CM";"3.40"
"CA";"76.70"
"CV";"14.00"
"KY";"61.00"
"CF";"1.00"
"TD";"1.19"
"CL";"37.30"
"CN";"22.60"
"CO";"25.60"
"KM";"3.00"
"CD";"0.44"
"CG";"4.29"
"CK";"25.41"
"CR";"32.29"
"CI";"1.90"
"HR";"44.24"
"CU";"12.94"
"CY";"42.31"
"CZ";"62.97"
"KP";"0.00"
"DK";"85.02"
"DJ";"2.26"
"DM";"41.16"
"DO";"20.82"
"EC";"18.80"
"EG";"18.01"
"SV";"10.08"
"GQ";"1.82"
"ER";"0.47"
"EE";"70.58"
"ET";"0.45"
"FK";"92.96"
"FO";"75.57"
"FJ";"13.00"
"FI";"83.67"
"FR";"70.68"
"GF";"24.53"
"PF";"33.87"
"GA";"7.50"
"GM";"6.88"
"GE";"10.01"
"DE";"78.00"
"GH";"4.27"
"GI";"58.00"
"GR";"38.20"
"GL";"62.82"
"GD";"23.18"
"GP";"22.22"
"GU";"48.42"
"GT";"8.30"
"GG";"99999999999998"
"GN";"0.92"
"GW";"2.35"
"GY";"18.20"
"HT";"7.60"
"HN";"9.60"
"HK";"66.70"
"HU";"61.00"
"IS";"91.00"
"IN";"4.38"
"ID";"7.92"
"IR";"12.02"
"IQ";"1.00"
"IE";"65.34"
"IL";"59.39"
"IT";"44.53"
"JM";"23.60"
"JP";"75.40"
"JE";"99999999999998"
"JO";"23.00"
"KZ";"11.00"
"KE";"5.20"
"KI";"7.00"
"KR";"81.00"
"KW";"42.00"
"KG";"15.70"
"LA";"3.55"
"LV";"63.41"
"LB";"22.53"
"LS";"3.58"
"LR";"0.53"
"LY";"9.00"
"LI";"70.00"
"LT";"55.22"
"LU";"82.23"
"MO";"49.24"
"MG";"1.65"
"MW";"0.70"
"MY";"55.80"
"MV";"23.20"
"ML";"1.57"
"MT";"50.08"
"MH";"4.60"
"MQ";"39.67"
"MR";"1.87"
"MU";"21.81"
"YT";"99999999999998"
"MX";"21.71"
"FM";"14.49"
"MD";"23.39"
"MC";"67.25"
"MN";"9.80"
"ME";"32.90"
"MS";"20.32"
"MA";"33.10"
"MZ";"1.56"
"MM";"0.22"
"NA";"5.33"
"NR";"99999999999998"
"NP";"1.73"
"AN";"99999999999998"
"NL";"87.42"
"NC";"34.51"
"NZ";"72.03"
"NI";"5.30"
"NE";"0.70"
"NG";"8.00"
"NU";"65.92"
"MP";"99999999999998"
"NO";"90.57"
"OM";"20.00"
"PK";"7.00"
"PS";"24.36"
"PA";"33.82"
"PG";"1.15"
"PY";"14.27"
"PE";"30.57"
"PH";"6.22"
"PL";"53.13"
"PT";"44.13"
"PR";"38.00"
"QA";"44.30"
"RE";"34.29"
"RO";"32.42"
"RU";"26.83"
"RW";"4.50"
"ST";"15.48"
"WS";"5.03"
"SM";"54.52"
"SA";"36.00"
"SN";"7.12"
"RS";"35.60"
"SC";"40.44"
"SL";"0.25"
"SG";"69.00"
"SK";"66.05"
"SI";"58.00"
"SB";"3.00"
"SO";"1.14"
"ZA";"8.43"
"ES";"59.60"
"LK";"5.80"
"SH";"18.82"
"KN";"49.20"
"LC";"30.00"
"PM";"99999999999998"
"VC";"21.00"
"SD";"99999999999998"
"SR";"21.06"
"SZ";"6.85"
"SE";"90.00"
"CH";"79.20"
"SY";"14.00"
"TW";"65.84"
"TJ";"8.78"
"TZ";"1.90"
"MK";"46.04"
"TH";"18.20"
"TL";"1.50"
"TG";"2.40"
"TK";"99999999999998"
"TO";"8.11"
"TT";"34.80"
"TN";"27.53"
"TR";"34.37"
"TM";"1.75"
"TC";"99999999999998"
"TV";"15.00"
"UG";"7.90"
"UA";"11.00"
"AE";"63.00"
"GB";"78.39"
"US";"74.00"
"UY";"39.30"
"UZ";"9.08"
"VU";"7.27"
"VE";"25.88"
"VN";"23.92"
"VI";"27.36"
"WF";"8.22"
"YE";"6.89"
"ZM";"5.55"
"ZW";"3.50"
