;redes_29
"AF";"9.73"
"AL";"62.53"
"DZ";"62.16"
"AS";"99999999999998"
"AD";"85.20"
"AO";"15.08"
"AI";"132.91"
"AG";"122.01"
"AR";"79.65"
"AM";"42.58"
"AW";"108.13"
"AU";"96.05"
"AT";"112.03"
"AZ";"38.51"
"BS";"75.33"
"BH";"94.68"
"BD";"13.16"
"BB";"86.21"
"BY";"62.25"
"BE";"92.73"
"BZ";"40.59"
"BJ";"12.85"
"BM";"92.37"
"BT";"12.21"
"BO";"30.98"
"BA";"49.95"
"BW";"43.68"
"BR";"52.86"
"VG";"99999999999998"
"BN";"81.40"
"BG";"108.24"
"BF";"7.35"
"BI";"2.61"
"KH";"12.78"
"CM";"17.52"
"CA";"57.43"
"CV";"22.64"
"KY";"185.00"
"CF";"2.62"
"TD";"4.47"
"CL";"76.29"
"CN";"34.69"
"CO";"67.90"
"KM";"5.89"
"CD";"7.81"
"CG";"23.88"
"CK";"27.43"
"CR";"33.51"
"CI";"21.74"
"HR";"100.56"
"CU";"1.35"
"CY";"82.78"
"CZ";"120.47"
"KP";"0.00"
"DK";"107.05"
"DJ";"5.63"
"DM";"100.98"
"DO";"49.15"
"EC";"60.75"
"EG";"23.03"
"SV";"63.59"
"GQ";"15.15"
"ER";"1.52"
"EE";"122.93"
"ET";"1.10"
"FK";"77.92"
"FO";"103.27"
"FJ";"34.40"
"FI";"107.44"
"FR";"83.88"
"GF";"99999999999998"
"PF";"58.95"
"GA";"62.15"
"GM";"27.12"
"GE";"38.39"
"DE";"105.04"
"GH";"23.55"
"GI";"68.12"
"GR";"96.83"
"GL";"94.61"
"GD";"44.74"
"GP";"99999999999998"
"GU";"99999999999998"
"GT";"53.58"
"GG";"99999999999998"
"GN";"99999999999998"
"GW";"11.14"
"GY";"53.36"
"HT";"12.75"
"HN";"29.71"
"HK";"137.66"
"HU";"99.10"
"IS";"100.73"
"IN";"14.29"
"ID";"27.76"
"IR";"21.60"
"IQ";"33.74"
"IE";"108.99"
"IL";"124.40"
"IT";"136.12"
"JM";"82.41"
"JP";"77.73"
"JE";"99999999999998"
"JO";"73.19"
"KZ";"49.56"
"KE";"19.81"
"KI";"0.74"
"KR";"82.21"
"KW";"49.62"
"KG";"24.61"
"LA";"17.26"
"LV";"98.13"
"LB";"27.27"
"LS";"18.21"
"LR";"8.29"
"LY";"66.78"
"LI";"81.93"
"LT";"142.82"
"LU";"153.15"
"MO";"128.99"
"MG";"5.54"
"MW";"4.62"
"MY";"74.45"
"MV";"82.80"
"ML";"11.44"
"MT";"84.88"
"MH";"99999999999998"
"MQ";"99999999999998"
"MR";"32.92"
"MU";"62.89"
"YT";"99999999999998"
"MX";"50.32"
"FM";"17.61"
"MD";"32.77"
"MC";"53.21"
"MN";"30.29"
"ME";"104.18"
"MS";"89.15"
"MA";"51.85"
"MZ";"10.86"
"MM";"0.44"
"NA";"29.62"
"NR";"99999999999998"
"NP";"4.46"
"AN";"99999999999998"
"NL";"105.21"
"NC";"65.56"
"NZ";"90.84"
"NI";"33.58"
"NE";"3.42"
"NG";"22.66"
"NU";"99999999999998"
"MP";"99999999999998"
"NO";"104.19"
"OM";"70.38"
"PK";"21.97"
"PS";"22.46"
"PA";"64.11"
"PG";"1.55"
"PY";"54.95"
"PE";"32.63"
"PH";"48.82"
"PL";"95.84"
"PT";"115.34"
"PR";"58.56"
"QA";"91.03"
"RE";"99999999999998"
"RO";"75.27"
"RU";"105.13"
"RW";"3.41"
"ST";"11.56"
"WS";"25.13"
"SM";"58.72"
"SA";"80.15"
"SN";"25.81"
"RS";"89.38"
"SC";"78.45"
"SL";"99999999999998"
"SG";"103.83"
"SK";"90.64"
"SI";"90.81"
"SB";"1.45"
"SO";"5.13"
"ZA";"80.35"
"SS";"99999999999998"
"ES";"102.17"
"LK";"27.52"
"SH";"0.00"
"KN";"103.64"
"LC";"63.84"
"PM";"99999999999998"
"VC";"80.47"
"SD";"14.82"
"SR";"63.45"
"SZ";"22.31"
"SE";"105.61"
"CH";"99.40"
"SY";"24.72"
"TW";"102.30"
"TJ";"30.71"
"TZ";"13.80"
"MK";"61.26"
"TH";"60.96"
"TL";"4.68"
"TG";"12.13"
"TK";"99999999999998"
"TO";"29.55"
"TT";"116.55"
"TN";"71.98"
"TR";"76.59"
"TM";"4.51"
"TC";"99999999999998"
"TV";"15.78"
"UG";"6.80"
"UA";"105.28"
"AE";"105.29"
"GB";"115.25"
"US";"77.09"
"UY";"69.95"
"UZ";"9.41"
"VU";"6.99"
"VE";"68.98"
"VN";"22.20"
"VI";"99999999999998"
"WF";"0.00"
"YE";"14.07"
"ZM";"13.43"
"ZW";"6.47"
