;redes_29
"AF";"35.47"
"AL";"91.56"
"DZ";"90.76"
"AS";"99999999999998"
"AD";"77.56"
"AO";"40.24"
"AI";"186.61"
"AG";"177.44"
"AR";"138.47"
"AM";"134.34"
"AW";"129.64"
"AU";"101.72"
"AT";"145.55"
"AZ";"100.75"
"BS";"118.72"
"BH";"126.28"
"BD";"44.64"
"BB";"125.21"
"BY";"109.08"
"BE";"111.11"
"BZ";"60.38"
"BJ";"76.91"
"BM";"137.91"
"BT";"54.19"
"BO";"72.38"
"BA";"83.56"
"BW";"117.30"
"BR";"100.07"
"VG";"174.57"
"BN";"111.95"
"BG";"137.75"
"BF";"36.58"
"BI";"19.14"
"KH";"56.96"
"CM";"43.25"
"CA";"75.58"
"CV";"74.02"
"KY";"181.18"
"CF";"22.01"
"TD";"24.19"
"CL";"116.82"
"CN";"63.17"
"CO";"96.86"
"KM";"23.96"
"CD";"18.32"
"CG";"84.77"
"CK";"42.07"
"CR";"68.83"
"CI";"76.46"
"HR";"113.87"
"CU";"8.85"
"CY";"124.93"
"CZ";"122.76"
"KP";"1.76"
"DK";"115.59"
"DJ";"19.46"
"DM";"147.77"
"DO";"89.84"
"EC";"98.97"
"EG";"84.01"
"SV";"124.91"
"GQ";"41.98"
"ER";"4.22"
"EE";"124.08"
"ET";"7.82"
"FK";"114.10"
"FO";"122.44"
"FJ";"81.16"
"FI";"156.36"
"FR";"91.68"
"GF";"99999999999998"
"PF";"80.61"
"GA";"98.16"
"GM";"87.37"
"GE";"94.01"
"DE";"109.28"
"GH";"71.14"
"GI";"90.39"
"GR";"107.40"
"GL";"101.26"
"GD";"116.50"
"GP";"99999999999998"
"GU";"99999999999998"
"GT";"123.50"
"GG";"99999999999998"
"GN";"37.06"
"GW";"43.54"
"GY";"75.06"
"HT";"40.00"
"HN";"115.99"
"HK";"196.35"
"HU";"120.99"
"IS";"106.48"
"IN";"61.10"
"ID";"87.12"
"IR";"72.49"
"IQ";"75.63"
"IE";"101.61"
"IL";"122.69"
"IT";"156.82"
"JM";"112.95"
"JP";"95.90"
"JE";"99999999999998"
"JO";"92.17"
"KZ";"118.32"
"KE";"60.38"
"KI";"10.32"
"KR";"102.45"
"KW";"132.72"
"KG";"97.29"
"LA";"64.09"
"LV";"108.84"
"LB";"66.03"
"LS";"48.39"
"LR";"39.80"
"LY";"176.69"
"LI";"98.60"
"LT";"156.57"
"LU";"143.14"
"MO";"209.00"
"MG";"36.46"
"MW";"20.55"
"MY";"120.44"
"MV";"135.62"
"ML";"49.36"
"MT";"109.49"
"MH";"99999999999998"
"MQ";"99999999999998"
"MR";"76.91"
"MU";"95.43"
"YT";"99999999999998"
"MX";"77.89"
"FM";"26.56"
"MD";"62.45"
"MC";"63.12"
"MN";"92.55"
"ME";"187.41"
"MS";"84.95"
"MA";"98.68"
"MZ";"29.83"
"MM";"1.18"
"NA";"89.73"
"NR";"61.85"
"NP";"34.03"
"AN";"99999999999998"
"NL";"114.96"
"NC";"87.96"
"NZ";"107.78"
"NI";"69.06"
"NE";"22.33"
"NG";"55.05"
"NU";"99999999999998"
"MP";"99999999999998"
"NO";"114.60"
"OM";"151.44"
"PK";"58.15"
"PS";"64.02"
"PA";"182.43"
"PG";"26.86"
"PY";"95.35"
"PE";"99.12"
"PH";"88.72"
"PL";"122.52"
"PT";"114.63"
"PR";"78.94"
"QA";"122.86"
"RE";"99999999999998"
"RO";"119.18"
"RU";"166.04"
"RW";"34.63"
"ST";"58.78"
"WS";"48.33"
"SM";"98.32"
"SA";"188.01"
"SN";"64.60"
"RS";"136.02"
"SC";"128.64"
"SL";"30.97"
"SG";"145.53"
"SK";"109.64"
"SI";"103.75"
"SB";"21.88"
"SO";"5.38"
"ZA";"97.65"
"SS";"14.90"
"ES";"109.83"
"LK";"85.94"
"SH";"0.00"
"KN";"155.51"
"LC";"114.85"
"PM";"99999999999998"
"VC";"120.56"
"SD";"52.62"
"SR";"99.06"
"SZ";"60.34"
"SE";"117.06"
"CH";"123.14"
"SY";"55.65"
"TW";"120.50"
"TJ";"77.74"
"TZ";"45.52"
"MK";"103.99"
"TH";"106.72"
"TL";"42.63"
"TG";"40.02"
"TK";"99999999999998"
"TO";"52.14"
"TT";"142.63"
"TN";"104.46"
"TR";"85.40"
"TM";"62.86"
"TC";"99999999999998"
"TV";"15.19"
"UG";"37.82"
"UA";"117.77"
"AE";"132.11"
"GB";"121.20"
"US";"92.38"
"UY";"131.49"
"UZ";"73.24"
"VU";"71.92"
"VE";"96.05"
"VN";"126.11"
"VI";"99999999999998"
"WF";"99999999999998"
"YE";"46.96"
"ZM";"39.33"
"ZW";"54.66"
