;populacao_6
"BN";"101.2"
"KH";"132.3"
"ID";"178.9"
"LA";"40.3"
"MY";"133.0"
"MM";"93.7"
"PH";"557.8"
"SG";"8.945.5"
"TH";"113.9"
"TL";"206.3"
"VN";"370.4"
"AM";"84.1"
"AZ";"128.5"
"BH";"3.206.5"
"CY";"151.2"
"GE";"43.7"
"IQ";"251.9"
"IL";"674.8"
"JO";"181.3"
"KW";"333.3"
"LB";"512.9"
"OM";"23.0"
"QA";"347.4"
"SA";"21.5"
"PS";"2.025.2"
"SY";"205.6"
"TR";"123.9"
"AE";"170.6"
"YE";"102.3"
"BY";"39.8"
"BG";"42.8"
"CZ";"122.6"
"HU";"82.3"
"PL";"91.1"
"MD";"82.7"
"RO";"62.8"
"RU";"7.8"
"SK";"93.4"
"UA";"55.9"
"DK";"154.2"
"EE";"24.4"
"FO";"40.4"
"FI";"19.8"
"IS";"3.9"
"IE";"87.6"
"IM";"177.0"
"LV";"21.5"
"LT";"34.7"
"NO";"20.3"
"SE";"30.1"
"GB";"322.3"
"AL";"84.3"
"AD";"148.2"
"BA";"53.4"
"HR";"54.7"
"GI";"3.728.5"
"GR";"68.2"
"VA";"1.847.7"
"IT";"173.0"
"MT";"1.242.3"
"ME";"40.2"
"PT";"86.3"
"SM";"558.9"
"RS";"76.1"
"SI";"89.0"
"ES";"80.8"
"MK";"69.4"
"AT";"104.0"
"BE";"418.5"
"FR";"131.1"
"DE";"216.5"
"LI";"275.0"
"LU";"341.2"
"MC";"33.947.0"
"NL";"507.3"
"CH";"257.3"
"AI";"161.8"
"AG";"289.1"
"AW";"573.3"
"BS";"48.3"
"BB";"625.9"
"VG";"248.9"
"KY";"368.6"
"CU";"90.5"
"CW";"419.3"
"DM";"95.0"
"DO";"277.0"
"GD";"288.2"
"GP";"230.4"
"HT";"516.2"
"JM";"212.2"
"MQ";"301.0"
"MS";"51.4"
"PR";"320.7"
"KN";"236.8"
"LC";"272.5"
"VC";"256.2"
"SX";"1.659.6"
"TT";"227.8"
"TC";"53.1"
"VI";"217.3"
"BZ";"28.9"
"CR";"111.4"
"SV";"325.1"
"GT";"285.5"
"HN";"126.1"
"MX";"85.9"
"NI";"66.5"
"PA";"85.1"
"AR";"21.2"
"BO";"16.1"
"BR";"26.8"
"CL";"27.6"
"CO";"47.3"
"EC";"99.0"
"FK";"0.2"
"GF";"8.3"
"GY";"3.9"
"PY";"23.2"
"PE";"33.7"
"SR";"4.1"
"UY";"20.5"
"VE";"49.1"
"BM";"963.8"
"CA";"5.3"
"GL";"0.1"
"PM";"32.3"
"US";"45.5"
"AU";"4.8"
"NZ";"22.7"
"FJ";"52.9"
"NC";"22.6"
"PG";"36.3"
"SB";"44.2"
"VU";"46.7"
"FM";"216.2"
"GU";"356.8"
"KI";"255.7"
"MH";"390.8"
"FM";"185.1"
"NR";"533.0"
"MP";"100.3"
"PW";"62.9"
"AS";"265.1"
"CK";"73.3"
"PF";"88.0"
"NU";"7.1"
"WS";"92.1"
"TK";"162.0"
"TO";"210.2"
"TV";"539.2"
"WF";"74.7"
"BI";"1.648.9"
"KM";"1.152.5"
"DJ";"70.9"
"ER";"142.5"
"ET";"272.9"
"KE";"251.1"
"MG";"147.7"
"MW";"713.3"
"MU";"687.7"
"YT";"1.954.6"
"MZ";"139.8"
"RE";"490.9"
"RW";"1.259.9"
"SC";"243.4"
"SO";"96.3"
"SS";"63.8"
"UG";"878.0"
"TZ";"263.9"
"ZM";"93.8"
"ZW";"112.5"
"AO";"103.4"
"CM";"165.7"
"CF";"21.6"
"TD";"42.1"
"CG";"55.4"
"CD";"141.0"
"GQ";"156.8"
"GA";"19.6"
"ST";"595.0"
"DZ";"31.1"
"EG";"216.5"
"LY";"5.6"
"MA";"128.0"
"SD";"69.4"
"TN";"109.7"
"EH";"5.1"
"BW";"8.0"
"LS";"150.2"
"NA";"7.7"
"ZA";"78.5"
"SZ";"170.1"
"BJ";"335.5"
"BF";"253.2"
"CV";"237.3"
"CI";"263.3"
"GM";"677.9"
"GH";"330.7"
"GN";"172.4"
"GW";"194.8"
"LR";"161.6"
"ML";"58.3"
"MR";"13.3"
"NE";"99.9"
"NG";"718.9"
"SH";"12.6"
"SN";"279.8"
"SL";"256.2"
"TG";"431.7"
"CN";"158.9"
"HK";"9.358.0"
"MO";"37.601.7"
"TW";"695.4"
"KP";"264.6"
"JP";"320.5"
"MN";"3.4"
"KR";"561.0"
"KZ";"11.0"
"KG";"55.7"
"TJ";"146.5"
"TM";"21.9"
"UZ";"120.5"
"AF";"130.6"
"BD";"1.933.2"
"BT";"31.9"
"IN";"697.4"
"IR";"66.7"
"MV";"2.314.0"
"NP";"316.0"
"PK";"538.7"
"LK";"377.5"
"BN";"123.0"
"KH";"162.2"
"ID";"222.5"
"LA";"50.6"
"MY";"161.6"
"MM";"117.0"
"PH";"685.5"
"SG";"10.576.7"
"TH";"140.7"
"TL";"245.9"
"VN";"450.3"
"AM";"105.0"
"AZ";"159.8"
"BH";"3.778.7"
"CY";"181.4"
"GE";"54.8"
"IQ";"301.5"
"IL";"795.5"
"JO";"219.3"
"KW";"400.6"
"LB";"639.1"
"OM";"26.9"
"QA";"396.5"
"SA";"25.7"
"PS";"2.427.8"
"SY";"248.3"
"TR";"151.5"
"AE";"197.4"
"YE";"124.3"
"BY";"48.8"
"BG";"52.8"
"CZ";"147.5"
"HU";"101.0"
"PL";"112.1"
"MD";"105.0"
"RO";"77.5"
"RU";"9.5"
"SK";"114.3"
"UA";"69.3"
"DK";"184.8"
"EE";"29.8"
"FO";"48.5"
"FI";"23.6"
"IS";"4.7"
"IE";"104.3"
"IM";"210.5"
"LV";"26.6"
"LT";"42.9"
"NO";"24.0"
"SE";"35.8"
"GB";"385.1"
"AL";"105.0"
"AD";"176.0"
"BA";"65.7"
"HR";"67.0"
"GI";"4.461.1"
"GR";"82.2"
"VA";"2.070.5"
"IT";"206.3"
"MT";"1.497.9"
"ME";"49.4"
"PT";"104.3"
"SM";"664.8"
"RS";"94.4"
"SI";"106.9"
"ES";"96.5"
"MK";"85.7"
"AT";"124.4"
"BE";"499.8"
"FR";"157.0"
"DE";"259.1"
"LI";"326.5"
"LU";"402.3"
"MC";"39.333.6"
"NL";"610.4"
"CH";"304.5"
"AI";"200.8"
"AG";"356.2"
"AW";"702.0"
"BS";"58.6"
"BB";"766.9"
"VG";"300.5"
"KY";"439.2"
"CU";"110.4"
"CW";"502.2"
"DM";"117.9"
"DO";"347.5"
"GD";"367.8"
"GP";"282.6"
"HT";"641.8"
"JM";"271.8"
"MQ";"368.9"
"MS";"63.4"
"PR";"400.9"
"KN";"292.8"
"LC";"339.0"
"VC";"324.6"
"SX";"1.999.5"
"TT";"285.3"
"TC";"64.2"
"VI";"274.5"
"BZ";"35.6"
"CR";"136.0"
"SV";"413.6"
"GT";"348.1"
"HN";"155.3"
"MX";"105.8"
"NI";"82.4"
"PA";"103.7"
"AR";"25.9"
"BO";"19.7"
"BR";"33.1"
"CL";"33.6"
"CO";"58.6"
"EC";"121.2"
"FK";"0.3"
"GF";"9.7"
"GY";"5.0"
"PY";"28.8"
"PE";"41.2"
"SR";"5.1"
"UY";"25.2"
"VE";"60.9"
"BM";"1.177.4"
"CA";"6.2"
"GL";"0.2"
"PM";"39.1"
"US";"54.6"
"AU";"5.7"
"NZ";"27.1"
"FJ";"66.7"
"NC";"26.9"
"PG";"43.6"
"SB";"53.0"
"VU";"56.1"
"FM";"264.3"
"GU";"437.4"
"KI";"307.2"
"MH";"475.6"
"FM";"230.7"
"NR";"656.9"
"MP";"125.1"
"PW";"76.1"
"AS";"337.3"
"CK";"90.5"
"PF";"107.7"
"NU";"8.6"
"WS";"112.3"
"TK";"199.4"
"TO";"257.0"
"TV";"663.3"
"WF";"92.1"
"BI";"1.197.5"
"KM";"792.0"
"DJ";"47.3"
"ER";"97.5"
"ET";"185.1"
"KE";"170.5"
"MG";"100.7"
"MW";"491.6"
"MU";"438.3"
"YT";"1.359.2"
"MZ";"100.5"
"RE";"323.8"
"RW";"856.7"
"SC";"155.2"
"SO";"69.5"
"SS";"44.7"
"UG";"620.5"
"TZ";"185.7"
"ZM";"66.8"
"ZW";"74.4"
"AO";"75.0"
"CM";"117.4"
"CF";"15.0"
"TD";"30.4"
"CG";"38.7"
"CD";"101.4"
"GQ";"110.2"
"GA";"13.6"
"ST";"408.2"
"DZ";"21.2"
"EG";"143.2"
"LY";"3.7"
"MA";"85.3"
"SD";"49.5"
"TN";"73.3"
"EH";"3.6"
"BW";"5.3"
"LS";"93.9"
"NA";"5.1"
"ZA";"50.2"
"SZ";"107.1"
"BJ";"237.6"
"BF";"179.4"
"CV";"151.1"
"CI";"184.1"
"GM";"486.3"
"GH";"227.3"
"GN";"120.7"
"GW";"135.1"
"LR";"111.5"
"ML";"41.6"
"MR";"9.5"
"NE";"75.4"
"NG";"519.6"
"SH";"8.3"
"SN";"199.5"
"SL";"170.6"
"TG";"296.4"
"CN";"106.1"
"HK";"6.571.3"
"MO";"27.132.1"
"TW";"471.5"
"KP";"171.7"
"JP";"222.2"
"MN";"2.3"
"KR";"386.9"
"KZ";"7.3"
"KG";"36.1"
"TJ";"97.1"
"TM";"14.1"
"UZ";"77.3"
"AF";"87.5"
"BD";"1.213.9"
"BT";"20.7"
"IN";"447.1"
"IR";"43.6"
"MV";"1.603.1"
"NP";"195.3"
"PK";"358.8"
"LK";"236.8"
"BN";"82.4"
"KH";"103.7"
"ID";"141.8"
"LA";"31.7"
"MY";"108.2"
"MM";"73.8"
"PH";"447.6"
"SG";"7.551.9"
"TH";"91.6"
"TL";"170.7"
"VN";"301.5"
"AM";"66.5"
"AZ";"102.5"
"BH";"2.716.5"
"CY";"125.4"
"GE";"34.3"
"IQ";"208.1"
"IL";"567.0"
"JO";"148.0"
"KW";"274.8"
"LB";"406.6"
"OM";"19.6"
"QA";"304.8"
"SA";"17.8"
"PS";"1.670.1"
"SY";"168.4"
"TR";"100.2"
"AE";"147.7"
"YE";"83.0"
"BY";"32.0"
"BG";"34.2"
"CZ";"100.9"
"HU";"66.4"
"PL";"73.4"
"MD";"64.2"
"RO";"50.3"
"RU";"6.2"
"SK";"75.5"
"UA";"44.5"
"DK";"127.6"
"EE";"19.8"
"FO";"33.4"
"FI";"16.4"
"IS";"3.3"
"IE";"72.9"
"IM";"147.9"
"LV";"17.2"
"LT";"27.7"
"NO";"17.0"
"SE";"25.2"
"GB";"267.7"
"AL";"67.1"
"AD";"124.0"
"BA";"43.0"
"HR";"44.2"
"GI";"3.094.2"
"GR";"56.2"
"VA";"1.640.9"
"IT";"144.1"
"MT";"1.022.4"
"ME";"32.3"
"PT";"70.8"
"SM";"466.6"
"RS";"60.4"
"SI";"73.5"
"ES";"67.2"
"MK";"55.6"
"AT";"86.3"
"BE";"347.6"
"FR";"108.6"
"DE";"179.6"
"LI";"230.2"
"LU";"287.1"
"MC";"29.061.1"
"NL";"418.0"
"CH";"216.0"
"AI";"129.3"
"AG";"232.0"
"AW";"462.6"
"BS";"39.4"
"BB";"504.7"
"VG";"204.3"
"KY";"307.1"
"CU";"73.7"
