;populacao_7
"AF";"338421"
"AL";"71928"
"DZ";"422344"
"AO";"211312"
"AG";"1980"
"AR";"1244455"
"AM";"54512"
"AW";"2156"
"AU";"674311"
"AT";"329779"
"AZ";"117477"
"BS";"5679"
"BH";"7062"
"BD";"2158965"
"BB";"10700"
"BY";"316681"
"BE";"458977"
"BZ";"3409"
"BJ";"101159"
"BT";"9039"
"BO";"138583"
"BA";"97843"
"BW";"18341"
"BR";"3023019"
"BN";"4629"
"BG";"404251"
"BF";"195102"
"BI";"106989"
"CV";"6841"
"KH";"210194"
"CM";"228392"
"CA";"1070798"
"CF";"66528"
"TD";"126786"
"CL";"350440"
"CN";"32949517"
"HK";"196229"
"MO";"9267"
"TW";"486183"
"CO";"631467"
"KM";"7902"
"CG";"46075"
"CR";"56223"
"CI";"160191"
"HR";"184127"
"CU";"340920"
"CW";"5371"
"CY";"26943"
"CZ";"392508"
"KP";"441097"
"CD";"607718"
"DK";"289653"
"DJ";"4675"
"DO";"127971"
"EC";"179368"
"EG";"1267574"
"SV";"107793"
"GQ";"11509"
"ER";"52961"
"EE";"59475"
"ET";"866899"
"FJ";"15811"
"FI";"238252"
"FR";"1963167"
"GF";"1910"
"PF";"3187"
"GA";"28365"
"GM";"14306"
"GE";"171645"
"DE";"3278014"
"GH";"252366"
"GR";"444966"
"GD";"2864"
"GP";"11603"
"GU";"2507"
"GT";"161382"
"GN";"155802"
"GW";"29539"
"GY";"20322"
"HT";"165514"
"HN";"70215"
"HU";"437202"
"IS";"9327"
"IN";"19977447"
"ID";"3666901"
"IR";"927578"
"IQ";"340461"
"IE";"154110"
"IL";"125894"
"IT";"2479998"
"JM";"69641"
"JP";"4943896"
"JO";"46476"
"KZ";"375991"
"KE";"307736"
"KI";"1686"
"KW";"17669"
"KG";"80676"
"LA";"93406"
"LV";"99898"
"LB";"64303"
"LS";"35009"
"LR";"46833"
"LY";"66795"
"LT";"122305"
"LU";"17321"
"MG";"194974"
"MW";"141699"
"MY";"340385"
"MV";"3788"
"ML";"228270"
"MT";"14927"
"MQ";"11748"
"MR";"35658"
"MU";"25004"
"YT";"904"
"MX";"1415888"
"FM";"7745"
"FM";"1860"
"MN";"50773"
"ME";"15636"
"MA";"455926"
"MZ";"292206"
"MM";"1025604"
"NA";"26519"
"NP";"427717"
"NL";"658834"
"NC";"4088"
"NZ";"140931"
"NI";"64861"
"NE";"117001"
"NG";"1878939"
"NO";"246729"
"OM";"21085"
"PK";"2008372"
"PA";"46296"
"PG";"79880"
"PY";"75342"
"PE";"399373"
"PH";"990576"
"PL";"1259441"
"PT";"443390"
"PR";"107097"
"QA";"2908"
"KR";"1073284"
"MD";"141275"
"RE";"14860"
"RO";"788988"
"RU";"5215590"
"RW";"85981"
"LC";"3410"
"VC";"2524"
"WS";"3940"
"ST";"2430"
"SA";"179775"
"SN";"135754"
"RS";"315115"
"SC";"1846"
"SL";"101400"
"SG";"71883"
"SK";"174122"
"SI";"65216"
"SB";"4636"
"SO";"112236"
"ZA";"818412"
"SS";"112166"
"ES";"1710164"
"LK";"436810"
"PS";"24918"
"SD";"294881"
"SR";"9644"
"SZ";"13419"
"SE";"514286"
"CH";"309874"
"SY";"175690"
"TJ";"70753"
"MK";"51571"
"TH";"1077803"
"TL";"20107"
"TG";"67281"
"TO";"2449"
"TT";"34679"
"TN";"162058"
"TR";"966856"
"TM";"57698"
"UG";"274134"
"UA";"1977963"
"AE";"6088"
"GB";"3217600"
"TZ";"382297"
"US";"11564168"
"VI";"2449"
"UY";"144774"
"UZ";"289977"
"VU";"2427"
"VE";"345939"
"VN";"1584459"
"EH";"1959"
"YE";"181462"
"ZM";"118363"
"ZW";"155285"
