;meioambiente_33
"AF";"0,58"
"AL";"0,45"
"DZ";"0,19"
"AS";"0,15"
"AD";"0,55"
"AO";"0,46"
"AI";"99999999999998"
"AG";"0,23"
"AR";"0,47"
"AM";"99999999999998"
"AW";"0,11"
"AU";"0,62"
"AT";"0,41"
"AZ";"99999999999998"
"BS";"0,01"
"BH";"0,10"
"BD";"0,74"
"BB";"0,44"
"BY";"99999999999998"
"BE";"99999999999998"
"BZ";"0,04"
"BJ";"0,14"
"BM";"0,06"
"BT";"0,08"
"BO";"0,28"
"BA";"99999999999998"
"BW";"0,46"
"BR";"0,22"
"VG";"0,53"
"BN";"0,05"
"BG";"0,53"
"BF";"0,30"
"BI";"0,65"
"CV";"0,16"
"KH";"0,20"
"CM";"0,17"
"CA";"0,08"
"KY";"0,11"
"CF";"0,08"
"TD";"0,38"
"CL";"0,20"
"CN";"0,39"
"HK";"0,13"
"MO";"99999999999998"
"CO";"0,39"
"KM";"0,51"
"CG";"0,31"
"CK";"0,25"
"CR";"0,34"
"CI";"0,51"
"HR";"99999999999998"
"CU";"0,44"
"CY";"0,43"
"CZ";"99999999999998"
"KP";"0,20"
"CD";"0,11"
"DK";"0,71"
"DJ";"0,56"
"DM";"0,25"
"DO";"0,47"
"EC";"0,17"
"EG";"0,03"
"SV";"0,59"
"GQ";"0,12"
"ER";"99999999999998"
"EE";"99999999999998"
"ET";"99999999999998"
"FK";"0,99"
"FO";"0,02"
"FJ";"0,12"
"FI";"0,09"
"FR";"0,61"
"GF";"0,00"
"PF";"0,12"
"GA";"0,20"
"GM";"0,52"
"GE";"99999999999998"
"DE";"0,55"
"GH";"0,51"
"GI";"99999999999998"
"GR";"0,71"
"GL";"0,01"
"GD";"0,65"
"GP";"0,36"
"GU";"0,31"
"GT";"0,26"
"GN";"0,59"
"GW";"0,49"
"GY";"0,07"
"HT";"0,62"
"HN";"0,27"
"HU";"0,77"
"IS";"0,21"
"IN";"0,60"
"ID";"0,21"
"IR";"0,37"
"IQ";"0,21"
"IE";"0,82"
"IM";"0,55"
"IL";"0,24"
"IT";"0,69"
"JM";"0,48"
"JP";"0,19"
"JO";"0,12"
"KZ";"99999999999998"
"KE";"0,44"
"KI";"0,47"
"KW";"0,08"
"KG";"99999999999998"
"LA";"0,06"
"LV";"99999999999998"
"LB";"0,60"
"LS";"0,83"
"LR";"0,27"
"LY";"0,07"
"LI";"0,56"
"LT";"99999999999998"
"LU";"99999999999998"
"MG";"0,61"
"MW";"0,39"
"MY";"0,12"
"MV";"0,17"
"ML";"0,26"
"MT";"0,44"
"MH";"99999999999998"
"MQ";"0,36"
"MR";"0,38"
"MU";"0,55"
"YT";"0,43"
"MX";"0,50"
"FM";"0,34"
"MN";"0,91"
"ME";"99999999999998"
"MS";"0,30"
"MA";"0,57"
"MZ";"0,60"
"MM";"0,16"
"NA";"0,47"
"NR";"0,20"
"NP";"0,25"
"NL";"0,66"
"NC";"0,14"
"NZ";"0,60"
"NI";"0,30"
"NE";"0,25"
"NG";"0,64"
"NU";"0,12"
"NF";"0,25"
"MP";"99999999999998"
"NO";"0,03"
"OM";"0,03"
"PK";"0,48"
"PW";"99999999999998"
"PA";"0,23"
"PG";"0,01"
"PY";"0,28"
"PE";"0,14"
"PH";"0,28"
"PN";"99999999999998"
"PL";"0,65"
"PT";"0,43"
"PR";"0,64"
"QA";"0,04"
"KR";"0,24"
"MD";"99999999999998"
"RE";"0,25"
"RO";"0,65"
"RU";"99999999999998"
"RW";"0,56"
"SH";"0,26"
"KN";"0,57"
"LC";"0,31"
"PM";"0,13"
"VC";"0,28"
"WS";"0,22"
"SM";"0,17"
"ST";"0,38"
"SA";"0,40"
"SN";"0,47"
"RS";"99999999999998"
"SC";"0,11"
"SL";"0,37"
"SG";"0,18"
"SK";"99999999999998"
"SI";"99999999999998"
"SB";"0,02"
"SO";"0,70"
"ZA";"0,79"
"SS";"99999999999998"
"ES";"0,64"
"LK";"0,37"
"SD";"99999999999998"
"SR";"0,00"
"SZ";"0,87"
"SE";"0,09"
"CH";"0,43"
"SY";"0,73"
"TJ";"99999999999998"
"TH";"0,27"
"MK";"99999999999998"
"TL";"0,16"
"TG";"0,57"
"TK";"0,40"
"TO";"0,43"
"TT";"0,19"
"TN";"0,55"
"TR";"0,49"
"TM";"99999999999998"
"TC";"0,01"
"TV";"0,67"
"UG";"0,50"
"UA";"99999999999998"
"AE";"0,03"
"GB";"0,80"
"TZ";"0,30"
"US";"0,48"
"VI";"0,43"
"UY";"0,90"
"UZ";"99999999999998"
"VU";"0,09"
"VE";"0,22"
"VN";"0,20"
"WF";"0,29"
"EH";"0,19"
"YE";"0,44"
"ZM";"0,27"
"ZW";"0,30"
