;economia_20
"AF";"51.654"
"AO";"77.784"
"AL";"54.271"
"AE";"82.239"
"AR";"59.718"
"AM";"59.573"
"AU";"65.533"
"AT";"59.958"
"AZ";"64.008"
"BI";"79.324"
"BE";"53.968"
"BJ";"71.044"
"BF";"70.379"
"BD";"56.987"
"BG";"53.408"
"BH";"72.220"
"BS";"75.818"
"BA";"48.213"
"BY";"63.007"
"BZ";"67.179"
"BO";"71.975"
"BR";"65.837"
"BB";"68.006"
"BN";"67.549"
"BT";"69.826"
"BW";"60.273"
"CF";"71.440"
"CA";"66.581"
"TD";"71.912"
"CH";"66.946"
"CL";"60.758"
"CN";"70.973"
"CI";"60.606"
"CM";"75.936"
"CD";"72.403"
"CG";"69.492"
"CO";"68.990"
"KM";"42.129"
"CV";"59.245"
"CR";"60.527"
"CU";"55.465"
"CY";"64.045"
"CZ";"58.349"
"DE";"59.442"
"DJ";"59.330"
"DK";"64.366"
"DO";"63.854"
"DZ";"42.362"
"EC";"65.065"
"EG";"49.306"
"ER";"80.614"
"EH";"55.642"
"ES";"59.284"
"EE";"60.530"
"ET";"83.744"
"FI";"59.841"
"FJ";"56.741"
"FR";"56.282"
"GA";"49.226"
"GB";"61.834"
"GE";"64.848"
"GH";"76.149"
"GN";"64.737"
"GM";"59.266"
"GW";"71.162"
"GQ";"58.847"
"GR";"54.407"
"GT";"62.711"
"GU";"66.816"
"GY";"56.283"
"HK";"59.113"
"HN";"64.328"
"HR";"52.679"
"HT";"65.880"
"HU";"50.501"
"ID";"67.910"
"IN";"55.320"
"IE";"61.156"
"IR";"43.159"
"IQ";"46.844"
"IS";"74.902"
"IL";"63.032"
"IT";"47.970"
"JM";"66.393"
"JO";"41.861"
"JP";"60.077"
"KZ";"70.330"
"KE";"65.930"
"KG";"64.082"
"KH";"85.393"
"KR";"60.763"
"KW";"70.015"
"LA";"78.053"
"LB";"45.725"
"LR";"56.409"
"LY";"53.797"
"LC";"66.909"
"LK";"54.724"
"LS";"67.658"
"LT";"56.963"
"LU";"56.982"
"LV";"58.984"
"MO";"70.808"
"MA";"49.853"
"MD";"42.001"
"MG";"89.052"
"MV";"66.067"
"MX";"61.370"
"MK";"55.628"
"ML";"64.956"
"MT";"50.089"
"MM";"67.377"
"ME";"49.429"
"MN";"59.016"
"MZ";"81.781"
"MR";"49.737"
"MU";"58.204"
"MW";"77.335"
"MY";"60.309"
"NA";"58.949"
"NC";"63.243"
"NE";"79.156"
"NG";"54.961"
"NI";"64.396"
"NL";"64.693"
"NO";"65.699"
"NP";"83.159"
"NZ";"67.205"
"OM";"61.864"
"PK";"51.564"
"PA";"65.854"
"PE";"79.078"
"PH";"62.354"
"PG";"71.627"
"PL";"55.919"
"PR";"44.721"
"KP";"80.848"
"PT";"61.048"
"PY";"68.982"
"PS";"40.871"
"PF";"56.178"
"QA";"86.665"
"RO";"54.966"
"RU";"63.001"
"RW";"86.835"
"SA";"51.070"
"SD";"47.476"
"SN";"55.419"
"SG";"66.924"
"SB";"72.409"
"SL";"61.179"
"SV";"61.305"
"SO";"46.033"
"RS";"50.875"
"SS";"73.218"
"ST";"57.516"
"SR";"53.135"
"SK";"58.786"
"SI";"59.233"
"SE";"63.106"
"SZ";"52.612"
"SY";"43.057"
"TG";"78.635"
"TH";"72.373"
"TJ";"59.082"
"TM";"64.211"
"TL";"41.480"
"TO";"59.885"
"TT";"63.758"
"TN";"46.665"
"TR";"47.699"
"TW";"58.112"
"TZ";"83.121"
"UG";"70.848"
"UA";"54.986"
"UY";"65.485"
"US";"63.585"
"UZ";"64.117"
"VC";"69.240"
"VE";"64.804"
"VI";"63.628"
"VN";"76.921"
"VU";"70.357"
"WS";"32.569"
"YE";"39.527"
"ZA";"52.362"
"ZM";"76.523"
"ZW";"82.620"
