;populacao_7
"AF";"683159"
"AL";"186056"
"DZ";"1698629"
"AO";"583685"
"AG";"6408"
"AR";"1932250"
"AM";"158072"
"AW";"7855"
"AU";"1476128"
"AT";"666344"
"AZ";"543741"
"BS";"22853"
"BH";"57294"
"BD";"6329481"
"BB";"18274"
"BY";"541034"
"BE";"747775"
"BZ";"12758"
"BJ";"251785"
"BT";"27414"
"BO";"357522"
"BA";"228895"
"BW";"66265"
"BR";"10734399"
"BN";"22571"
"BG";"398536"
"BF";"364475"
"BI";"222804"
"CV";"19773"
"KH";"569233"
"CM";"468744"
"CA";"2526674"
"CF";"87929"
"TD";"239454"
"CL";"1058107"
"CN";"98555260"
"HK";"588180"
"MO";"49301"
"TW";"1709625"
"CO";"2566478"
"KM";"18793"
"CG";"130075"
"CR";"279162"
"CI";"480623"
"HR";"252838"
"CU";"938665"
"CW";"11418"
"CY";"71085"
"CZ";"592757"
"KP";"1421039"
"CD";"1692248"
"DK";"378395"
"DJ";"30006"
"DO";"435858"
"EC";"703336"
"EG";"3285443"
"SV";"241114"
"GQ";"22022"
"ER";"92382"
"EE";"74678"
"ET";"2259672"
"FJ";"37117"
"FI";"342598"
"FR";"3993892"
"GF";"12876"
"PF";"15863"
"GA";"55792"
"GM";"40839"
"GE";"220463"
"DE";"6481632"
"GH";"723686"
"GR";"765167"
"GD";"4308"
"GP";"32450"
"GU";"9173"
"GT";"450918"
"GN";"281445"
"GW";"37050"
"GY";"29326"
"HT";"320331"
"HN";"292690"
"HU";"487201"
"IS";"19982"
"IN";"50947610"
"ID";"11160814"
"IR";"3630742"
"IQ";"912030"
"IE";"285115"
"IL";"373203"
"IT";"4499418"
"JM";"137510"
"JP";"7634425"
"JO";"291085"
"KZ";"833409"
"KE";"1052631"
"KI";"4041"
"KW";"187712"
"KG";"240438"
"LA";"200484"
"LV";"112944"
"LB";"261434"
"LS";"36376"
"LR";"107916"
"LY";"241789"
"LT";"180955"
"LU";"39812"
"MG";"600302"
"MW";"314978"
"MY";"1344762"
"MV";"16663"
"ML";"311050"
"MT";"24929"
"MQ";"29676"
"MR";"111730"
"MU";"76917"
"YT";"7129"
"MX";"5357082"
"FM";"25857"
"FM";"2705"
"MN";"122271"
"ME";"36210"
"MA";"1725845"
"MZ";"565408"
"MM";"2155996"
"NA";"62332"
"NP";"956425"
"NL";"1197329"
"NC";"16251"
"NZ";"301797"
"NI";"216181"
"NE";"432265"
"NG";"3774303"
"NO";"334393"
"OM";"125676"
"PK";"5917762"
"PA";"192986"
"PG";"223828"
"PY";"232920"
"PE";"1394171"
"PH";"3609009"
"PL";"1985454"
"PT";"699360"
"PR";"198931"
"QA";"95281"
"KR";"3945870"
"MD";"214851"
"RE";"58981"
"RO";"1031196"
"RU";"7689001"
"RW";"304840"
"LC";"10255"
"VC";"5691"
"WS";"6898"
"ST";"4453"
"SA";"1362266"
"SN";"334063"
"RS";"465577"
"SC";"5587"
"SL";"136506"
"SG";"456782"
"SK";"308152"
"SI";"139134"
"SB";"15754"
"SO";"272210"
"ZA";"1793128"
"SS";"278963"
"ES";"3362750"
"LK";"1104744"
"PS";"126425"
"SD";"998865"
"SR";"27133"
"SZ";"24685"
"SE";"611096"
"CH";"639936"
"SY";"702203"
"TJ";"282736"
"MK";"123536"
"TH";"4712943"
"TL";"29747"
"TG";"168319"
"TO";"3126"
"TT";"72275"
"TN";"612101"
"TR";"3840440"
"TM";"207185"
"UG";"654980"
"UA";"2418962"
"AE";"312921"
"GB";"4354291"
"TZ";"1160834"
"US";"19430378"
"VI";"6697"
"UY";"172196"
"UZ";"1247026"
"VU";"9312"
"VE";"1481524"
"VN";"4879563"
"EH";"21015"
"YE";"543308"
"ZM";"287055"
"ZW";"264442"
