"local","ano","val"
"AFG",1990,"14,785"
"AFG",1991,"14,851"
"AFG",1992,"14,909"
"AFG",1993,"14,917"
"AFG",1994,"14,912"
"AFG",1995,"14,966"
"AFG",1996,"14,804"
"AFG",1997,"14,662"
"AFG",1998,"14,574"
"AFG",1999,"14,532"
"AFG",2000,"14,509"
"AFG",2001,"14,816"
"AFG",2002,"15,177"
"AFG",2003,"15,533"
"AFG",2004,"15,847"
"AFG",2005,"16,111"
"AFG",2006,"15,655"
"AFG",2007,"15,221"
"AFG",2008,"14,877"
"AFG",2009,"14,694"
"AFG",2010,"14,709"
"AFG",2011,"15,258"
"AFG",2012,"15,992"
"AFG",2013,"16,859"
"AFG",2014,"17,786"
"AFG",2015,"18,717"
"AFG",2016,"19,419"
"AFG",2017,"19,473"
"AFG",2018,"19,525"
"AFG",2019,"19,574"
"AFG",2020,"19,62"
"AFG",2021,"19,665"
"AFG",2022,"19,708"
"AFG",2023,"19,746"
"AFG",2024,"19,78"
"AFG",2025,"19,81"
"AFG",2026,"19,839"
"AFG",2027,"19,864"
"AFG",2028,"19,885"
"AFG",2029,"19,902"
"AFG",2030,"19,916"
"AGO",1990,"75,151"
"AGO",1991,"75,106"
"AGO",1992,"74,994"
"AGO",1993,"74,762"
"AGO",1994,"74,691"
"AGO",1995,"74,664"
"AGO",1996,"74,7"
"AGO",1997,"74,724"
"AGO",1998,"74,742"
"AGO",1999,"74,74"
"AGO",2000,"74,732"
"AGO",2001,"74,76"
"AGO",2002,"74,722"
"AGO",2003,"74,735"
"AGO",2004,"74,776"
"AGO",2005,"74,854"
"AGO",2006,"74,986"
"AGO",2007,"75,115"
"AGO",2008,"75,205"
"AGO",2009,"75,245"
"AGO",2010,"75,283"
"AGO",2011,"75,343"
"AGO",2012,"75,393"
"AGO",2013,"75,432"
"AGO",2014,"75,436"
"AGO",2015,"75,402"
"AGO",2016,"75,334"
"AGO",2017,"75,324"
"AGO",2018,"75,307"
"AGO",2019,"75,287"
"AGO",2020,"75,27"
"AGO",2021,"75,251"
"AGO",2022,"75,235"
"AGO",2023,"75,229"
"AGO",2024,"75,24"
"AGO",2025,"75,272"
"AGO",2026,"75,321"
"AGO",2027,"75,389"
"AGO",2028,"75,47"
"AGO",2029,"75,56"
"AGO",2030,"75,654"
"ALB",1990,"53,59"
"ALB",1991,"55,781"
"ALB",1992,"56,097"
"ALB",1993,"55,281"
"ALB",1994,"54,535"
"ALB",1995,"53,502"
"ALB",1996,"52,907"
"ALB",1997,"53,561"
"ALB",1998,"52,978"
"ALB",1999,"52,165"
"ALB",2000,"51,718"
"ALB",2001,"51,095"
"ALB",2002,"50,679"
"ALB",2003,"49,759"
"ALB",2004,"48,878"
"ALB",2005,"48,051"
"ALB",2006,"47,389"
"ALB",2007,"46,803"
"ALB",2008,"46,269"
"ALB",2009,"44,945"
"ALB",2010,"45,693"
"ALB",2011,"47,104"
"ALB",2012,"48,806"
"ALB",2013,"44,65"
"ALB",2014,"44,789"
"ALB",2015,"47,676"
"ALB",2016,"47,439"
"ALB",2017,"47,218"
"ALB",2018,"47,035"
"ALB",2019,"46,869"
"ALB",2020,"46,703"
"ALB",2021,"46,595"
"ALB",2022,"46,501"
"ALB",2023,"46,393"
"ALB",2024,"46,236"
"ALB",2025,"46,008"
"ALB",2026,"45,771"
"ALB",2027,"45,467"
"ALB",2028,"45,113"
"ALB",2029,"44,739"
"ALB",2030,"44,366"
"ARE",1990,"29,18"
"ARE",1991,"29,421"
"ARE",1992,"29,815"
"ARE",1993,"30,214"
"ARE",1994,"30,755"
"ARE",1995,"31,258"
"ARE",1996,"31,557"
"ARE",1997,"31,961"
"ARE",1998,"32,489"
"ARE",1999,"33,101"
"ARE",2000,"33,718"
"ARE",2001,"34,068"
"ARE",2002,"34,619"
"ARE",2003,"35,355"
"ARE",2004,"36,232"
"ARE",2005,"37,173"
"ARE",2006,"38,562"
"ARE",2007,"40,109"
"ARE",2008,"41,776"
"ARE",2009,"42,558"
"ARE",2010,"42,916"
"ARE",2011,"42,668"
"ARE",2012,"42,531"
"ARE",2013,"42,345"
"ARE",2014,"42,077"
"ARE",2015,"41,793"
"ARE",2016,"41,251"
"ARE",2017,"40,907"
"ARE",2018,"40,612"
"ARE",2019,"40,349"
"ARE",2020,"40,091"
"ARE",2021,"39,593"
"ARE",2022,"39,134"
"ARE",2023,"38,735"
"ARE",2024,"38,407"
"ARE",2025,"38,14"
"ARE",2026,"37,714"
"ARE",2027,"37,367"
"ARE",2028,"37,103"
"ARE",2029,"36,915"
"ARE",2030,"36,781"
"ARG",1990,"44,313"
"ARG",1991,"45,03"
"ARG",1992,"45,843"
"ARG",1993,"46,359"
"ARG",1994,"46,907"
"ARG",1995,"46,848"
"ARG",1996,"47,41"
"ARG",1997,"48,188"
"ARG",1998,"48,701"
"ARG",1999,"48,708"
"ARG",2000,"48,91"
"ARG",2001,"48,905"
"ARG",2002,"48,366"
"ARG",2003,"49,205"
"ARG",2004,"50,06"
"ARG",2005,"49,42"
"ARG",2006,"49,938"
"ARG",2007,"49,018"
"ARG",2008,"48,119"
"ARG",2009,"48,823"
"ARG",2010,"46,379"
"ARG",2011,"48,102"
"ARG",2012,"48,188"
"ARG",2013,"47,79"
"ARG",2014,"47,157"
"ARG",2015,"47,453"
"ARG",2016,"47,43"
"ARG",2017,"47,332"
"ARG",2018,"47,223"
"ARG",2019,"47,111"
"ARG",2020,"47,002"
"ARG",2021,"46,906"
"ARG",2022,"46,816"
"ARG",2023,"46,73"
"ARG",2024,"46,641"
"ARG",2025,"46,543"
"ARG",2026,"46,454"
"ARG",2027,"46,361"
"ARG",2028,"46,263"
"ARG",2029,"46,161"
"ARG",2030,"46,052"
"ARM",1990,"48,961"
"ARM",1991,"49,007"
"ARM",1992,"49,003"
"ARM",1993,"48,954"
"ARM",1994,"48,867"
"ARM",1995,"48,746"
"ARM",1996,"48,614"
"ARM",1997,"48,482"
"ARM",1998,"48,345"
"ARM",1999,"48,194"
"ARM",2000,"48,025"
"ARM",2001,"47,891"
"ARM",2002,"47,739"
"ARM",2003,"47,598"
"ARM",2004,"47,515"
"ARM",2005,"47,516"
"ARM",2006,"47,569"
"ARM",2007,"47,702"
"ARM",2008,"47,704"
"ARM",2009,"48,332"
"ARM",2010,"49,62"
"ARM",2011,"52,12"
"ARM",2012,"51,987"
"ARM",2013,"52,646"
"ARM",2014,"51,958"
"ARM",2015,"51,176"
"ARM",2016,"51,211"
"ARM",2017,"51,435"
"ARM",2018,"51,609"
"ARM",2019,"51,731"
"ARM",2020,"51,802"
"ARM",2021,"51,804"
"ARM",2022,"51,758"
"ARM",2023,"51,682"
"ARM",2024,"51,602"
"ARM",2025,"51,53"
"ARM",2026,"51,467"
"ARM",2027,"51,419"
"ARM",2028,"51,386"
"ARM",2029,"51,375"
"ARM",2030,"51,395"
"AUS",1990,"52,32"
"AUS",1991,"52,021"
"AUS",1992,"51,97"
"AUS",1993,"51,752"
"AUS",1994,"52,674"
"AUS",1995,"53,664"
"AUS",1996,"53,852"
"AUS",1997,"53,671"
"AUS",1998,"53,743"
"AUS",1999,"53,749"
"AUS",2000,"54,623"
"AUS",2001,"55,195"
"AUS",2002,"55,402"
"AUS",2003,"56,053"
"AUS",2004,"55,803"
"AUS",2005,"57,05"
"AUS",2006,"57,612"
"AUS",2007,"58,2"
"AUS",2008,"58,665"
"AUS",2009,"58,82"
"AUS",2010,"58,707"
"AUS",2011,"58,953"
"AUS",2012,"58,824"
"AUS",2013,"58,704"
"AUS",2014,"58,645"
"AUS",2015,"59,058"
"AUS",2016,"59,24"
"AUS",2017,"59,21"
"AUS",2018,"59,178"
"AUS",2019,"59,139"
"AUS",2020,"59,09"
"AUS",2021,"59,037"
"AUS",2022,"58,98"
"AUS",2023,"58,921"
"AUS",2024,"58,862"
"AUS",2025,"58,807"
"AUS",2026,"58,784"
"AUS",2027,"58,769"
"AUS",2028,"58,762"
"AUS",2029,"58,76"
"AUS",2030,"58,76"
"AUT",1990,"43,433"
"AUT",1991,"43,787"
"AUT",1992,"44,99"
"AUT",1993,"45,569"
"AUT",1994,"47,956"
"AUT",1995,"48,808"
"AUT",1996,"48,341"
"AUT",1997,"48,298"
"AUT",1998,"48,813"
"AUT",1999,"48,98"
"AUT",2000,"48,944"
"AUT",2001,"48,779"
"AUT",2002,"50,154"
"AUT",2003,"50,185"
"AUT",2004,"49,359"
"AUT",2005,"50,667"
"AUT",2006,"51,242"
"AUT",2007,"52,116"
"AUT",2008,"52,676"
"AUT",2009,"53,373"
"AUT",2010,"53,507"
"AUT",2011,"53,84"
"AUT",2012,"54,336"
"AUT",2013,"54,597"
"AUT",2014,"54,561"
"AUT",2015,"54,536"
"AUT",2016,"54,947"
"AUT",2017,"54,951"
"AUT",2018,"54,915"
"AUT",2019,"54,844"
"AUT",2020,"54,735"
"AUT",2021,"54,586"
"AUT",2022,"54,411"
"AUT",2023,"54,209"
"AUT",2024,"53,986"
"AUT",2025,"53,749"
"AUT",2026,"53,529"
"AUT",2027,"53,305"
"AUT",2028,"53,084"
"AUT",2029,"52,879"
"AUT",2030,"52,698"
"AZE",1990,"52,128"
"AZE",1991,"52,263"
"AZE",1992,"53,179"
"AZE",1993,"54,301"
"AZE",1994,"55,395"
"AZE",1995,"56,149"
"AZE",1996,"56,278"
"AZE",1997,"56,228"
"AZE",1998,"56,027"
"AZE",1999,"55,941"
"AZE",2000,"56,989"
"AZE",2001,"57,888"
"AZE",2002,"58,719"
"AZE",2003,"59,5"
"AZE",2004,"60,266"
"AZE",2005,"61,051"
"AZE",2006,"61,84"
"AZE",2007,"62,678"
"AZE",2008,"62,287"
"AZE",2009,"61,864"
"AZE",2010,"61,376"
"AZE",2011,"60,765"
"AZE",2012,"61,104"
"AZE",2013,"61,323"
"AZE",2014,"61,923"
"AZE",2015,"62,517"
"AZE",2016,"62,963"
"AZE",2017,"62,908"
"AZE",2018,"62,791"
"AZE",2019,"62,625"
"AZE",2020,"62,413"
"AZE",2021,"62,152"
"AZE",2022,"61,848"
"AZE",2023,"61,498"
"AZE",2024,"61,102"
"AZE",2025,"60,664"
"AZE",2026,"60,194"
"AZE",2027,"59,687"
"AZE",2028,"59,181"
"AZE",2029,"58,728"
"AZE",2030,"58,362"
"BDI",1990,"90,784"
"BDI",1991,"90,345"
"BDI",1992,"89,845"
"BDI",1993,"89,283"
"BDI",1994,"88,665"
"BDI",1995,"87,993"
"BDI",1996,"87,262"
"BDI",1997,"86,465"
"BDI",1998,"85,592"
"BDI",1999,"84,979"
"BDI",2000,"84,332"
"BDI",2001,"83,835"
"BDI",2002,"83,35"
"BDI",2003,"82,886"
"BDI",2004,"82,452"
"BDI",2005,"82,053"
"BDI",2006,"81,646"
"BDI",2007,"81,266"
"BDI",2008,"80,917"
"BDI",2009,"80,61"
"BDI",2010,"80,35"
"BDI",2011,"80,112"
"BDI",2012,"79,917"
"BDI",2013,"79,748"
"BDI",2014,"79,574"
"BDI",2015,"79,869"
"BDI",2016,"80,125"
"BDI",2017,"80,214"
"BDI",2018,"80,27"
"BDI",2019,"80,278"
"BDI",2020,"80,233"
"BDI",2021,"80,126"
"BDI",2022,"79,973"
"BDI",2023,"79,788"
"BDI",2024,"79,596"
"BDI",2025,"79,408"
"BDI",2026,"79,218"
"BDI",2027,"79,036"
"BDI",2028,"78,864"
"BDI",2029,"78,707"
"BDI",2030,"78,567"
"BEL",1990,"36,558"
"BEL",1991,"37,947"
"BEL",1992,"38,738"
"BEL",1993,"39,447"
"BEL",1994,"40,054"
"BEL",1995,"40,477"
"BEL",1996,"40,53"
"BEL",1997,"40,966"
"BEL",1998,"41,532"
"BEL",1999,"43,141"
"BEL",2000,"43,57"
"BEL",2001,"41,723"
"BEL",2002,"42,357"
"BEL",2003,"42,679"
"BEL",2004,"43,957"
"BEL",2005,"45,487"
"BEL",2006,"45,622"
"BEL",2007,"46,409"
"BEL",2008,"46,731"
"BEL",2009,"46,747"
"BEL",2010,"47,491"
"BEL",2011,"46,806"
"BEL",2012,"46,89"
"BEL",2013,"47,595"
"BEL",2014,"48,01"
"BEL",2015,"48,024"
"BEL",2016,"47,766"
"BEL",2017,"47,808"
"BEL",2018,"47,839"
"BEL",2019,"47,851"
"BEL",2020,"47,834"
"BEL",2021,"47,771"
"BEL",2022,"47,687"
"BEL",2023,"47,588"
"BEL",2024,"47,487"
"BEL",2025,"47,393"
"BEL",2026,"47,312"
"BEL",2027,"47,247"
"BEL",2028,"47,197"
"BEL",2029,"47,157"
"BEL",2030,"47,122"
"BEN",1990,"57,349"
"BEN",1991,"57,362"
"BEN",1992,"57,366"
"BEN",1993,"58,222"
"BEN",1994,"59,073"
"BEN",1995,"59,918"
"BEN",1996,"60,741"
"BEN",1997,"61,555"
"BEN",1998,"62,357"
"BEN",1999,"63,149"
"BEN",2000,"63,929"
"BEN",2001,"64,69"
"BEN",2002,"65,441"
"BEN",2003,"66,139"
"BEN",2004,"66,769"
"BEN",2005,"67,332"
"BEN",2006,"67,817"
"BEN",2007,"68,241"
"BEN",2008,"68,609"
"BEN",2009,"68,934"
"BEN",2010,"69,224"
"BEN",2011,"68,088"
"BEN",2012,"68,154"
"BEN",2013,"68,248"
"BEN",2014,"68,344"
"BEN",2015,"68,413"
"BEN",2016,"68,497"
"BEN",2017,"68,693"
"BEN",2018,"68,895"
"BEN",2019,"69,098"
"BEN",2020,"69,299"
"BEN",2021,"69,494"
"BEN",2022,"69,69"
"BEN",2023,"69,886"
"BEN",2024,"70,087"
"BEN",2025,"70,292"
"BEN",2026,"70,495"
"BEN",2027,"70,704"
"BEN",2028,"70,919"
"BEN",2029,"71,143"
"BEN",2030,"71,376"
"BFA",1990,"76,218"
"BFA",1991,"76,285"
"BFA",1992,"75,479"
"BFA",1993,"74,65"
"BFA",1994,"73,792"
"BFA",1995,"72,908"
"BFA",1996,"71,988"
"BFA",1997,"71,038"
"BFA",1998,"70,063"
"BFA",1999,"69,06"
"BFA",2000,"68,027"
"BFA",2001,"66,957"
"BFA",2002,"65,862"
"BFA",2003,"64,746"
"BFA",2004,"63,602"
"BFA",2005,"62,435"
"BFA",2006,"61,228"
"BFA",2007,"60,849"
"BFA",2008,"60,47"
"BFA",2009,"60,093"
"BFA",2010,"59,718"
"BFA",2011,"59,341"
"BFA",2012,"58,971"
"BFA",2013,"58,607"
"BFA",2014,"58,249"
"BFA",2015,"58,306"
"BFA",2016,"58,367"
"BFA",2017,"58,148"
"BFA",2018,"57,925"
"BFA",2019,"57,698"
"BFA",2020,"57,465"
"BFA",2021,"57,229"
"BFA",2022,"56,991"
"BFA",2023,"56,753"
"BFA",2024,"56,519"
"BFA",2025,"56,293"
"BFA",2026,"56,076"
"BFA",2027,"55,867"
"BFA",2028,"55,663"
"BFA",2029,"55,461"
"BFA",2030,"55,261"
"BGD",1990,"23,111"
"BGD",1991,"23,193"
"BGD",1992,"23,357"
"BGD",1993,"23,601"
"BGD",1994,"23,921"
"BGD",1995,"24,315"
"BGD",1996,"24,703"
"BGD",1997,"25,171"
"BGD",1998,"25,684"
"BGD",1999,"26,19"
"BGD",2000,"26,658"
"BGD",2001,"26,979"
"BGD",2002,"27,276"
"BGD",2003,"27,545"
"BGD",2004,"27,79"
"BGD",2005,"28,027"
"BGD",2006,"28,107"
"BGD",2007,"28,568"
"BGD",2008,"29,039"
"BGD",2009,"29,516"
"BGD",2010,"29,999"
"BGD",2011,"30,467"
"BGD",2012,"30,941"
"BGD",2013,"31,422"
"BGD",2014,"31,91"
"BGD",2015,"32,403"
"BGD",2016,"32,89"
"BGD",2017,"33,037"
"BGD",2018,"33,185"
"BGD",2019,"33,332"
"BGD",2020,"33,474"
"BGD",2021,"33,601"
"BGD",2022,"33,725"
"BGD",2023,"33,844"
"BGD",2024,"33,952"
"BGD",2025,"34,045"
"BGD",2026,"34,118"
"BGD",2027,"34,179"
"BGD",2028,"34,231"
"BGD",2029,"34,277"
"BGD",2030,"34,318"
"BGR",1990,"54,445"
"BGR",1991,"54,396"
"BGR",1992,"54,374"
"BGR",1993,"53,259"
"BGR",1994,"52,094"
"BGR",1995,"50,872"
"BGR",1996,"49,673"
"BGR",1997,"48,434"
"BGR",1998,"47,135"
"BGR",1999,"45,747"
"BGR",2000,"44,256"
"BGR",2001,"46,803"
"BGR",2002,"46,393"
"BGR",2003,"44,952"
"BGR",2004,"45,788"
"BGR",2005,"44,743"
"BGR",2006,"46,89"
"BGR",2007,"48,109"
"BGR",2008,"48,842"
"BGR",2009,"48,089"
"BGR",2010,"47,698"
"BGR",2011,"47,218"
"BGR",2012,"47,823"
"BGR",2013,"48,527"
"BGR",2014,"48,629"
"BGR",2015,"48,633"
"BGR",2016,"47,763"
"BGR",2017,"47,77"
"BGR",2018,"47,76"
"BGR",2019,"47,729"
"BGR",2020,"47,674"
"BGR",2021,"47,565"
"BGR",2022,"47,438"
"BGR",2023,"47,304"
"BGR",2024,"47,185"
"BGR",2025,"47,098"
"BGR",2026,"47,021"
"BGR",2027,"46,985"
"BGR",2028,"46,98"
"BGR",2029,"46,981"
"BGR",2030,"46,973"
"BHR",1990,"28,851"
"BHR",1991,"28,938"
"BHR",1992,"29,514"
"BHR",1993,"30,18"
"BHR",1994,"30,917"
"BHR",1995,"31,672"
"BHR",1996,"32,203"
"BHR",1997,"32,73"
"BHR",1998,"33,317"
"BHR",1999,"34,004"
"BHR",2000,"34,776"
"BHR",2001,"35,492"
"BHR",2002,"36,205"
"BHR",2003,"37,044"
"BHR",2004,"37,971"
"BHR",2005,"38,943"
"BHR",2006,"39,651"
"BHR",2007,"40,505"
"BHR",2008,"41,501"
"BHR",2009,"42,604"
"BHR",2010,"43,763"
"BHR",2011,"43,004"
"BHR",2012,"43,203"
"BHR",2013,"43,405"
"BHR",2014,"43,615"
"BHR",2015,"43,801"
"BHR",2016,"43,901"
"BHR",2017,"44,036"
"BHR",2018,"44,21"
"BHR",2019,"44,402"
"BHR",2020,"44,599"
"BHR",2021,"44,325"
"BHR",2022,"44,132"
"BHR",2023,"44,033"
"BHR",2024,"44,03"
"BHR",2025,"44,095"
"BHR",2026,"44,053"
"BHR",2027,"44,08"
"BHR",2028,"44,164"
"BHR",2029,"44,305"
"BHR",2030,"44,492"
"BHS",1990,"64,833"
"BHS",1991,"65,663"
"BHS",1992,"66,493"
"BHS",1993,"67,301"
"BHS",1994,"68,029"
"BHS",1995,"68,322"
"BHS",1996,"68,468"
"BHS",1997,"68,549"
"BHS",1998,"68,792"
"BHS",1999,"69,111"
"BHS",2000,"69,205"
"BHS",2001,"69,476"
"BHS",2002,"69,705"
"BHS",2003,"69,674"
"BHS",2004,"69,73"
"BHS",2005,"69,921"
"BHS",2006,"70,005"
"BHS",2007,"70,068"
"BHS",2008,"70,001"
"BHS",2009,"69,888"
"BHS",2010,"70,091"
"BHS",2011,"69,992"
"BHS",2012,"70,087"
"BHS",2013,"70,07"
"BHS",2014,"70,009"
"BHS",2015,"69,87"
"BHS",2016,"69,796"
"BHS",2017,"69,971"
"BHS",2018,"70,131"
"BHS",2019,"70,217"
"BHS",2020,"70,2"
"BHS",2021,"70,087"
"BHS",2022,"69,875"
"BHS",2023,"69,589"
"BHS",2024,"69,265"
"BHS",2025,"68,929"
"BHS",2026,"68,582"
"BHS",2027,"68,221"
"BHS",2028,"67,866"
"BHS",2029,"67,534"
"BHS",2030,"67,24"
"BIH",1990,"41,184"
"BIH",1991,"40,944"
"BIH",1992,"40,62"
"BIH",1993,"40,238"
"BIH",1994,"39,846"
"BIH",1995,"39,458"
"BIH",1996,"39,267"
"BIH",1997,"39,116"
"BIH",1998,"38,973"
"BIH",1999,"38,813"
"BIH",2000,"38,648"
"BIH",2001,"38,472"
"BIH",2002,"38,294"
"BIH",2003,"38,121"
"BIH",2004,"37,967"
"BIH",2005,"37,873"
"BIH",2006,"37,696"
"BIH",2007,"37,562"
"BIH",2008,"37,462"
"BIH",2009,"37,294"
"BIH",2010,"37,131"
"BIH",2011,"36,895"
"BIH",2012,"36,595"
"BIH",2013,"36,298"
"BIH",2014,"35,972"
"BIH",2015,"35,674"
"BIH",2016,"35,269"
"BIH",2017,"35,161"
"BIH",2018,"35,064"
"BIH",2019,"34,96"
"BIH",2020,"34,836"
"BIH",2021,"34,694"
"BIH",2022,"34,537"
"BIH",2023,"34,362"
"BIH",2024,"34,168"
"BIH",2025,"33,956"
"BIH",2026,"33,729"
"BIH",2027,"33,489"
"BIH",2028,"33,239"
"BIH",2029,"32,985"
"BIH",2030,"32,733"
"BLR",1990,"53,214"
"BLR",1991,"53,005"
"BLR",1992,"52,784"
"BLR",1993,"52,623"
"BLR",1994,"52,57"
"BLR",1995,"52,63"
"BLR",1996,"52,633"
"BLR",1997,"52,639"
"BLR",1998,"52,728"
"BLR",1999,"52,85"
"BLR",2000,"53,309"
"BLR",2001,"53,747"
"BLR",2002,"54,159"
"BLR",2003,"54,555"
"BLR",2004,"54,957"
"BLR",2005,"55,392"
"BLR",2006,"55,788"
"BLR",2007,"56,23"
"BLR",2008,"56,692"
"BLR",2009,"57,141"
"BLR",2010,"57,528"
"BLR",2011,"57,849"
"BLR",2012,"58,123"
"BLR",2013,"58,345"
"BLR",2014,"58,514"
"BLR",2015,"58,629"
"BLR",2016,"58,653"
"BLR",2017,"58,436"
"BLR",2018,"58,166"
"BLR",2019,"57,863"
"BLR",2020,"57,541"
"BLR",2021,"57,153"
"BLR",2022,"56,756"
"BLR",2023,"56,359"
"BLR",2024,"55,97"
"BLR",2025,"55,595"
"BLR",2026,"55,212"
"BLR",2027,"54,859"
"BLR",2028,"54,543"
"BLR",2029,"54,275"
"BLR",2030,"54,063"
"BLZ",1990,"34,489"
"BLZ",1991,"35,054"
"BLZ",1992,"35,686"
"BLZ",1993,"35,884"
"BLZ",1994,"35,635"
"BLZ",1995,"35,783"
"BLZ",1996,"36,131"
"BLZ",1997,"37,128"
"BLZ",1998,"38,142"
"BLZ",1999,"39,193"
"BLZ",2000,"40,278"
"BLZ",2001,"41,369"
"BLZ",2002,"42,492"
"BLZ",2003,"43,63"
"BLZ",2004,"44,766"
"BLZ",2005,"45,882"
"BLZ",2006,"47,181"
"BLZ",2007,"48,489"
"BLZ",2008,"49,803"
"BLZ",2009,"51,125"
"BLZ",2010,"52,444"
"BLZ",2011,"53,498"
"BLZ",2012,"54,527"
"BLZ",2013,"53,701"
"BLZ",2014,"52,93"
"BLZ",2015,"52,212"
"BLZ",2016,"52,768"
"BLZ",2017,"53,239"
"BLZ",2018,"53,719"
"BLZ",2019,"54,207"
"BLZ",2020,"54,708"
"BLZ",2021,"55,189"
"BLZ",2022,"55,678"
"BLZ",2023,"56,16"
"BLZ",2024,"56,614"
"BLZ",2025,"57,024"
"BLZ",2026,"57,383"
"BLZ",2027,"57,705"
"BLZ",2028,"58,004"
"BLZ",2029,"58,288"
"BLZ",2030,"58,562"
"BOL",1990,"55,533"
"BOL",1991,"55,971"
"BOL",1992,"56,174"
"BOL",1993,"56,587"
"BOL",1994,"57,049"
"BOL",1995,"57,528"
"BOL",1996,"57,971"
"BOL",1997,"58,487"
"BOL",1998,"58,749"
"BOL",1999,"58,983"
"BOL",2000,"59,224"
"BOL",2001,"59,884"
"BOL",2002,"60,544"
"BOL",2003,"61,203"
"BOL",2004,"61,853"
"BOL",2005,"62,481"
"BOL",2006,"63,093"
"BOL",2007,"61,389"
"BOL",2008,"62,239"
"BOL",2009,"62,365"
"BOL",2010,"62,019"
"BOL",2011,"61,652"
"BOL",2012,"57,945"
"BOL",2013,"58,822"
"BOL",2014,"60,9"
"BOL",2015,"54,51"
"BOL",2016,"55,031"
"BOL",2017,"55,147"
"BOL",2018,"55,269"
"BOL",2019,"55,396"
"BOL",2020,"55,528"
"BOL",2021,"55,672"
"BOL",2022,"55,823"
"BOL",2023,"55,978"
"BOL",2024,"56,137"
"BOL",2025,"56,295"
"BOL",2026,"56,46"
"BOL",2027,"56,627"
"BOL",2028,"56,794"
"BOL",2029,"56,955"
"BOL",2030,"57,106"
"BRA",1990,"41,975"
"BRA",1991,"42,891"
"BRA",1992,"43,806"
"BRA",1993,"44,722"
"BRA",1994,"45,639"
"BRA",1995,"46,559"
"BRA",1996,"47,462"
"BRA",1997,"48,366"
"BRA",1998,"49,273"
"BRA",1999,"50,183"
"BRA",2000,"51,101"
"BRA",2001,"52,022"
"BRA",2002,"53,486"
"BRA",2003,"53,873"
"BRA",2004,"54,899"
"BRA",2005,"55,433"
"BRA",2006,"55,968"
"BRA",2007,"55,619"
"BRA",2008,"55,825"
"BRA",2009,"56,015"
"BRA",2010,"54,581"
"BRA",2011,"53,132"
"BRA",2012,"53,077"
"BRA",2013,"52,976"
"BRA",2014,"52,859"
"BRA",2015,"53,378"
"BRA",2016,"53,322"
"BRA",2017,"53,204"
"BRA",2018,"53,08"
"BRA",2019,"52,945"
"BRA",2020,"52,795"
"BRA",2021,"52,649"
"BRA",2022,"52,493"
"BRA",2023,"52,322"
"BRA",2024,"52,131"
"BRA",2025,"51,915"
"BRA",2026,"51,699"
"BRA",2027,"51,461"
"BRA",2028,"51,206"
"BRA",2029,"50,938"
"BRA",2030,"50,662"
"BRB",1990,"61,266"
"BRB",1991,"60,652"
"BRB",1992,"61,393"
"BRB",1993,"62,258"
"BRB",1994,"62,999"
"BRB",1995,"63,794"
"BRB",1996,"64,49"
"BRB",1997,"63,563"
"BRB",1998,"63,459"
"BRB",1999,"63,327"
"BRB",2000,"63,189"
"BRB",2001,"63,275"
"BRB",2002,"63,371"
"BRB",2003,"63,475"
"BRB",2004,"64,189"
"BRB",2005,"64,2"
"BRB",2006,"64,117"
"BRB",2007,"63,989"
"BRB",2008,"63,817"
"BRB",2009,"63,607"
"BRB",2010,"63,492"
"BRB",2011,"63,288"
"BRB",2012,"62,061"
"BRB",2013,"63,231"
"BRB",2014,"61,856"
"BRB",2015,"61,86"
"BRB",2016,"62,568"
"BRB",2017,"62,247"
"BRB",2018,"61,891"
"BRB",2019,"61,511"
"BRB",2020,"61,111"
"BRB",2021,"60,749"
"BRB",2022,"60,379"
"BRB",2023,"59,997"
"BRB",2024,"59,605"
"BRB",2025,"59,204"
"BRB",2026,"58,867"
"BRB",2027,"58,534"
"BRB",2028,"58,207"
"BRB",2029,"57,891"
"BRB",2030,"57,592"
"BRN",1990,"45,78"
"BRN",1991,"46,209"
"BRN",1992,"47,146"
"BRN",1993,"48,143"
"BRN",1994,"49,214"
"BRN",1995,"50,362"
"BRN",1996,"51,299"
"BRN",1997,"52,336"
"BRN",1998,"53,484"
"BRN",1999,"54,679"
"BRN",2000,"55,839"
"BRN",2001,"56,228"
"BRN",2002,"56,154"
"BRN",2003,"56,198"
"BRN",2004,"56,376"
"BRN",2005,"56,644"
"BRN",2006,"56,818"
"BRN",2007,"57,017"
"BRN",2008,"57,284"
"BRN",2009,"57,633"
"BRN",2010,"58,043"
"BRN",2011,"58,49"
"BRN",2012,"58,909"
"BRN",2013,"59,314"
"BRN",2014,"59,718"
"BRN",2015,"59,398"
"BRN",2016,"59,03"
"BRN",2017,"59,025"
"BRN",2018,"59,003"
"BRN",2019,"58,979"
"BRN",2020,"58,959"
"BRN",2021,"58,956"
"BRN",2022,"58,962"
"BRN",2023,"58,958"
"BRN",2024,"58,91"
"BRN",2025,"58,8"
"BRN",2026,"58,648"
"BRN",2027,"58,443"
"BRN",2028,"58,199"
"BRN",2029,"57,942"
"BRN",2030,"57,686"
"BTN",1990,"51,509"
"BTN",1991,"51,131"
"BTN",1992,"50,901"
"BTN",1993,"50,74"
"BTN",1994,"50,534"
"BTN",1995,"50,259"
"BTN",1996,"51,068"
"BTN",1997,"51,967"
"BTN",1998,"52,973"
"BTN",1999,"54,172"
"BTN",2000,"55,599"
"BTN",2001,"57,943"
