;redes_31
"AF";"2,11"
"AL";"9,61"
"DZ";"7,38"
"AS";"99999999999998"
"AD";"48,94"
"AO";"1,50"
"AI";"36,00"
"AG";"30,00"
"AR";"20,93"
"AM";"5,63"
"AW";"28,00"
"99999999999998";"99999999999998"
"AU";"66,00"
"AT";"63,60"
"AZ";"11,99"
"BS";"26,00"
"BH";"28,24"
"BD";"1,00"
"BB";"55,30"
"BY";"16,20"
"BE";"59,72"
"BZ";"24,00"
"BJ";"1,54"
"BM";"69,90"
"BT";"4,52"
"BO";"6,20"
"BA";"25,12"
"BW";"4,29"
"BR";"28,18"
"VG";"99999999999998"
"BN";"42,19"
"BG";"27,09"
"BF";"0,63"
"BI";"0,66"
"KH";"0,47"
"CM";"2,03"
"CA";"72,40"
"CV";"6,81"
"KY";"44,50"
"CF";"0,31"
"TD";"0,58"
"CL";"34,50"
"CN";"10,52"
"CO";"15,34"
"KM";"2,20"
"CD";"0,30"
"CG";"2,01"
"CK";"25,86"
"CR";"25,10"
"CI";"1,52"
"HR";"37,98"
"CU";"11,16"
"CY";"35,83"
"CZ";"47,93"
"KP";"0,00"
"DK";"86,65"
"DJ";"1,27"
"DM";"39,40"
"DO";"14,84"
"EC";"7,20"
"EG";"13,66"
"SV";"5,50"
"GQ";"1,28"
"ER";"99999999999998"
"EE";"63,51"
"ET";"0,31"
"FK";"87,10"
"FO";"69,36"
"FJ";"9,60"
"FI";"79,66"
"FR";"46,87"
"GF";"22,06"
"PF";"25,11"
"GA";"5,49"
"GM";"5,24"
"GE";"7,53"
"DE";"72,16"
"GH";"2,72"
"GI";"45,30"
"GR";"32,25"
"GL";"59,36"
"GD";"21,40"
"GP";"19,83"
"GU";"43,85"
"GT";"6,50"
"GG";"83,63"
"GN";"0,64"
"GW";"2,06"
"GY";"99999999999998"
"HT";"6,80"
"HN";"7,80"
"HK";"60,80"
"HU";"47,06"
"IS";"89,51"
"IN";"2,81"
"ID";"4,76"
"IR";"8,76"
"IQ";"0,95"
"IE";"54,82"
"IL";"27,88"
"IT";"37,99"
"JM";"16,40"
"JP";"68,69"
"JE";"31,82"
"JO";"13,87"
"KZ";"3,27"
"KE";"3,60"
"KI";"4,50"
"KR";"78,10"
"KW";"28,79"
"KG";"12,31"
"LA";"1,17"
"LV";"53,63"
"LB";"15,00"
"LS";"2,98"
"LR";"99999999999998"
"LY";"4,30"
"LI";"64,21"
"LT";"43,90"
"LU";"72,51"
"MO";"46,40"
"MG";"0,61"
"MW";"0,43"
"MY";"51,64"
"MV";"11,04"
"ML";"0,73"
"MT";"40,41"
"MH";"3,80"
"MQ";"34,99"
"MR";"0,98"
"MU";"16,70"
"YT";"99999999999998"
"MX";"19,52"
"FM";"12,75"
"MD";"19,62"
"MC";"61,48"
"MN";"99999999999998"
"ME";"28,90"
"MS";"25,91"
"MA";"19,77"
"MZ";"0,84"
"MM";"0,18"
"NA";"4,40"
"NR";"99999999999998"
"NP";"1,14"
"AN";"99999999999998"
"NL";"83,70"
"NC";"33,52"
"NZ";"69,00"
"NI";"2,81"
"NE";"0,29"
"NG";"5,55"
"NU";"56,25"
"MP";"99999999999998"
"NO";"82,55"
"OM";"8,30"
"PK";"6,50"
"PS";"18,41"
"PA";"17,35"
"PG";"1,75"
"PY";"7,96"
"PE";"20,70"
"PH";"5,74"
"PL";"44,58"
"PT";"38,01"
"PR";"25,44"
"QA";"28,97"
"RE";"30,18"
"RO";"24,66"
"RU";"18,02"
"RW";"99999999999998"
"ST";"14,18"
"WS";"4,47"
"SM";"50,21"
"SA";"19,46"
"SN";"5,61"
"RS";"27,20"
"SC";"34,95"
"SL";"0,23"
"SG";"59,00"
"SK";"56,08"
"SI";"54,01"
"SB";"1,65"
"SO";"1,10"
"ZA";"7,61"
"ES";"50,37"
"LK";"2,54"
"SH";"17,23"
"KN";"38,50"
"LC";"24,50"
"PM";"99999999999998"
"VC";"12,00"
"SD";"99999999999998"
"SR";"9,50"
"SZ";"3,70"
"SE";"87,76"
"CH";"75,70"
"SY";"7,83"
"TW";"63,68"
"TJ";"3,77"
"TZ";"1,30"
"MK";"28,62"
"TH";"17,16"
"TL";"0,50"
"TG";"2,00"
"TK";"99999999999998"
"TO";"5,85"
"TT";"30,00"
"TN";"12,99"
"TR";"18,24"
"TM";"1,32"
"TC";"99999999999998"
"TV";"99999999999998"
"UG";"2,53"
"UA";"4,51"
"AE";"52,00"
"GB";"68,82"
"US";"68,93"
"UY";"29,40"
"UZ";"6,39"
"VU";"5,85"
"VE";"15,22"
"VN";"17,25"
"VI";"27,33"
"WF";"7,33"
"YE";"1,25"
"ZM";"4,16"
"ZW";"2,40"
