,economia_19
AG,10179
AE,36634
AF,232
DZ,2599
AZ,1027
AL,2317
AM,1271
AD,38505
AO,1248
AR,4285
AU,34022
AT,36622
BH,15846
BB,12869
BW,4897
BE,35391
BS,28076
BD,396
BZ,3832
BA,2753
BO,978
MM,213
BJ,583
BY,2479
SB,793
BR,3623
BT,1098
BG,3352
BN,24262
BI,95
CA,32025
KH,409
TD,517
LK,1221
CG,1289
CD,194
CN,1496
CL,6214
CM,1006
KM,1276
CO,2740
CR,4425
CF,328
CU,3391
CV,2248
CY,23773
DK,46527
DJ,864
DM,5325
DO,2442
EC,2709
EG,1050
IE,46958
GQ,7755
EE,8844
ER,287
SV,2633
ET,133
CZ,11619
FI,37537
FJ,3374
FM,2257
FR,33787
GM,414
GA,5750
GE,1131
GH,678
GD,5836
DE,34502
GR,21342
GT,1873
GN,530
GY,1671
HT,401
HN,1231
HR,9483
HU,10288
IS,47141
ID,1223
IN,616
IR,2730
IL,20938
IT,30745
CI,920
IQ,995
JP,37556
JM,3729
JO,2061
KE,527
KG,439
KP,473
KI,1131
KR,15771
KW,26920
KZ,2805
LA,455
LB,5473
LV,6307
LT,6698
LR,203
SK,7974
LI,110433
LS,727
LU,76771
LY,5836
MG,289
MD,624
MN,925
MW,274
ME,3403
MK,2763
ML,439
MC,121616
MA,1983
MU,5651
MR,621
MT,14923
OM,10129
MV,3952
MX,7311
MY,4955
MZ,336
NE,221
VU,1788
NG,1043
NL,39943
NO,57491
NP,288
NR,2728
SR,3658
NI,1087
NZ,25107
SS,99999999999998
PY,1409
PE,2449
PK,692
PL,6644
PA,4337
PT,17970
PG,1019
PW,8754
GW,393
QA,41319
RS,3331
MH,2523
RO,3530
PH,1079
RU,4102
RW,237
SA,11139
KN,10476
SC,9594
ZA,4738
SN,733
SI,17309
SL,266
SM,67274
SG,26129
SO,196
ES,24673
LC,5456
SD,99999999999998
SE,42456
SY,1378
CH,53648
TT,10291
TH,2660
TJ,309
TL,1109
TO,2370
TG,408
ST,693
TN,3113
TR,6041
TV,2186
TM,2584
TZ,440
UG,340
GB,40055
UA,1424
US,41960
BF,371
UY,4117
UZ,462
VC,4808
VE,4271
VN,593
NA,3225
WS,2152
SZ,2530
YE,780
ZM,530
ZW,502
