;populacao_7
"AF";"170943"
"AL";"31757"
"DZ";"195883"
"AO";"97923"
"AG";"955"
"AR";"570165"
"AM";"36579"
"AW";"581"
"AU";"377442"
"AT";"368485"
"AZ";"73838"
"BS";"1713"
"BH";"2226"
"BD";"830542"
"BB";"6200"
"BY";"271693"
"BE";"452791"
"BZ";"1843"
"BJ";"72998"
"BT";"3384"
"BO";"85820"
"BA";"56960"
"BW";"10515"
"BR";"1205467"
"BN";"1601"
"BG";"242583"
"BF";"85093"
"BI";"46812"
"CV";"3698"
"KH";"88707"
"CM";"107036"
"CA";"522344"
"CF";"36389"
"TD";"63902"
"CL";"188797"
"CN";"17183178"
"HK";"41600"
"MO";"4753"
"TW";"140244"
"CO";"267938"
"KM";"3560"
"CG";"19953"
"CR";"20135"
"CI";"52140"
"HR";"136887"
"CU";"144976"
"CW";"2731"
"CY";"16580"
"CZ";"411461"
"KP";"228116"
"CD";"249878"
"DK";"198652"
"DJ";"1087"
"DO";"44984"
"EC";"100338"
"EG";"545662"
"SV";"47380"
"GQ";"7185"
"ER";"22048"
"EE";"49242"
"ET";"340796"
"FJ";"3547"
"FI";"148747"
"FR";"2043046"
"GF";"801"
"PF";"1147"
"GA";"18626"
"GM";"5885"
"GE";"127062"
"DE";"3635097"
"GH";"95263"
"GR";"259142"
"GD";"1882"
"GP";"4995"
"GU";"589"
"GT";"59842"
"GN";"76711"
"GW";"11150"
"GY";"10090"
"HT";"66307"
"HN";"34401"
"HU";"401453"
"IS";"5961"
"IN";"7995035"
"ID";"1657703"
"IR";"442715"
"IQ";"151456"
"IE";"116024"
"IL";"42080"
"IT";"1949861"
"JM";"33145"
"JP";"2469513"
"JO";"16569"
"KZ";"214000"
"KE";"159638"
"KI";"809"
"KW";"2452"
"KG";"61695"
"LA";"35407"
"LV";"84012"
"LB";"45604"
"LS";"18786"
"LR";"18619"
"LY";"31105"
"LT";"98317"
"LU";"15000"
"MG";"101785"
"MW";"58763"
"MY";"119101"
"MV";"1445"
"ML";"93622"
"MT";"9851"
"MQ";"5002"
"MR";"11692"
"MU";"9167"
"YT";"736"
"MX";"617809"
"FM";"2902"
"FM";"790"
"MN";"28585"
"ME";"12871"
"MA";"219485"
"MZ";"131320"
"MM";"433264"
"NA";"11478"
"NP";"174686"
"NL";"417542"
"NC";"1493"
"NZ";"78013"
"NI";"24090"
"NE";"32878"
"NG";"881828"
"NO";"156364"
"OM";"9797"
"PK";"843210"
"PA";"19636"
"PG";"28795"
"PY";"28750"
"PE";"195311"
"PH";"397303"
"PL";"811924"
"PT";"307410"
"PR";"53010"
"QA";"684"
"KR";"481998"
"MD";"70916"
"RE";"5859"
"RO";"607301"
"RU";"3263088"
"RW";"48598"
"LC";"1199"
"VC";"1504"
"WS";"1170"
"ST";"1060"
"SA";"80466"
"SN";"52759"
"RS";"206979"
"SC";"1199"
"SL";"47899"
"SG";"15899"
"SK";"125204"
"SI";"56007"
"SB";"2154"
"SO";"52528"
"ZA";"341320"
"SS";"51586"
"ES";"1070710"
"LK";"178790"
"PS";"23691"
"SD";"125803"
"SR";"5995"
"SZ";"5544"
"SE";"353395"
"CH";"226128"
"SY";"91968"
"TJ";"43755"
"MK";"28766"
"TH";"425094"
"TL";"6730"
"TG";"31157"
"TO";"899"
"TT";"14413"
"TN";"86059"
"TR";"466230"
"TM";"35123"
"UG";"95268"
"UA";"1345625"
"AE";"1733"
"GB";"2520879"
"TZ";"138994"
"US";"7276465"
"VI";"885"
"UY";"85281"
"UZ";"234457"
"VU";"843"
"VE";"98714"
"VN";"809287"
"EH";"379"
"YE";"96976"
"ZM";"40453"
"ZW";"65627"
