;populacao_7
"AF";"5299110"
"AL";"119957"
"DZ";"3530474"
"AO";"7892392"
"AG";"7666"
"AR";"3571628"
"AM";"121409"
"AW";"6308"
"AU";"2099320"
"AT";"437339"
"AZ";"639896"
"BS";"27520"
"BH";"157274"
"BD";"11905131"
"BB";"15474"
"BY";"440698"
"BE";"694359"
"BZ";"44444"
"BJ";"2330266"
"BT";"57136"
"BO";"1174795"
"BA";"140127"
"BW";"246592"
"BR";"12119479"
"BN";"29714"
"BG";"246659"
"BF";"4350199"
"BI";"2572594"
"CV";"48364"
"KH";"1547434"
"CM";"4774715"
"CA";"2617930"
"CF";"865139"
"TD";"3438778"
"CL";"1117019"
"CN";"63902974"
"HK";"406128"
"MO";"47730"
"TW";"1005642"
"CO";"2971679"
"KM";"131720"
"CG";"1134186"
"CR";"302180"
"CI";"5109189"
"HR";"156618"
"CU";"493907"
"CW";"10016"
"CY";"72253"
"CZ";"479724"
"KP";"1552643"
"CD";"20452344"
"DK";"382438"
"DJ";"94736"
"DO";"852068"
"EC";"1535142"
"EG";"12046063"
"SV";"399147"
"GQ";"277202"
"ER";"875218"
"EE";"52675"
"ET";"16519988"
"FJ";"66686"
"FI";"332258"
"FR";"4056859"
"GF";"44399"
"PF";"18605"
"GA";"292857"
"GM";"460098"
"GE";"176396"
"DE";"3885741"
"GH";"4549599"
"GR";"428805"
"GD";"5570"
"GP";"22828"
"GU";"11670"
"GT";"2043475"
"GN";"2608660"
"GW";"335012"
"GY";"52876"
"HT";"1003967"
"HN";"899551"
"HU";"403549"
"IS";"21701"
"IN";"109627399"
"ID";"21558027"
"IR";"4242018"
"IQ";"7713567"
"IE";"335788"
"IL";"907812"
"IT";"2619973"
"JM";"123851"
"JP";"4788368"
"JO";"1104186"
"KZ";"1564153"
"KE";"8540943"
"KI";"14169"
"KW";"408352"
"KG";"578294"
"LA";"616585"
"LV";"69618"
"LB";"280776"
"LS";"270225"
"LR";"942329"
"LY";"484532"
"LT";"117490"
"LU";"51590"
"MG";"5113000"
"MW";"4045354"
"MY";"2576546"
"MV";"29047"
"ML";"4610293"
"MT";"19888"
"MQ";"17939"
"MR";"838221"
"MU";"63373"
"YT";"42805"
"MX";"9665932"
"FM";"46490"
"FM";"9621"
"MN";"273123"
"ME";"29239"
"MA";"2736852"
"MZ";"6884067"
"MM";"4160342"
"NA";"369222"
"NP";"2149144"
"NL";"944575"
"NC";"24749"
"NZ";"334078"
"NI";"463770"
"NE";"7672303"
"NG";"41456016"
"NO";"423102"
"OM";"402248"
"PK";"24203072"
"PA";"392399"
"PG";"1201267"
"PY";"609115"
"PE";"2628532"
"PH";"11785644"
"PL";"1310968"
"PT";"390417"
"PR";"143113"
"QA";"289824"
"KR";"2271588"
"MD";"135153"
"RE";"56924"
"RO";"789154"
"RU";"7091892"
"RW";"1895553"
"LC";"8216"
"VC";"5715"
"WS";"18834"
"ST";"34897"
"SA";"2684021"
"SN";"3251527"
"RS";"372836"
"SC";"5448"
"SL";"1186150"
"SG";"294688"
"SK";"228103"
"SI";"89504"
"SB";"88487"
"SO";"3749111"
"ZA";"5290722"
"SS";"2435996"
"ES";"1961421"
"LK";"1105708"
"PS";"852852"
"SD";"7609865"
"SR";"41560"
"SZ";"173076"
"SE";"679952"
"CH";"538324"
"SY";"2553069"
"TJ";"1148931"
"MK";"93342"
"TH";"3069691"
"TL";"235451"
"TG";"1450404"
"TO";"11404"
"TT";"68684"
"TN";"777629"
"TR";"5448345"
"TM";"563229"
"UG";"10959135"
"UA";"1754758"
"AE";"1022953"
"GB";"4282781"
"TZ";"13963047"
"US";"24419932"
"VI";"4368"
"UY";"208049"
"UZ";"2607400"
"VU";"38688"
"VE";"2714416"
"VN";"6195464"
"EH";"74231"
"YE";"4091239"
"ZM";"4147574"
"ZW";"2621868"
