;redes_29
"AF";"62,34"
"AL";"115,15"
"DZ";"115,85"
"AS";"99999999999998"
"AD";"92,04"
"AO";"45,12"
"AI";"99999999999998"
"AG";"178,28"
"AR";"145,33"
"AM";"117,43"
"AW";"99999999999998"
"99999999999998";"99999999999998"
"AU";"110,05"
"AT";"163,79"
"AZ";"104,77"
"BS";"92,07"
"BH";"210,14"
"BD";"83,45"
"BB";"116,57"
"BY";"120,67"
"BE";"110,50"
"BZ";"61,86"
"BJ";"81,79"
"BM";"99999999999998"
"BT";"87,54"
"BO";"92,82"
"BA";"96,79"
"BW";"146,16"
"BR";"117,54"
"VG";"99999999999998"
"BN";"123,69"
"BG";"125,83"
"BF";"82,61"
"BI";"50,91"
"KH";"126,35"
"CM";"79,86"
"CA";"84,74"
"CV";"111,56"
"KY";"157,42"
"CF";"27,17"
"TD";"43,11"
"CL";"130,11"
"CN";"97,25"
"CO";"120,62"
"KM";"57,11"
"CD";"36,69"
"CG";"105,82"
"CK";"99999999999998"
"CR";"171,51"
"CI";"115,85"
"HR";"104,77"
"CU";"34,75"
"CY";"133,42"
"CZ";"117,66"
"KP";"14,21"
"DK";"122,29"
"DJ";"36,64"
"DM";"106,66"
"DO";"81,78"
"EC";"84,73"
"EG";"102,20"
"SV";"151,89"
"GQ";"47,13"
"ER";"10,21"
"EE";"144,61"
"ET";"50,02"
"FK";"160,62"
"FO";"110,93"
"FJ";"116,24"
"FI";"133,85"
"FR";"104,40"
"GF";"99999999999998"
"PF";"99,97"
"GA";"149,64"
"GM";"139,23"
"GE";"140,95"
"DE";"126,31"
"GH";"135,80"
"GI";"119,55"
"GR";"112,12"
"GL";"99999999999998"
"GD";"110,86"
"GP";"99999999999998"
"GU";"99999999999998"
"GT";"110,14"
"GG";"99999999999998"
"GN";"87,13"
"GW";"70,82"
"GY";"75,61"
"HT";"59,96"
"HN";"85,95"
"HK";"240,80"
"HU";"120,78"
"IS";"120,80"
"IN";"85,17"
"ID";"147,66"
"IR";"100,30"
"IQ";"81,19"
"IE";"103,15"
"IL";"129,03"
"IT";"153,00"
"JM";"113,40"
"JP";"130,61"
"JE";"99999999999998"
"JO";"103,84"
"KZ";"141,96"
"KE";"80,44"
"KI";"45,46"
"KR";"120,68"
"KW";"133,07"
"KG";"127,84"
"LA";"58,57"
"LV";"134,50"
"LB";"81,42"
"LS";"103,59"
"LR";"67,56"
"LY";"121,72"
"LI";"117,61"
"LT";"144,58"
"LU";"132,70"
"MO";"321,80"
"MG";"32,13"
"MW";"39,68"
"MY";"140,80"
"MV";"189,86"
"ML";"112,35"
"MT";"123,94"
"MH";"99999999999998"
"MQ";"99999999999998"
"MR";"84,03"
"MU";"143,73"
"YT";"99999999999998"
"MX";"87,60"
"FM";"22,31"
"MD";"93,32"
"MC";"86,49"
"MN";"111,24"
"ME";"165,56"
"MS";"99999999999998"
"MA";"117,68"
"MZ";"52,12"
"MM";"95,65"
"NA";"107,27"
"NR";"87,25"
"NP";"110,83"
"AN";"99999999999998"
"NL";"122,97"
"NC";"99999999999998"
"NZ";"124,44"
"NI";"125,94"
"NE";"42,18"
"NG";"82,98"
"NU";"99999999999998"
"MP";"99999999999998"
"NO";"109,04"
"OM";"155,18"
"PK";"70,65"
"PS";"77,51"
"PA";"127,46"
"PG";"46,78"
"PY";"111,36"
"PE";"116,24"
"PH";"109,37"
"PL";"138,66"
"PT";"111,57"
"PR";"88,67"
"QA";"142,13"
"RE";"99999999999998"
"RO";"115,78"
"RU";"159,15"
"RW";"74,86"
"ST";"89,06"
"WS";"77,39"
"SM";"110,14"
"SA";"148,51"
"SN";"98,54"
"RS";"130,24"
"SC";"161,16"
"SL";"84,90"
"SG";"150,48"
"SK";"128,39"
"SI";"114,82"
"SB";"69,50"
"SO";"46,47"
"ZA";"147,13"
"SS";"22,08"
"ES";"111,16"
"LK";"124,03"
"SH";"61,93"
"KN";"139,70"
"LC";"99,23"
"PM";"99999999999998"
"VC";"102,74"
"SD";"70,26"
"SR";"144,51"
"SZ";"74,08"
"SE";"127,50"
"CH";"133,81"
"SY";"72,43"
"TW";"124,14"
"TJ";"107,61"
"TZ";"72,06"
"MK";"98,52"
"TH";"173,78"
"TL";"117,61"
"TG";"72,38"
"TK";"99999999999998"
"TO";"74,68"
"TT";"158,67"
"TN";"125,25"
"TR";"94,40"
"TM";"151,43"
"TC";"99999999999998"
"TV";"68,49"
"UG";"55,05"
"UA";"135,20"
"AE";"214,73"
"GB";"119,98"
"US";"122,88"
"UY";"148,57"
"UZ";"73,98"
"VU";"80,84"
"VE";"87,43"
"VN";"127,53"
"VI";"99999999999998"
"WF";"99999999999998"
"YE";"59,57"
"ZM";"72,43"
"ZW";"79,74"
