;redes_29
"AF";"56,19"
"AL";"115,03"
"DZ";"110,70"
"AS";"99999999999998"
"AD";"83,61"
"AO";"52,20"
"AI";"179,82"
"AG";"121,41"
"AR";"142,47"
"AM";"119,03"
"AW";"134,59"
"99999999999998";"99999999999998"
"AU";"106,75"
"AT";"150,03"
"AZ";"111,04"
"BS";"82,38"
"BH";"174,27"
"BD";"79,59"
"BB";"107,79"
"BY";"120,21"
"BE";"113,51"
"BZ";"48,99"
"BJ";"84,19"
"BM";"95,37"
"BT";"80,44"
"BO";"98,94"
"BA";"97,90"
"BW";"157,27"
"BR";"137,47"
"VG";"185,09"
"BN";"109,80"
"BG";"131,36"
"BF";"71,05"
"BI";"32,28"
"KH";"133,93"
"CM";"76,61"
"CA";"80,86"
"CV";"116,51"
"KY";"153,89"
"CF";"25,59"
"TD";"38,70"
"CL";"134,44"
"CN";"92,52"
"CO";"115,77"
"KM";"50,44"
"CD";"50,33"
"CG";"101,21"
"CK";"99999999999998"
"CR";"147,56"
"CI";"98,11"
"HR";"104,79"
"CU";"22,12"
"CY";"130,19"
"CZ";"131,27"
"KP";"11,15"
"DK";"126,42"
"DJ";"31,47"
"DM";"101,52"
"DO";"79,80"
"EC";"104,42"
"EG";"103,82"
"SV";"146,36"
"GQ";"45,73"
"ER";"8,79"
"EE";"143,93"
"ET";"31,31"
"FK";"144,51"
"FO";"119,33"
"FJ";"98,91"
"FI";"139,25"
"FR";"101,92"
"GF";"99999999999998"
"PF";"92,61"
"GA";"156,35"
"GM";"119,08"
"GE";"135,28"
"DE";"122,14"
"GH";"112,60"
"GI";"111,64"
"GR";"107,81"
"GL";"107,84"
"GD";"110,15"
"GP";"99999999999998"
"GU";"99999999999998"
"GT";"106,21"
"GG";"99999999999998"
"GN";"73,55"
"GW";"64,22"
"GY";"74,26"
"HT";"64,03"
"HN";"87,69"
"HK";"235,73"
"HU";"119,50"
"IS";"112,66"
"IN";"72,96"
"ID";"127,61"
"IR";"87,86"
"IQ";"94,27"
"IE";"104,83"
"IL";"119,63"
"IT";"150,90"
"JM";"105,01"
"JP";"123,17"
"JE";"99999999999998"
"JO";"125,92"
"KZ";"163,52"
"KE";"73,08"
"KI";"27,16"
"KR";"113,70"
"KW";"200,93"
"KG";"130,98"
"LA";"70,23"
"LV";"118,25"
"LB";"78,30"
"LS";"99,67"
"LR";"73,46"
"LY";"136,96"
"LI";"109,49"
"LT";"144,09"
"LU";"144,23"
"MO";"315,30"
"MG";"41,18"
"MW";"33,00"
"MY";"148,63"
"MV";"163,09"
"ML";"138,57"
"MT";"128,35"
"MH";"29,30"
"MQ";"99999999999998"
"MR";"92,36"
"MU";"131,40"
"YT";"99999999999998"
"MX";"84,48"
"FM";"99999999999998"
"MD";"91,85"
"MC";"88,31"
"MN";"103,53"
"ME";"161,44"
"MS";"88,27"
"MA";"128,55"
"MZ";"67,92"
"MM";"55,91"
"NA";"112,65"
"NR";"99999999999998"
"NP";"81,28"
"AN";"99999999999998"
"NL";"115,82"
"NC";"91,56"
"NZ";"111,68"
"NI";"117,52"
"NE";"43,01"
"NG";"78,75"
"NU";"99999999999998"
"MP";"99999999999998"
"NO";"111,63"
"OM";"156,38"
"PK";"73,17"
"PS";"70,47"
"PA";"158,95"
"PG";"43,31"
"PY";"111,49"
"PE";"102,93"
"PH";"111,21"
"PL";"148,60"
"PT";"113,60"
"PR";"87,18"
"QA";"139,23"
"RE";"99999999999998"
"RO";"114,76"
"RU";"153,75"
"RW";"68,28"
"ST";"67,18"
"WS";"55,40"
"SM";"115,14"
"SA";"171,35"
"SN";"98,86"
"RS";"132,22"
"SC";"162,28"
"SL";"67,19"
"SG";"148,74"
"SK";"117,40"
"SI";"112,34"
"SB";"65,45"
"SO";"40,70"
"ZA";"145,36"
"SS";"24,94"
"ES";"109,21"
"LK";"107,27"
"SH";"0,00"
"KN";"120,95"
"LC";"106,76"
"PM";"99999999999998"
"VC";"105,18"
"SD";"73,66"
"SR";"169,33"
"SZ";"70,79"
"SE";"127,07"
"CH";"135,49"
"SY";"73,11"
"TW";"129,66"
"TJ";"95,65"
"TZ";"61,00"
"MK";"107,07"
"TH";"141,92"
"TL";"113,43"
"TG";"62,47"
"TK";"99999999999998"
"TO";"64,28"
"TT";"146,22"
"TN";"128,17"
"TR";"93,32"
"TM";"131,83"
"TC";"99999999999998"
"TV";"34,84"
"UG";"52,44"
"UA";"144,28"
"AE";"185,42"
"GB";"120,68"
"US";"111,89"
"UY";"160,76"
"UZ";"70,95"
"VU";"60,29"
"VE";"99,32"
"VN";"147,12"
"VI";"99999999999998"
"WF";"0,00"
"YE";"65,15"
"ZM";"64,75"
"ZW";"76,56"
