;redes_29
"AF";"0,11"
"AL";"27,28"
"DZ";"1,41"
"AS";"3,47"
"AD";"46,81"
"AO";"0,80"
"AI";"26,02"
"AG";"44,29"
"AR";"17,33"
"AM";"2,35"
"AW";"65,06"
"99999999999998";"99999999999998"
"AU";"65,06"
"AT";"82,81"
"AZ";"9,60"
"BS";"39,38"
"BH";"52,91"
"BD";"0,79"
"BB";"35,80"
"BY";"4,72"
"BE";"78,17"
"BZ";"19,73"
"BJ";"3,00"
"BM";"46,43"
"BT";"0,00"
"BO";"11,83"
"BA";"19,83"
"BW";"18,67"
"BR";"19,36"
"VG";"37,16"
"BN";"44,30"
"BG";"33,02"
"BF";"0,90"
"BI";"0,77"
"KH";"3,01"
"CM";"4,36"
"CA";"37,90"
"CV";"9,50"
"KY";"42,47"
"CF";"0,32"
"TD";"0,38"
"CL";"39,97"
"CN";"15,86"
"CO";"11,06"
"KM";"0,00"
"CD";"1,12"
"CG";"6,51"
"CK";"8,02"
"CR";"12,37"
"CI";"5,91"
"HR";"52,61"
"CU";"0,16"
"CY";"42,65"
"CZ";"83,98"
"KP";"0,00"
"DK";"83,34"
"DJ";"2,01"
"DM";"17,43"
"DO";"19,25"
"EC";"11,94"
"EG";"6,19"
"SV";"14,96"
"GQ";"4,80"
"ER";"0,00"
"EE";"63,71"
"ET";"0,07"
"FK";"0,00"
"FO";"72,72"
"FJ";"11,02"
"FI";"86,64"
"FR";"64,07"
"GF";"48,80"
"PF";"21,33"
"GA";"21,58"
"GM";"7,63"
"GE";"10,89"
"DE";"72,45"
"GH";"1,94"
"GI";"38,57"
"GR";"83,04"
"GL";"35,25"
"GD";"7,40"
"GP";"69,34"
"GU";"44,85"
"GT";"12,92"
"GG";"65,32"
"GN";"0,99"
"GW";"0,00"
"GY";"10,56"
"HT";"1,58"
"HN";"4,76"
"HK";"94,62"
"HU";"67,72"
"IS";"91,28"
"IN";"1,19"
"ID";"5,38"
"IR";"3,35"
"IQ";"0,08"
"IE";"75,45"
"IL";"100,97"
"IT";"93,77"
"JM";"46,19"
"JP";"63,42"
"JE";"99999999999998"
"JO";"23,07"
"KZ";"6,80"
"KE";"3,57"
"KI";"0,57"
"KR";"67,37"
"KW";"57,23"
"KG";"1,06"
"LA";"1,00"
"LV";"39,32"
"LB";"22,00"
"LS";"7,25"
"LR";"0,16"
"LY";"1,27"
"LI";"33,52"
"LT";"47,77"
"LU";"106,60"
"MO";"61,51"
"MG";"0,97"
"MW";"0,72"
"MY";"37,41"
"MV";"14,23"
"ML";"0,40"
"MT";"68,99"
"MH";"1,06"
"MQ";"76,00"
"MR";"8,60"
"MU";"28,92"
"YT";"12,59"
"MX";"24,85"
"FM";"0,09"
"MD";"8,10"
"MC";"45,59"
"MN";"8,84"
"ME";"99999999999998"
"MS";"34,28"
"MA";"21,00"
"MZ";"1,33"
"MM";"0,10"
"NA";"7,64"
"NR";"99999999999998"
"NP";"0,09"
"AN";"99999999999998"
"NL";"75,11"
"NC";"36,18"
"NZ";"61,79"
"NI";"4,59"
"NE";"0,47"
"NG";"1,22"
"NU";"27,39"
"MP";"24,92"
"NO";"83,37"
"OM";"19,83"
"PK";"1,17"
"PS";"7,45"
"PA";"16,70"
"PG";"0,26"
"PY";"30,26"
"PE";"8,67"
"PH";"18,91"
"PL";"36,11"
"PT";"83,02"
"PR";"43,39"
"QA";"41,31"
"RE";"59,80"
"RO";"23,38"
"RU";"12,13"
"RW";"0,97"
"ST";"1,37"
"WS";"1,53"
"SM";"59,60"
"SA";"22,86"
"SN";"5,32"
"RS";"99999999999998"
"SC";"53,12"
"SL";"1,35"
"SG";"80,19"
"SK";"54,14"
"SI";"83,85"
"SB";"0,23"
"SO";"1,05"
"ZA";"29,14"
"SS";"99999999999998"
"ES";"79,86"
"LK";"4,89"
"SH";"0,00"
"KN";"10,72"
"LC";"8,96"
"PM";"99999999999998"
"VC";"9,23"
"SD";"0,67"
"SR";"22,43"
"SZ";"6,29"
"SE";"89,11"
"CH";"79,19"
"SY";"2,34"
"TW";"110,15"
"TJ";"0,20"
"TZ";"1,68"
"MK";"17,83"
"TH";"27,23"
"TL";"99999999999998"
"TG";"3,14"
"TK";"99999999999998"
"TO";"3,38"
"TT";"20,56"
"TN";"5,82"
"TR";"35,80"
"TM";"0,18"
"TC";"41,63"
"TV";"0,00"
"UG";"1,53"
"UA";"7,70"
"AE";"69,23"
"GB";"82,95"
"US";"49,32"
"UY";"15,43"
"UZ";"0,73"
"VU";"2,53"
"VE";"25,75"
"VN";"2,32"
"VI";"41,59"
"WF";"0,00"
"YE";"2,57"
"ZM";"1,25"
"ZW";"2,71"
