;redes_28
"AF";"0,33"
"AL";"7,76"
"DZ";"8,20"
"AS";"18,01"
"AD";"49,80"
"AO";"1,02"
"AI";"41,06"
"AG";"20,02"
"AR";"23,20"
"AM";"18,90"
"AW";"33,54"
"99999999999998";"99999999999998"
"AU";"35,71"
"AT";"41,60"
"AZ";"18,67"
"BS";"31,26"
"BH";"20,42"
"BD";"0,54"
"BB";"52,61"
"BY";"47,87"
"BE";"39,77"
"BZ";"6,57"
"BJ";"1,84"
"BM";"19,35"
"BT";"2,77"
"BO";"8,22"
"BA";"21,85"
"BW";"7,26"
"BR";"21,21"
"VG";"39,03"
"BN";"18,20"
"BG";"23,06"
"BF";"0,41"
"BI";"0,21"
"KH";"1,65"
"CM";"4,60"
"CA";"43,43"
"CV";"11,93"
"KY";"55,92"
"CF";"0,04"
"TD";"0,12"
"CL";"19,40"
"CN";"16,53"
"CO";"14,74"
"KM";"1,88"
"CD";"0,00"
"CG";"0,34"
"CK";"99999999999998"
"CR";"17,88"
"CI";"1,20"
"HR";"34,86"
"CU";"11,31"
"CY";"38,39"
"CZ";"17,98"
"KP";"4,67"
"DK";"29,83"
"DJ";"2,47"
"DM";"28,14"
"DO";"12,39"
"EC";"15,56"
"EG";"6,65"
"SV";"14,96"
"GQ";"0,96"
"ER";"1,36"
"EE";"29,47"
"ET";"0,89"
"FK";"69,01"
"FO";"41,02"
"FJ";"8,13"
"FI";"9,80"
"FR";"60,40"
"GF";"99999999999998"
"PF";"21,86"
"GA";"0,97"
"GM";"2,28"
"GE";"24,05"
"DE";"55,50"
"GH";"1,00"
"GI";"99999999999998"
"GR";"46,89"
"GL";"28,38"
"GD";"25,31"
"GP";"99999999999998"
"GU";"42,03"
"GT";"10,58"
"GG";"99999999999998"
"GN";"0,00"
"GW";"0,00"
"GY";"20,05"
"HT";"0,05"
"HN";"5,55"
"HK";"59,78"
"HU";"31,63"
"IS";"50,92"
"IN";"1,95"
"ID";"4,02"
"IR";"38,33"
"IQ";"5,53"
"IE";"41,11"
"IL";"42,31"
"IT";"33,96"
"JM";"8,80"
"JP";"49,78"
"JE";"99999999999998"
"JO";"4,03"
"KZ";"23,37"
"KE";"0,18"
"KI";"1,31"
"KR";"57,09"
"KW";"12,20"
"KG";"6,96"
"LA";"14,44"
"LV";"17,87"
"LB";"17,31"
"LS";"1,87"
"LR";"0,20"
"LY";"17,05"
"LI";"46,35"
"LT";"19,17"
"LU";"48,86"
"MO";"24,32"
"MG";"0,61"
"MW";"0,08"
"MY";"14,61"
"MV";"5,24"
"ML";"0,97"
"MT";"53,84"
"MH";"99999999999998"
"MQ";"99999999999998"
"MR";"1,23"
"MU";"30,17"
"YT";"4,17"
"MX";"15,36"
"FM";"6,52"
"MD";"29,57"
"MC";"128,14"
"MN";"8,59"
"ME";"24,59"
"MS";"58,55"
"MA";"6,39"
"MZ";"0,32"
"MM";"0,98"
"NA";"7,52"
"NR";"99999999999998"
"NP";"2,96"
"AN";"99999999999998"
"NL";"41,04"
"NC";"28,88"
"NZ";"40,09"
"NI";"5,82"
"NE";"0,55"
"NG";"0,10"
"NU";"61,39"
"MP";"40,13"
"NO";"18,16"
"OM";"10,36"
"PK";"1,87"
"PS";"8,72"
"PA";"15,63"
"PG";"1,89"
"PY";"5,19"
"PE";"9,28"
"PH";"3,17"
"PL";"23,66"
"PT";"44,95"
"PR";"22,13"
"QA";"18,53"
"RE";"99999999999998"
"RO";"21,48"
"RU";"24,71"
"RW";"0,15"
"ST";"3,29"
"WS";"5,91"
"SM";"50,21"
"SA";"11,87"
"SN";"2,00"
"RS";"39,44"
"SC";"22,77"
"SL";"0,23"
"SG";"36,42"
"SK";"15,93"
"SI";"36,30"
"SB";"1,27"
"SO";"0,37"
"ZA";"7,47"
"SS";"0,00"
"ES";"41,76"
"LK";"15,87"
"SH";"67,63"
"KN";"36,38"
"LC";"19,68"
"PM";"99999999999998"
"VC";"22,72"
"SD";"0,31"
"SR";"16,62"
"SZ";"3,26"
"SE";"36,41"
"CH";"49,76"
"SY";"18,89"
"TW";"59,25"
"TJ";"5,35"
"TZ";"0,27"
"MK";"17,84"
"TH";"7,73"
"TL";"0,22"
"TG";"0,71"
"TK";"99999999999998"
"TO";"12,43"
"TT";"19,92"
"TN";"8,37"
"TR";"14,68"
"TM";"11,64"
"TC";"11,65"
"TV";"18,18"
"UG";"0,82"
"UA";"21,61"
"AE";"24,67"
"GB";"50,78"
"US";"39,02"
"UY";"32,24"
"UZ";"9,09"
"VU";"1,81"
"VE";"24,97"
"VN";"7,83"
"VI";"72,40"
"WF";"99999999999998"
"YE";"4,24"
"ZM";"0,72"
"ZW";"2,12"
