;redes_28
"AF";"0,14"
"AL";"4,89"
"DZ";"5,65"
"AS";"17,82"
"AD";"52,32"
"AO";"0,39"
"AI";"55,67"
"AG";"45,82"
"AR";"21,30"
"AM";"17,38"
"AW";"41,94"
"99999999999998";"46,12"
"AU";"52,71"
"AT";"49,53"
"AZ";"9,86"
"BS";"38,39"
"BH";"25,73"
"BD";"0,37"
"BB";"45,89"
"BY";"27,70"
"BE";"48,98"
"BZ";"14,46"
"BJ";"0,75"
"BM";"87,58"
"BT";"2,47"
"BO";"6,12"
"BA";"20,71"
"BW";"7,86"
"BR";"17,64"
"VG";"50,38"
"BN";"24,16"
"BG";"36,03"
"BF";"0,46"
"BI";"0,31"
"KH";"0,25"
"CM";"0,62"
"CA";"67,80"
"CV";"12,56"
"KY";"83,96"
"CF";"0,25"
"TD";"0,12"
"CL";"21,64"
"CN";"11,29"
"CO";"17,80"
"KM";"1,25"
"CD";"0,02"
"CG";"0,68"
"CK";"31,34"
"CR";"22,90"
"CI";"1,58"
"HR";"38,87"
"CU";"4,38"
"CY";"46,66"
"CZ";"37,63"
"KP";"2,18"
"DK";"71,80"
"DJ";"1,35"
"DM";"32,58"
"DO";"10,44"
"EC";"9,70"
"EG";"7,84"
"SV";"10,66"
"GQ";"0,99"
"ER";"0,90"
"EE";"37,37"
"ET";"0,35"
"FK";"79,25"
"FO";"52,80"
"FJ";"10,65"
"FI";"54,91"
"FR";"57,02"
"GF";"30,64"
"PF";"22,63"
"GA";"3,17"
"GM";"2,70"
"GE";"10,77"
"DE";"61,63"
"GH";"1,12"
"GI";"75,50"
"GR";"50,79"
"GL";"46,60"
"GD";"30,86"
"GP";"48,25"
"GU";"47,88"
"GT";"5,81"
"GG";"84,65"
"GN";"0,28"
"GW";"0,89"
"GY";"9,08"
"HT";"0,85"
"HN";"4,58"
"HK";"58,91"
"HU";"37,16"
"IS";"70,01"
"IN";"3,08"
"ID";"3,15"
"IR";"14,34"
"IQ";"2,86"
"IE";"47,60"
"IL";"49,45"
"IT";"47,39"
"JM";"18,58"
"JP";"48,58"
"JE";"84,11"
"JO";"12,15"
"KZ";"12,18"
"KE";"0,93"
"KI";"3,97"
"KR";"54,58"
"KW";"22,78"
"KG";"7,64"
"LA";"0,77"
"LV";"30,82"
"LB";"17,80"
"LS";"1,19"
"LR";"0,23"
"LY";"11,30"
"LI";"60,30"
"LT";"33,92"
"LU";"57,07"
"MO";"41,32"
"MG";"0,35"
"MW";"0,41"
"MY";"19,96"
"MV";"8,71"
"ML";"0,36"
"MT";"51,48"
"MH";"7,67"
"MQ";"44,34"
"MR";"0,70"
"MU";"23,70"
"YT";"6,65"
"MX";"12,12"
"FM";"8,98"
"MD";"13,90"
"MC";"93,41"
"MN";"4,90"
"ME";"99999999999998"
"MS";"56,73"
"MA";"4,94"
"MZ";"0,47"
"MM";"0,59"
"NA";"5,80"
"NR";"17,93"
"NP";"1,12"
"AN";"44,50"
"NL";"62,09"
"NC";"23,96"
"NZ";"47,45"
"NI";"3,27"
"NE";"0,18"
"NG";"0,45"
"NU";"55,29"
"MP";"30,38"
"NO";"53,36"
"OM";"9,78"
"PK";"2,20"
"PS";"8,45"
"PA";"14,16"
"PG";"1,16"
"PY";"5,34"
"PE";"6,63"
"PH";"3,93"
"PL";"28,39"
"PT";"41,73"
"PR";"34,22"
"QA";"27,05"
"RE";"38,01"
"RO";"17,62"
"RU";"21,91"
"RW";"0,22"
"ST";"3,33"
"WS";"4,88"
"SM";"74,05"
"SA";"14,28"
"SN";"2,08"
"RS";"99999999999998"
"SC";"25,41"
"SL";"0,42"
"SG";"49,72"
"SK";"31,45"
"SI";"39,50"
"SB";"1,86"
"SO";"0,28"
"ZA";"10,85"
"SS";"99999999999998"
"ES";"41,82"
"LK";"4,09"
"SH";"40,22"
"KN";"48,29"
"LC";"31,16"
"PM";"76,05"
"VC";"23,08"
"SD";"1,42"
"SR";"15,94"
"SZ";"3,00"
"SE";"68,19"
"CH";"73,05"
"SY";"10,21"
"TW";"57,88"
"TJ";"3,52"
"TZ";"0,51"
"MK";"24,93"
"TH";"8,88"
"TL";"99999999999998"
"TG";"0,86"
"TK";"14,80"
"TO";"9,89"
"TT";"24,98"
"TN";"9,85"
"TR";"29,09"
"TM";"8,07"
"TC";"17,99"
"TV";"7,01"
"UG";"0,26"
"UA";"21,33"
"AE";"32,33"
"GB";"59,76"
"US";"68,27"
"UY";"27,98"
"UZ";"6,66"
"VU";"3,59"
"VE";"10,36"
"VN";"3,17"
"VI";"62,81"
"WF";"11,76"
"YE";"1,94"
"ZM";"0,79"
"ZW";"2,04"
