,indicadoressociais_13
"DZ","2927"
"EG","3407"
"LY","3192"
"MA","3158"
"SD",""
"TN","3229"
"BI",""
"KM","2292"
"DJ","2044"
"ER",""
"ET","1853"
"KE","2030"
"MG","1972"
"MW","2191"
"MU","2955"
"MZ","2040"
"RW","2004"
"SC","2253"
"SO","1708"
"SS",""
"UG","2332"
"TZ","2041"
"ZM","1867"
"ZW","2041"
"AO","1620"
"CM","2200"
"CF","1983"
"TD","2003"
"CG","2161"
"CD",""
"GQ",""
"GA","2666"
"ST","2457"
"BW","2126"
"LS","2506"
"NA","2245"
"ZA","2915"
"BJ","2359"
"BF","2413"
"CV","2368"
"CI","2554"
"GM","2476"
"GH","2630"
"GN","2363"
"GW","2258"
"LR","2052"
"ML","2507"
"MR","2659"
"NE","2351"
"NG","2609"
"SN","2181"
"SL","2025"
"TG","2171"
"KZ","2933"
"KG","2524"
"TJ","1953"
"TM","2683"
"UZ","2309"
"CN","2827"
"TW","3001"
"HK","3129"
"MO","2581"
"KP","2156"
"JP","2861"
"MN","2222"
"KR","3074"
"BN","2927"
"KH","2233"
"ID","2448"
"LA","2137"
"MY","2795"
"MM","2006"
"PH","2386"
"SG",""
"TH","2617"
"TL","2022"
"VN","2359"
"AF","1821"
"BD","2331"
"BT",""
"IN","2272"
"IR","3033"
"MV","2457"
"NP","2298"
"PK","2293"
"LK","2339"
"AM","2310"
"AZ","2463"
"BH",""
"CY","2732"
"GE","2750"
"IQ","2259"
"IL","3626"
"JO","2737"
"KW","3476"
"LB","3253"
"OM","2647"
"QA",""
"SA","3034"
"PS",""
"SY","3009"
"TR","3605"
"AE","3338"
"YE","2072"
"AG","2075"
"BS","2725"
"BB","2826"
"CU","3159"
"DM","3010"
"DO","2228"
"GD","2304"
"HT","1890"
"JM","2801"
"PR",""
"KN","2505"
"LC","2642"
"VC","2606"
"TT","2790"
"BZ","2781"
"CR","2771"
"SV","2623"
"GT","2308"
"HN","2470"
"MX","3099"
"NI","2304"
"PA","2326"
"AR","3065"
"BO","2101"
"BR","2963"
"CL","2886"
"CO","2798"
"EC","2280"
"GY","2733"
"PY","2684"
"PE","2312"
"SR","2541"
"UY","2847"
"VE","2380"
"AU","3077"
"NZ","3119"
"FJ","2890"
"NC","2774"
"PG","2304"
"SB","2373"
"VU","2709"
"FM",""
"KI","2870"
"MH",""
"NR",""
"PW",""
"AS",""
"CK",""
"PF","2859"
"NU",""
"WS","2823"
"TK",""
"TO",""
"TV",""
"BM","2561"
"CA","3505"
"GL",""
"US","3756"
"BY","2950"
"BG","2784"
"CZ","3244"
"HU","3077"
"PL","3424"
"MD","2550"
"RO","3307"
"RU","3014"
"SK","2792"
"UA","3028"
"DK","3350"
"EE","3054"
"FI","3159"
"IS","3200"
"IE","3632"
"LV","2982"
"LT","3278"
"NO","3438"
"SE","3127"
"GB","3405"
"AL","2813"
"AD",""
"BA","2879"
"HR","2809"
"GR","3635"
"IT","3651"
"MT","3351"
"ME",""
"PT","3532"
"RS",""
"SI","3083"
"ES","3329"
"MK","2698"
"AT","3663"
"BE","3738"
"FR","3628"
"DE","3393"
"LU","3486"
"NL","3214"
"CH","3416"
