;indicadoressociais_16
"PK"; "56.97715" 
"BR"; "91.72943" 
"ES"; "98.09372" 
"LS"; "76.6352" 
"AZ"; "99.78899" 
"KH"; "78.05509" 
"TJ"; "99.8" 
"NC"; "97.8" 
"CI"; "43.90842" 
"TR"; "95.43963" 
"AO"; "66.03011" 
"BD"; "61.0933" 
"RW"; "70.80413" 
"VU"; "84.7" 
"GN"; "32.00386" 
"ID"; "95.11622" 
"GE"; "99.58619" 
"SI"; "99.7" 
"MV"; "98.61012" 
"ZA"; "94.1399" 
"BF"; "34.5994" 
"IR"; "84.70524" 
"HU"; "99.1" 
"UY"; "98.43593" 
"PY"; "94.61672" 
"MX"; "94.55588" 
"GW"; "45.58116" 
"BW"; "87.7" 
"PS"; "96.42839" 
"TN"; "79.03643" 
"GD"; "98.6" 
"MQ"; "96.9" 
"HN"; "87.19753" 
"UZ"; "99.98055" 
"JM"; "88.1" 
"KE"; "78.73304" 
"OM"; "91.9812" 
"SG"; "96.71666" 
"PE"; "93.70795" 
"DO"; "91.76376" 
"BI"; "61.56973" 
"GY"; "85.63973" 
"EC"; "94.22264" 
"AR"; "98.99389" 
"GQ"; "95" 
"GP"; "96" 
"MU"; "92.47476" 
"TM"; "99.7" 
"CO"; "94.18625" 
"MW"; "65.14537" 
"ZW"; "88.69342" 
"GT"; "81.2859" 
"BB"; "99.6" 
"AF";""
"AX";""
"AL";""
"DZ";""
"AS";""
"AD";""
"AI";""
"AQ";""
"AG";""
"AM";""
"AW";""
"AU";""
"AT";""
"BS";""
"BH";""
"BY";""
"BE";""
"BZ";""
"BJ";""
"BM";""
"BT";""
"BO";""
"BQ";""
"BA";""
"BV";""
"IO";""
"BN";""
"BG";""
"CV";""
"CM";""
"CA";""
"KY";""
"CF";""
"TD";""
"CL";""
"CN";""
"CX";""
"CC";""
"KM";""
"CD";""
"CG";""
"CK";""
"CR";""
"HR";""
"CU";""
"CW";""
"CY";""
"CZ";""
"DK";""
"DJ";""
"DM";""
"EG";""
"SV";""
"ER";""
"EE";""
"ET";""
"FK";""
"FO";""
"FJ";""
"FI";""
"FR";""
"GF";""
"PF";""
"TF";""
"GA";""
"GM";""
"DE";""
"GH";""
"GI";""
"GR";""
"GL";""
"GU";""
"GG";""
"HT";""
"HM";""
"VA";""
"HK";""
"IS";""
"IN";""
"IQ";""
"IE";""
"IM";""
"IL";""
"IT";""
"JP";""
"JE";""
"JO";""
"KZ";""
"KI";""
"KP";""
"KR";""
"KW";""
"KG";""
"LA";""
"LV";""
"LB";""
"LR";""
"LY";""
"LI";""
"LT";""
"LU";""
"MO";""
"MK";""
"MG";""
"MY";""
"ML";""
"MT";""
"MH";""
"MR";""
"YT";""
"FM";""
"MD";""
"MC";""
"MN";""
"ME";""
"MS";""
"MA";""
"MZ";""
"MM";""
"NA";""
"NR";""
"NP";""
"NL";""
"NZ";""
"NI";""
"NE";""
"NG";""
"NU";""
"NF";""
"MP";""
"NO";""
"PW";""
"PA";""
"PG";""
"PH";""
"PN";""
"PL";""
"PT";""
"PR";""
"QA";""
"RE";""
"RO";""
"RU";""
"BL";""
"SH";""
"KN";""
"LC";""
"MF";""
"PM";""
"VC";""
"WS";""
"SM";""
"ST";""
"SA";""
"SN";""
"RS";""
"SC";""
"SL";""
"SX";""
"SK";""
"SB";""
"SO";""
"GS";""
"SS";""
"LK";""
"SD";""
"SR";""
"SJ";""
"SZ";""
"SE";""
"CH";""
"SY";""
"TW";""
"TZ";""
"TH";""
"TL";""
"TG";""
"TK";""
"TO";""
"TT";""
"TC";""
"TV";""
"UG";""
"UA";""
"AE";""
"GB";""
"UM";""
"US";""
"VE";""
"VN";""
"VG";""
"VI";""
"WF";""
"EH";""
"YE";""
"ZM";""
