;populacao_6
"KH";"123,4"
"ID";"176,8"
"LA";"39,4"
"MY";"125,9"
"MM";"95,4"
"PH";"500,1"
"SG";"9.410,0"
"TH";"129,4"
"TL";"157,9"
"VN";"368,0"
"AM";"95,8"
"AZ";"133,7"
"BH";"3.035,1"
"CY";"149,0"
"GE";"49,4"
"IQ";"180,7"
"IL";"569,5"
"JO";"156,7"
"KW";"313,8"
"LB";"529,2"
"OM";"21,6"
"QA";"321,3"
"SA";"20,8"
"PS";"1.562,5"
"SY";"182,2"
"TR";"123,8"
"AE";"155,5"
"YE";"89,7"
"BY";"42,5"
"BG";"50,8"
"CZ";"130,7"
"HU";"92,5"
"PL";"107,3"
"MD";"102,1"
"RO";"72,2"
"RU";"8,1"
"SK";"104,2"
"UA";"63,6"
"DK";"148,3"
"EE";"27,3"
"FO";"39,3"
"FI";"19,3"
"IS";"3,9"
"IE";"83,6"
"IM";"170,0"
"LV";"24,7"
"LT";"38,9"
"NO";"18,4"
"SE";"28,1"
"GB";"309,9"
"AL";"98,6"
"AD";"165,3"
"BA";"60,7"
"HR";"62,6"
"GI";"3.697,5"
"GR";"78,3"
"VA";"1.822,7"
"IT";"188,7"
"MT";"1.317,1"
"ME";"44,1"
"PT";"99,4"
"SM";"579,9"
"RS";"86,2"
"SI";"97,1"
"ES";"89,6"
"MK";"77,3"
"AT";"108,0"
"BE";"411,4"
"FR";"128,7"
"DE";"228,6"
"LI";"268,6"
"LU";"303,0"
"MC";"30.334,2"
"NL";"520,9"
"CH";"248,7"
"AI";"174,9"
"AG";"283,4"
"AW";"595,7"
"BS";"47,2"
"BB";"655,2"
"VG";"249,9"
"KY";"336,2"
"CU";"102,7"
"CW";"406,9"
"DM";"102,7"
"DO";"273,2"
"GD";"324,4"
"GP";"253,9"
"HT";"506,3"
"JM";"252,9"
"MQ";"339,1"
"MS";"54,1"
"PR";"374,9"
"KN";"243,7"
"LC";"300,8"
"VC";"282,4"
"SX";"1.521,1"
"TT";"254,7"
"TC";"49,9"
"VI";"258,5"
"BZ";"25,5"
"CR";"112,8"
"SV";"337,9"
"GT";"246,9"
"HN";"117,0"
"MX";"84,0"
"NI";"65,0"
"PA";"77,3"
"AR";"20,0"
"BO";"14,5"
"BR";"27,9"
"CL";"27,8"
"CO";"49,4"
"EC";"91,4"
"FK";"0,2"
"GF";"6,4"
"GY";"4,2"
"PY";"22,2"
"PE";"32,3"
"SR";"4,2"
"UY";"20,9"
"VE";"46,8"
"BM";"1.082,3"
"CA";"4,9"
"GL";"0,1"
"PM";"32,0"
"US";"42,3"
"AU";"4,3"
"NZ";"21,6"
"FJ";"54,7"
"NC";"20,4"
"PG";"29,9"
"SB";"36,0"
"VU";"38,0"
"FM";"205,6"
"GU";"356,0"
"KI";"215,3"
"MH";"363,5"
"FM";"182,2"
"NR";"569,9"
"MP";"116,0"
"PW";"59,5"
"AS";"285,5"
"CK";"74,8"
"PF";"88,8"
"NU";"6,8"
"WS";"85,2"
"TK";"155,5"
"TO";"192,5"
"TV";"480,4"
"WF";"77,9"
"BI";"1.039,4"
"KM";"838,5"
"DJ";"61,7"
"ER";"101,5"
"ET";"205,4"
"KE";"179,7"
"MG";"98,3"
"MW";"468,1"
"MU";"672,8"
"YT";"1.408,6"
"MZ";"90,0"
"RE";"446,2"
"RW";"953,2"
"SC";"233,4"
"SO";"59,2"
"SS";"43,8"
"UG";"552,6"
"TZ";"163,0"
"ZM";"57,5"
"ZW";"83,0"
"AO";"63,2"
"CM";"111,0"
"CF";"15,1"
"TD";"27,9"
"CG";"35,5"
