;populacao_7
"AF";"764076"
"AL";"149595"
"DZ";"806374"
"AO";"406877"
"AG";"4783"
"AR";"1731610"
"AM";"142279"
"AW";"4376"
"AU";"891409"
"AT";"559871"
"AZ";"253934"
"BS";"12281"
"BH";"16594"
"BD";"4435308"
"BB";"12285"
"BY";"541365"
"BE";"558426"
"BZ";"5280"
"BJ";"198047"
"BT";"23454"
"BO";"304016"
"BA";"219382"
"BW";"43823"
"BR";"6427028"
"BN";"9755"
"BG";"560668"
"BF";"358419"
"BI";"198892"
"CV";"10125"
"KH";"430605"
"CM";"440912"
"CA";"1523588"
"CF";"123514"
"TD";"235524"
"CL";"666833"
"CN";"50041884"
"HK";"168537"
"MO";"9743"
"TW";"831225"
"CO";"1318650"
"KM";"14463"
"CG";"91069"
"CR";"127035"
"CI";"419938"
"HR";"267393"
"CU";"601504"
"CW";"9580"
"CY";"43317"
"CZ";"668222"
"KP";"1319114"
"CD";"1414750"
"DK";"360883"
"DJ";"12794"
"DO";"262773"
"EC";"404097"
"EG";"1932362"
"SV";"237094"
"GQ";"17445"
"ER";"133701"
"EE";"95060"
"ET";"2000066"
"FJ";"36079"
"FI";"306799"
"FR";"2887386"
"GF";"3539"
"PF";"8068"
"GA";"39916"
"GM";"36927"
"GE";"288429"
"DE";"5746326"
"GH";"582628"
"GR";"492443"
"GD";"3502"
"GP";"15824"
"GU";"7115"
"GT";"339879"
"GN";"270373"
"GW";"47178"
"GY";"38657"
"HT";"320940"
"HN";"156988"
"HU";"726666"
"IS";"12775"
"IN";"37818712"
"ID";"7972255"
"IR";"1633742"
"IQ";"625524"
"IE";"170219"
"IL";"175383"
"IT";"3475664"
"JM";"89678"
"JP";"9043351"
"JO";"125826"
"KZ";"802264"
"KE";"579977"
"KI";"2598"
"KW";"76994"
"KG";"148710"
"LA";"180747"
"LV";"182254"
"LB";"135298"
"LS";"54448"
"LR";"102834"
"LY";"149336"
"LT";"230516"
"LU";"23698"
"MG";"390473"
"MW";"312665"
"MY";"680256"
"MV";"8654"
"ML";"391217"
"MT";"21046"
"MQ";"15434"
"MR";"73825"
"MU";"58425"
"YT";"2378"
"MX";"3149409"
"FM";"15620"
"FM";"2733"
"MN";"75392"
"ME";"35957"
"MA";"850649"
"MZ";"616381"
"MM";"1508915"
"NA";"51197"
"NP";"838409"
"NL";"889328"
"NC";"8806"
"NZ";"189082"
"NI";"149411"
"NE";"318971"
"NG";"3952443"
"NO";"240608"
"OM";"54654"
"PK";"4229281"
"PA";"102927"
"PG";"170897"
"PY";"147347"
"PE";"875410"
"PH";"2295765"
"PL";"1854980"
"PT";"529112"
"PR";"176095"
"QA";"14937"
"KR";"2183664"
"MD";"240592"
"RE";"25208"
"RO";"1291506"
"RU";"7111299"
"RW";"197576"
"LC";"4679"
"VC";"3644"
"WS";"7440"
"ST";"3340"
"SA";"446906"
"SN";"293729"
"RS";"493923"
"SC";"2768"
"SL";"191991"
"SG";"128713"
"SK";"290247"
"SI";"114648"
"SB";"11856"
"SO";"217765"
"ZA";"1593965"
"SS";"270309"
"ES";"2211175"
"LK";"859413"
"PS";"73300"
"SD";"673363"
"SR";"18498"
"SZ";"26032"
"SE";"582509"
"CH";"480803"
"SY";"343720"
"TJ";"156392"
"MK";"116205"
"TH";"2440354"
"TL";"43488"
"TG";"140406"
"TO";"4736"
"TT";"58128"
"TN";"277637"
"TR";"2267872"
"TM";"115512"
"UG";"587062"
"UA";"3013460"
"AE";"50601"
"GB";"3420205"
"TZ";"923977"
"US";"13758292"
"VI";"6732"
"UY";"181477"
"UZ";"630786"
"VU";"5996"
"VE";"772611"
"VN";"2235689"
"EH";"4634"
"YE";"376645"
"ZM";"276868"
"ZW";"321815"
